module,block,key,value,note,verdict
glaciers,formulation,verdict,,"A DIFFERENT AND MORE CONSTRAINED FORMULATION -- argued, not assumed",A DIFFERENT AND MORE CONSTRAINED FORMULATION
glaciers,hindcast,hindcast/full/L14,0.3307844777177898,bias +0.1671 cm = +0.36 sd; cov90 54%; n=104,PASS
glaciers,hindcast,hindcast/full/BRICK 2.0,0.8940588962628659,bias +0.5000 cm = +1.09 sd; cov90 47%; n=104,WARN
glaciers,hindcast,hindcast/1920-1949/L14,0.5887925110802121,bias +0.5246 cm = +1.14 sd; cov90 23%; n=30,WARN
glaciers,hindcast,hindcast/1920-1949/BRICK 2.0,1.6382486441740045,bias +1.5142 cm = +3.30 sd; cov90 0%; n=30,FAIL
glaciers,hindcast,hindcast/1950-1992/L14,0.1326240912118885,bias +0.0743 cm = +0.16 sd; cov90 56%; n=43,PASS
glaciers,hindcast,hindcast/1950-1992/BRICK 2.0,0.1311498207129588,bias +0.0341 cm = +0.07 sd; cov90 95%; n=43,PASS
glaciers,hindcast,hindcast/1993-2026/L14,0.0847916779381263,bias -0.0502 cm = -0.11 sd; cov90 81%; n=31,PASS
glaciers,hindcast,hindcast/1993-2026/BRICK 2.0,0.2460085095003998,bias +0.1647 cm = +0.36 sd; cov90 26%; n=31,PASS
glaciers,hindcast_ratio,rmse_ratio/full/L14 vs BRICK 2.0,0.369980634497858,<1 means the candidate is closer to the observations,BETTER
glaciers,hindcast_ratio,rmse_ratio/1920-1949/L14 vs BRICK 2.0,0.3594036309287337,<1 means the candidate is closer to the observations,BETTER
glaciers,hindcast_ratio,rmse_ratio/1950-1992/L14 vs BRICK 2.0,1.0112411171507152,<1 means the candidate is closer to the observations,SAME
glaciers,hindcast_ratio,rmse_ratio/1993-2026/L14 vs BRICK 2.0,0.3446696950049546,<1 means the candidate is closer to the observations,BETTER
glaciers,hindcast,worst_sigma_ours,1.2819685071779263,max |RMSE| in target sigma across windows,
glaciers,hindcast,worst_sigma_brick20,3.5669325428493757,max |RMSE| in target sigma,
