scenario,component,module,year,med,p05,p17,p83,p95,n,unit
ssp126,glaciers,ar5glaciers,2020,1.9961621284484865,1.497335057258606,1.682744070053101,2.2460629196166995,2.467863149642944,200,cm rel 2005
ssp126,glaciers,ar5glaciers,2030,2.8725958824157716,2.0295633697509765,2.3540521812438966,3.362517868041992,3.7735339164733888,200,cm rel 2005
ssp126,glaciers,ar5glaciers,2040,3.776630210876465,2.598440914154053,3.129934036254883,4.627353137969971,5.420346755981446,200,cm rel 2005
ssp126,glaciers,ar5glaciers,2050,4.795902252197266,3.2112576007843017,3.7674667739868166,6.03917716217041,7.16585910797119,200,cm rel 2005
ssp126,glaciers,ar5glaciers,2060,5.841894149780273,3.74076545715332,4.507089210510254,7.440173255920411,9.076947364807127,200,cm rel 2005
ssp126,glaciers,ar5glaciers,2070,6.894952774047852,4.3375449371337895,5.196737651824952,8.818917083740233,10.77349941253662,200,cm rel 2005
ssp126,glaciers,ar5glaciers,2080,7.856389236450196,4.795063037872315,5.890389675140382,10.163399169921876,12.411131591796874,200,cm rel 2005
ssp126,glaciers,ar5glaciers,2090,8.797648239135743,5.255074768066407,6.464797248840332,11.513223670959473,14.015221176147458,200,cm rel 2005
ssp126,glaciers,ar5glaciers,2100,9.719062042236327,5.685712490081787,7.1536237869262695,12.77201106262207,15.750699920654297,200,cm rel 2005
ssp126,glaciers,ar5glaciers,2110,10.601942825317384,6.058667850494385,7.78332349395752,14.032887252807615,17.1873452758789,200,cm rel 2005
ssp126,glaciers,ar5glaciers,2120,11.350768661499025,6.428478622436524,8.30947041320801,15.250882995605467,18.588340911865227,200,cm rel 2005
ssp126,glaciers,ar5glaciers,2130,12.162964248657229,6.75009162902832,8.727114944458009,16.28982032775879,20.11839256286621,200,cm rel 2005
ssp126,glaciers,ar5glaciers,2140,12.90519027709961,7.062724266052247,9.150985488891603,17.267915451049802,21.6099341583252,200,cm rel 2005
ssp126,glaciers,ar5glaciers,2150,13.601004028320313,7.363740577697755,9.61291089630127,18.286587692260746,22.826915740966793,200,cm rel 2005
ssp126,glaciers,emuglaciers,2020,1.5971107959747315,1.152129874229431,1.3854695043563845,1.8054416770935056,1.9329384803771976,200,cm rel 2005
ssp126,glaciers,emuglaciers,2030,2.8213778495788575,2.0615107536315915,2.339510690689087,3.3570309867858885,3.7543796348571776,200,cm rel 2005
ssp126,glaciers,emuglaciers,2040,4.004279518127442,2.5745282268524172,2.979469083786011,4.881668361663818,5.477994709014893,200,cm rel 2005
ssp126,glaciers,emuglaciers,2050,5.102598571777344,3.322776317596436,3.9332252883911134,6.254276016235352,7.100273590087888,200,cm rel 2005
ssp126,glaciers,emuglaciers,2060,6.042985153198243,3.632257957458497,4.64076884841919,7.461554542541505,8.363883247375488,200,cm rel 2005
ssp126,glaciers,emuglaciers,2070,7.373638534545899,4.371252479553223,5.512973793029786,8.946941886901856,10.007228240966793,200,cm rel 2005
ssp126,glaciers,emuglaciers,2080,8.243450164794922,5.688743705749512,6.592623825073243,10.2979787979126,11.715338973999025,200,cm rel 2005
ssp126,glaciers,emuglaciers,2090,9.30461311340332,5.654319610595703,6.906861648559571,11.40248834991455,12.762405853271485,200,cm rel 2005
ssp126,glaciers,emuglaciers,2100,10.360243225097657,6.339635276794435,7.452085342407227,12.33724452972412,14.075732421875,200,cm rel 2005
ssp126,gis,FittedISMIP,2020,0.6972994327545166,0.3277743351459504,0.5287578535079956,0.917963126182556,1.0489660692214966,200,cm rel 2005
ssp126,gis,FittedISMIP,2030,1.3903059482574465,0.6473960638046266,1.0228322105407714,1.7914815044403074,2.1729369735717774,200,cm rel 2005
ssp126,gis,FittedISMIP,2040,2.127284812927246,1.0990106201171876,1.6089123277664186,2.8022895030975343,3.393672561645508,200,cm rel 2005
ssp126,gis,FittedISMIP,2050,2.9700830459594725,1.457859983444214,2.203332536697388,3.9493540382385257,4.697127590179443,200,cm rel 2005
ssp126,gis,FittedISMIP,2060,3.8131969451904295,1.9007355594635011,2.9053322563171387,5.135633251190185,6.067418174743652,200,cm rel 2005
ssp126,gis,FittedISMIP,2070,4.83219051361084,2.337468404769898,3.688635066986084,6.301715301513671,7.52098575592041,200,cm rel 2005
ssp126,gis,FittedISMIP,2080,5.886077880859375,2.951683111190796,4.449955295562745,7.599305183410645,9.1250386428833,200,cm rel 2005
ssp126,gis,FittedISMIP,2090,7.0019477844238285,3.713711032867432,5.243258464813233,9.11882642364502,10.6854256439209,200,cm rel 2005
ssp126,gis,FittedISMIP,2100,8.306912994384767,4.876393985748291,6.391283153533936,10.91898087310791,13.093459167480466,200,cm rel 2005
ssp126,gis,FittedISMIP,2110,9.59094581604004,5.70051290512085,7.24770932006836,12.582893203735352,15.35986045837402,200,cm rel 2005
ssp126,gis,FittedISMIP,2120,10.75921630859375,6.321419200897217,8.165298149108887,14.261977020263672,17.621935195922852,200,cm rel 2005
ssp126,gis,FittedISMIP,2130,12.036676025390626,7.096935119628906,9.08641453552246,15.786834381103516,19.757274322509765,200,cm rel 2005
ssp126,gis,FittedISMIP,2140,13.29836196899414,7.843543701171876,9.99773250579834,17.35029751586914,21.87754974365234,200,cm rel 2005
ssp126,gis,FittedISMIP,2150,14.394979858398438,8.67270751953125,11.005235343933109,18.885275436401365,23.990920028686517,200,cm rel 2005
ssp126,gis,bamber19,2020,1.137525272369385,0.518544375896454,0.9041350536346436,1.5255947837829589,2.2869213581085206,200,cm rel 2005
ssp126,gis,bamber19,2030,2.135747814178467,-0.2265912175178527,1.210454646110535,3.932136440277098,7.6806367111206,200,cm rel 2005
