cfg,co2,horizon,ours_m,cx_m,ratio_ours_over_cx,dT_at_h
8km,340,100,0.01442516411310532,0.0033249855041503906,4.338414135971181,0.4122991980335087
8km,340,300,0.03473875041397663,0.005695343017578125,6.0995009970003276,0.49661719258710946
8km,340,1000,0.055927648943124464,0.006256580352783203,8.939012334149178,0.5480548335108324
8km,340,3000,0.070607946308817,0.005239009857177734,13.47734557362594,0.6289316319561067
8km,340,10000,0.08507459494002813,0.029024600982666016,2.9311202242138013,0.7824185172152056
8km,340,30000,0.10029954714159751,0.05162477493286133,1.9428568409651827,0.9500021939274461
8km,340,100000,0.10268924708152832,0.0729990005493164,1.4067212743844881,0.9832622756912883
8km,380,100,0.02389904613197618,0.005777835845947266,4.136331797785434,0.6571518251811312
8km,380,300,0.055209972808881416,0.01182413101196289,4.669262608222417,0.7803180649887054
8km,380,1000,0.08616532283823965,0.021893024444580078,3.935743234396793,0.8838351315999944
8km,380,3000,0.10339088987763746,0.034053802490234375,3.0361041151656094,0.9953202303227044
8km,380,10000,0.13094500199428644,0.029897212982177734,4.3798397553760315,1.3039310948288971
8km,380,30000,0.15397530475623789,0.26783323287963867,0.5748924549084344,1.6098081287133255
8km,380,100000,0.14882499942509653,0.321535587310791,0.46285700649752565,1.5298004279293878
8km,390,100,0.0263726206215226,0.006442070007324219,4.0938115530471775,0.7184572797543751
8km,390,300,0.06062475035989613,0.013538837432861328,4.477840188312503,0.8538994526301167
8km,390,1000,0.09436907116688775,0.027425765991210938,3.440890992693876,0.9787425499941378
8km,390,3000,0.11982565230522942,0.035318851470947266,3.39268258493049,1.2119386020863203
8km,390,10000,0.1324060366017242,0.039099693298339844,3.3863702098999866,1.3232028230328297
8km,390,30000,0.16126417378946095,0.47185611724853516,0.34176556771122707,1.7152301239648864
8km,390,100000,0.15773664519575498,3.2118897438049316,0.04911023035581972,1.6712566779008853
8km,400,100,0.0288183958214476,0.007171630859375,4.018388060754021,0.774158890574995
8km,400,300,0.0659634025591001,0.015663623809814453,4.211247879802182,0.9282649688920515
8km,400,1000,0.10092344698917141,0.03375577926635742,2.989812387171177,1.0506952589134357
8km,400,3000,0.12979923362660417,0.041713714599609375,3.1116680658264766,1.312910811196275
8km,400,10000,0.1396793731235875,0.08656072616577148,1.6136575940466245,1.4154244454449554
8km,400,30000,0.15229944971612197,2.086477279663086,0.07299358167020852,1.581272165562666
8km,400,100000,0.1773399443986471,7.1643010675907135,0.02475327917204418,1.9358663504142442
8km,420,100,0.033807829783323,0.00865030288696289,3.9082827763494516,0.8880858364450432
8km,420,300,0.07572930284004989,0.019965648651123047,3.7929798406920376,1.0592609055997286
8km,420,1000,0.11364287699378936,0.04540252685546875,2.5030077589195026,1.1930918089765896
8km,420,3000,0.14273574749020496,0.07366371154785156,1.9376670614469997,1.466863260418961
8km,420,10000,0.15343723997048728,0.27203369140625,0.5640376351080242,1.6055782316064438
8km,420,30000,0.1752050664282485,3.456193447113037,0.050693072916563026,1.905060682143187
8km,420,100000,0.19110212395345222,7.174839735031128,0.026635037298519272,2.1157391802247503
8km,460,100,0.04301231593496824,0.01165914535522461,3.6891482715492416,1.0911953247820634
8km,460,300,0.09356036836129114,0.029150009155273438,3.209617117542669,1.3040364205023138
8km,460,1000,0.13450083451443173,0.07521820068359375,1.7881421423547617,1.4660989323718354
8km,460,3000,0.16503439343675808,0.17263269424438477,0.9559857369956222,1.780733730129839
8km,460,10000,0.18030787449511815,1.0995874404907227,0.1639777500683807,1.9733428921642826
8km,460,30000,0.20714881103426894,5.76641309261322,0.03592333877356562,2.3579697449812898
8km,460,100000,0.2136211632121624,7.278071492910385,0.029351341687183494,2.4508240371796433
