variant,year,SSP1-2.6,SSP2-4.5,SSP5-8.5,spread_126_585,rate_corr,bias_1942_1982_cm
stock SIMPLE,2100,6.633039835562421,7.265904303155855,8.797453429905978,2.164413594343557,,
regional driver,2100,10.782355988120074,12.458007667494012,16.678737466739246,5.896381478619173,,
faster response x3,2100,15.885074102266653,17.516361895966813,21.489417914845514,5.604343812578861,,
faster response x10,2100,27.45088483576537,31.159444101735296,40.10783139038673,12.65694655462136,,
steeper V_eq x2,2100,8.470414500771943,9.55028157969236,12.209400751278267,3.738986250506324,,
no V/V0 damping,2100,6.719014871536762,7.3664839725835325,8.921923062955138,2.2029081914183752,,
"two channel (30% SMB, tau 10 yr)",2100,11.760351039441243,15.84001266985663,24.479112897306447,12.718761857865204,,
regional + two channel,2100,21.22785849771513,29.91014328135092,48.61161451696613,27.383756019251,,
hindcast: global (stock),1942,,,,,0.21366537623628268,-0.8165761178691794
hindcast: Greenland regional,1942,,,,,0.7723034675813047,-1.1330348737759306
