ism,exp,gcm,ssp,protocol,cm_2100
AWI_ISSM1,expb01,CNRM-CM6-1,ssp585,standard,12.537109851837158
AWI_ISSM1,expb02,CNRM-CM6-1,ssp126,standard,4.187563434243202
AWI_ISSM1,expb03,UKESM1-0-LL,ssp585,standard,18.27692836523056
AWI_ISSM1,expb04,CESM2,ssp585,standard,18.108515441417694
AWI_ISSM1,expb05,CNRM-ESM2-1,ssp585,standard,11.853775382041931
AWI_ISSM2,expb01,CNRM-CM6-1,ssp585,standard,12.735740840435028
AWI_ISSM2,expb02,CNRM-CM6-1,ssp126,standard,4.257453233003616
AWI_ISSM2,expb03,UKESM1-0-LL,ssp585,standard,18.445314466953278
AWI_ISSM2,expb04,CESM2,ssp585,standard,18.20584088563919
AWI_ISSM2,expb05,CNRM-ESM2-1,ssp585,standard,12.042675167322159
AWI_ISSM3,expb01,CNRM-CM6-1,ssp585,standard,12.792199850082397
AWI_ISSM3,expb02,CNRM-CM6-1,ssp126,standard,4.323568567633629
AWI_ISSM3,expb03,UKESM1-0-LL,ssp585,standard,18.497344851493835
AWI_ISSM3,expb04,CESM2,ssp585,standard,18.21025311946869
AWI_ISSM3,expb05,CNRM-ESM2-1,ssp585,standard,12.09607645869255
BGC_BISICLES,expb06,CNRM-CM6-1,ssp585,open,10.358215868473053
BGC_BISICLES,expb07,CNRM-CM6-1,ssp126,open,3.6259185522794724
BGC_BISICLES,expb08,UKESM1-0-LL,ssp585,open,16.88559800386429
GSFC_ISSM,expb01,CNRM-CM6-1,ssp585,standard,14.255811274051666
GSFC_ISSM,expb02,CNRM-CM6-1,ssp126,standard,5.2132997661828995
ILTS_PIK_SICOPOLIS2,expb01,CNRM-CM6-1,ssp585,standard,13.9293372631073
ILTS_PIK_SICOPOLIS2,expb02,CNRM-CM6-1,ssp126,standard,4.817695170640945
ILTS_PIK_SICOPOLIS2,expb03,UKESM1-0-LL,ssp585,standard,20.734043419361115
ILTS_PIK_SICOPOLIS2,expb04,CESM2,ssp585,standard,19.165772199630737
ILTS_PIK_SICOPOLIS2,expb05,CNRM-ESM2-1,ssp585,standard,13.36633563041687
ILTS_PIK_SICOPOLIS3,expb01,CNRM-CM6-1,ssp585,standard,13.96450400352478
ILTS_PIK_SICOPOLIS3,expb02,CNRM-CM6-1,ssp126,standard,4.826110228896141
ILTS_PIK_SICOPOLIS3,expb03,UKESM1-0-LL,ssp585,standard,20.785923302173615
ILTS_PIK_SICOPOLIS3,expb04,CESM2,ssp585,standard,19.29149478673935
ILTS_PIK_SICOPOLIS3,expb05,CNRM-ESM2-1,ssp585,standard,13.395550847053528
IMAU_IMAUICE2,expb01,CNRM-CM6-1,ssp585,standard,15.832114219665527
IMAU_IMAUICE2,expb02,CNRM-CM6-1,ssp126,standard,5.72022944688797
IMAU_IMAUICE2,expb03,UKESM1-0-LL,ssp585,standard,24.975231289863586
IMAU_IMAUICE2,expb05,CNRM-ESM2-1,ssp585,standard,15.094251930713654
JPL_ISSMPALEO,expb01,CNRM-CM6-1,ssp585,standard,8.370107412338257
JPL_ISSMPALEO,expb02,CNRM-CM6-1,ssp126,standard,1.834409311413765
JPL_ISSMPALEO,expb03,UKESM1-0-LL,ssp585,standard,13.698717951774597
JPL_ISSMPALEO,expb05,CNRM-ESM2-1,ssp585,standard,7.665090262889862
JPL_ISSM,expb01,CNRM-CM6-1,ssp585,standard,13.302361965179443
JPL_ISSM,expb02,CNRM-CM6-1,ssp126,standard,4.78333905339241
JPL_ISSM,expb03,UKESM1-0-LL,ssp585,standard,19.44543719291687
JPL_ISSM,expb04,CESM2,ssp585,standard,18.806563317775726
JPL_ISSM,expb05,CNRM-ESM2-1,ssp585,standard,12.723487615585327
LSCE_GRISLI2,expb01,CNRM-CM6-1,ssp585,standard,9.580837935209274
LSCE_GRISLI2,expb02,CNRM-CM6-1,ssp126,standard,2.988831140100956
LSCE_GRISLI2,expb03,UKESM1-0-LL,ssp585,standard,14.940948784351349
LSCE_GRISLI2,expb04,CESM2,ssp585,standard,14.975142478942871
LSCE_GRISLI2,expb05,CNRM-ESM2-1,ssp585,standard,8.957074582576752
NCAR_CISM,expb01,CNRM-CM6-1,ssp585,standard,13.708795607089996
