level_K,curve,transient,ssp126_2300_cm,ssp245_2300_cm,ssp585_2300_cm
2300,linear (current),current,18.897150240058895,25.52172223654912,50.17277599822927
2300,PISM-like graded,current,28.20077350883946,58.09090352741196,167.5359867371567
2300,Yelmo-like step,current,85.72377411329744,144.34064676363278,192.86449390440384
2300,linear (current),10x faster,47.64301498725006,67.79630027738122,134.68886563892056
2300,PISM-like graded,10x faster,77.45708129099563,194.55625027261127,487.61243074284175
2300,Yelmo-like step,10x faster,309.79235298022456,476.13546454204794,526.5385592658771
