component,n_years,coverage_param,coverage_pred,mean_bias,in_sample
ais,126,0.8492063492063492,1.0,-0.0036031434391812093,true
glaciers,124,0.7983870967741935,1.0,0.008605221987864071,true
gis,126,0.6031746031746031,0.9920634920634921,0.00510339635036909,true
te,126,0.2857142857142857,0.9603174603174603,0.1769853658002169,true
total,125,0.256,NaN,0.6464344212534641,false
