year,ssp,component,gmst,med,p05,p17,p83,p95,n_finite
1990,SSP1-2.6,glaciers,0.5557397132233756,-0.6666109796728337,-0.8883501270619395,-0.7882381580009916,-0.5571126575543104,-0.489729556920634,2000
1991,SSP1-2.6,glaciers,0.5885637306361448,-0.6366524507132101,-0.8468889738077054,-0.7519634982066628,-0.5320750141025902,-0.46796394945301206,2000
1992,SSP1-2.6,glaciers,0.5090689778394178,-0.6024102484769285,-0.8021967660726472,-0.7111223610528196,-0.5042035063762162,-0.4433495793843362,2000
1993,SSP1-2.6,glaciers,0.3084522979487564,-0.5859985943782058,-0.7795311165899176,-0.6913481032121271,-0.49024606057254766,-0.4296119069715993,2000
1994,SSP1-2.6,glaciers,0.332676813580452,-0.5482670765108955,-0.7310079397750997,-0.6481341391503714,-0.4588589516447769,-0.4030403548757989,2000
1995,SSP1-2.6,glaciers,0.4547856293863089,-0.515042870349047,-0.6866209299886227,-0.6087300023055264,-0.431600794806136,-0.3790851463793168,2000
1996,SSP1-2.6,glaciers,0.5463394857269461,-0.47135759676079436,-0.6270050103464069,-0.5567499911697578,-0.39403091725999123,-0.3469748373877676,2000
1997,SSP1-2.6,glaciers,0.600043540445978,-0.4336890896548051,-0.5752120366674343,-0.5128815142832457,-0.3644472461058037,-0.31956158870620743,2000
1998,SSP1-2.6,glaciers,0.6466075693928761,-0.38914275076003335,-0.5158060505867367,-0.46077168631840426,-0.3268929464030775,-0.28673968506880987,2000
1999,SSP1-2.6,glaciers,0.686007840655961,-0.3150176612162341,-0.4179348656610383,-0.37234076722313986,-0.2645204420025663,-0.23277640125497814,2000
2000,SSP1-2.6,glaciers,0.7295563669080296,-0.27477858058282667,-0.36403104886509013,-0.32488487594668713,-0.23059717984752628,-0.20306037672795405,2000
2001,SSP1-2.6,glaciers,0.7655239205849365,-0.228156965600383,-0.3021499877012175,-0.27000070690428674,-0.19146391596275836,-0.16852382064769444,2000
2002,SSP1-2.6,glaciers,0.7999498588212678,-0.17087983628463044,-0.22530733827382488,-0.20170418775110982,-0.14400189589053924,-0.12666032822004128,2000
2003,SSP1-2.6,glaciers,0.8301407393993533,-0.11019218291571642,-0.14500420186585036,-0.13006432537841134,-0.09277567131208259,-0.08187133637326896,2000
2004,SSP1-2.6,glaciers,0.8359312010698448,-0.04960104914737817,-0.06590609794891833,-0.05889069265346741,-0.041135627448459104,-0.03612807507412645,2000
2005,SSP1-2.6,glaciers,0.843916603443868,0.00021128604385367566,-0.010542268995871894,-0.00575840504807231,0.005619332236679909,0.009349005012445977,2000
2006,SSP1-2.6,glaciers,0.8516506513236204,0.07019656742055314,0.04868135781856777,0.05688464071435007,0.08433564653237846,0.09662788144945077,2000
2007,SSP1-2.6,glaciers,0.8597675192449368,0.15002807213081937,0.10912645733509765,0.12493636883033976,0.17755996406552177,0.199390652125592,2000
2008,SSP1-2.6,glaciers,0.8671015531069908,0.21078531950516188,0.15463380960430437,0.1767357628384026,0.2492816078716577,0.27978526345122445,2000
2009,SSP1-2.6,glaciers,0.8915919796329949,0.2538325601579956,0.18718110424664072,0.2125821637535662,0.3005252383736381,0.33737941615805705,2000
2010,SSP1-2.6,glaciers,0.91224213325433,0.3117867004764241,0.22970994535752517,0.26120308398245895,0.36877535698041636,0.41505894720797826,2000
