component,n_years,coverage_param,coverage_pred,mean_bias
ais,126,0.8492063492063492,0.9920634920634921,-0.003771554255615305
glaciers,124,0.6370967741935484,1.0,-0.00348881471041825
gis,126,0.6190476190476191,0.9920634920634921,0.0018090668667099647
te,126,0.30158730158730157,1.0,0.28090709866988123
total,125,0.512,1.0,0.22105704624580508
