scenario,quantity,year,value,unit
vvVL,gmst,1900,0.02230387454625582,K
vvVL,gmst,1950,0.08250900437432873,K
vvVL,gmst,1980,0.133573118310849,K
vvVL,gmst,2000,0.14314543845870054,K
vvVL,gmst,2014,0.14338811742157354,K
vvVL,gmst_rms_hist,2014,0.1053453226441531,K
vvVL,gmst_driver_inside_magicc_5_95_frac,2014,0.24848484848484848,fraction of years
vvLN,gmst,1900,0.02230387454625582,K
vvLN,gmst,1950,0.08250900437432873,K
vvLN,gmst,1980,0.133573118310849,K
vvLN,gmst,2000,0.14314543845870054,K
vvLN,gmst,2014,0.14338811742157354,K
vvLN,gmst_rms_hist,2014,0.1053453226441531,K
vvLN,gmst_driver_inside_magicc_5_95_frac,2014,0.24848484848484848,fraction of years
vvL,gmst,1900,0.02230387454625582,K
vvL,gmst,1950,0.08250900437432873,K
vvL,gmst,1980,0.133573118310849,K
vvL,gmst,2000,0.14314543845870054,K
vvL,gmst,2014,0.14338811742157354,K
vvL,gmst_rms_hist,2014,0.1053453226441531,K
vvL,gmst_driver_inside_magicc_5_95_frac,2014,0.24848484848484848,fraction of years
vvML,gmst,1900,0.02230387454625582,K
vvML,gmst,1950,0.08250900437432873,K
vvML,gmst,1980,0.133573118310849,K
vvML,gmst,2000,0.14314543845870054,K
vvML,gmst,2014,0.14338811742157354,K
vvML,gmst_rms_hist,2014,0.1053453226441531,K
vvML,gmst_driver_inside_magicc_5_95_frac,2014,0.24848484848484848,fraction of years
vvM,gmst,1900,0.02230387454625582,K
vvM,gmst,1950,0.08250900437432873,K
vvM,gmst,1980,0.133573118310849,K
vvM,gmst,2000,0.14314543845870054,K
vvM,gmst,2014,0.14338811742157354,K
vvM,gmst_rms_hist,2014,0.1053453226441531,K
vvM,gmst_driver_inside_magicc_5_95_frac,2014,0.24848484848484848,fraction of years
vvHL,gmst,1900,0.02230387454625582,K
vvHL,gmst,1950,0.08250900437432873,K
vvHL,gmst,1980,0.133573118310849,K
vvHL,gmst,2000,0.14314543845870054,K
vvHL,gmst,2014,0.14338811742157354,K
vvHL,gmst_rms_hist,2014,0.1053453226441531,K
vvHL,gmst_driver_inside_magicc_5_95_frac,2014,0.24848484848484848,fraction of years
vvH,gmst,1900,0.02230387454625582,K
vvH,gmst,1950,0.08250900437432873,K
vvH,gmst,1980,0.133573118310849,K
vvH,gmst,2000,0.14314543845870054,K
