ssp,component,horizon,arm,n_draws,med_cm,p05_cm,p95_cm,spread_cm,spread_ratio,med_ratio
ssp585,ais,2100,fixed,2000,37.07302382802588,16.45111107047176,67.00880260515375,50.557691534681986,1.0,1.0
ssp585,ais,2100,joint,2000,35.05445466385945,7.3845730179101245,71.18921918500676,63.804646167096635,1.2620166038104685,0.9455515370548095
ssp585,ais,2150,fixed,2000,94.34845106432459,53.76145648576979,148.5505844726424,94.78912798687261,1.0,1.0
ssp585,ais,2150,joint,2000,92.13018642168649,47.096077718589285,154.90185151525915,107.80577379666987,1.1373221390073336,0.9764885950154524
ssp585,ais,2300,fixed,2000,281.1895243759867,168.34130464984796,420.69676856599915,252.3554639161512,1.0,1.0
ssp585,ais,2300,joint,2000,277.33879339367985,159.43156683885545,462.50078767253075,303.06922083367533,1.2009615965136167,0.9863055674252006
ssp585,total,2100,fixed,2000,94.66868952500033,74.33576137477942,124.46541882504165,50.12965745026223,1.0,1.0
ssp585,total,2100,joint,2000,92.4476690192987,56.22295166655351,138.16566754714592,81.9427158805924,1.6346155160125428,0.9765390171043289
ssp585,total,2150,fixed,2000,198.62975459281333,157.7966646528028,252.71514379410206,94.91847914129926,1.0,1.0
ssp585,total,2150,joint,2000,195.58653199361027,132.27891840076165,279.65677280043525,147.3778543996736,1.5526782111656183,0.9846789187982354
ssp585,total,2300,fixed,2000,467.5767275530126,355.16828613376896,608.6061105698636,253.43782443609467,1.0,1.0
ssp585,total,2300,joint,2000,461.72141652677703,305.7671123645645,690.841062149689,385.0739497851245,1.5194020491689566,0.9874773257923285
