block,year,ladrillo_loss_pct
R19,2050,14.857698357646257
R19,2100,32.42948803722729
R19,2150,42.74501391444622
R19,2200,49.96711241638849
R19,2250,54.96793514676261
R19,2300,59.39139645283001
SLOWP,2050,9.266453875854449
SLOWP,2100,22.5369812086546
SLOWP,2150,30.08519264082276
SLOWP,2200,35.20659944197892
SLOWP,2250,39.240793833659254
SLOWP,2300,42.20995560124957
FAST,2050,20.351179259670396
FAST,2100,38.65277937763409
FAST,2150,45.65443121810311
FAST,2200,49.24408670574367
FAST,2250,51.720836086950506
FAST,2300,53.3821655274341
