driver,T_off,logJ,ll_flow,a,b,f,tau_s,sigma,S1900,inv_z,com12,com2,sens,spread,ds245,npass,g_inv,g_s1900,g_lad,g_spread
Tglac,-0.3,-13.604827588185536,-4.5642954751935925,0.364459684666973,1.2,0.23211162909027885,516.4240912983896,0.04575570830901626,23.473375378264294,-0.13815338014436057,90.29237741792923,97.90027214842596,13.58920892486376,0.15047145918376792,6.834053575949012,2,True,True,False,False
Tglac,-0.2,-17.083807157684078,-7.686224560396704,0.3623044481721492,1.1999943776114315,0.2134882580793845,502.34784921510095,0.05257407453326933,15.407548574615143,-0.0036116722790358047,89.40629977375632,97.70859993781927,15.231394392404729,0.16759466532579648,7.081699070963754,2,True,True,False,False
Gfair,-2.0,-9.131949716102994,0.16555061194198117,0.41158435013464284,0.504524916690058,0.020000000000016508,302.30077518634755,0.035622720534227464,42.400369270621574,0.1882144137552037,71.5222820469274,80.97979144813556,37.36972565523794,0.5292290246689948,6.599205972958319,1,True,False,False,False
Gfair,-1.9,-8.683724873597884,0.15705061804168352,0.41016804220269465,0.5133809005142661,0.02,296.55317822151926,0.03658568639175429,42.11254773623124,0.17525024332175343,70.87359683680232,80.68387252209511,38.449737545464934,0.5515409100177564,6.66312451868621,1,True,False,False,False
Gfair,-1.8,-8.402021526342981,0.048825206370171514,0.40951125767748264,0.5290687638766527,0.02,292.67588854206707,0.03689984600177377,41.9170031865257,0.16964166990048787,70.74929395529813,80.8433732421056,39.14096784137872,0.5640624290204181,6.739203584608472,1,True,False,False,False
Gfair,-1.7,-8.182218936892754,-0.08373430177006469,0.4088381451731271,0.5465488396111932,0.02,288.88339743707104,0.03729970650069152,41.690658517456654,0.16447406836951894,70.68757710069127,81.0695385000544,39.79074393342835,0.5756162345524372,6.820931858403677,1,True,False,False,False
Gfair,-1.6,-8.029480793597038,-0.24537245538236263,0.4081646377471328,0.565949336487961,0.02,285.1445170214824,0.03780076581544523,41.42837524072339,0.16013656600856557,70.68466529784733,81.35922699547932,40.39999903606423,0.5862106302780781,6.909290122073935,1,True,False,False,False
Gfair,-1.5,-7.950188056804195,-0.4419438819622066,0.4075090215331137,0.5873734111843529,0.02,281.40853849039695,0.0384210727975497,41.12387115659229,0.1570901774116331,70.73314644213313,81.70629761214566,40.973320058950605,0.5959591677011913,7.005590579670551,1,True,False,False,False
Gfair,-1.4,-7.95225883124031,-0.6808233265662444,0.4068912475907104,0.610894280502196,0.020000000000025556,277.6052441611579,0.03918204005925296,40.76917555497883,0.15587131779541963,70.82215769402168,82.10190698527414,41.519396298560885,0.6050941959438587,7.111564973864402,1,True,False,False,False
Gfair,-1.3,-8.045569661339233,-0.9714649066441545,0.4063318553415143,0.6365506329671063,0.020000000000000007,273.645656028785,0.04010952699627673,40.353831530107655,0.15709586688719598,70.9377527230533,82.53498947156578,42.051368978071494,0.6139771796029843,7.229469591065685,1,True,False,False,False
Gfair,-1.2,-8.242515188998299,-1.326157216916478,0.4058504973538671,0.6643396580280138,0.02,269.42279826814104,0.0412352646493107,39.86372843493888,0.16146741180573243,71.06323515463438,82.99272488949383,42.58727997767448,0.6231119302933745,7.362217927678305,1,True,False,False,False
Gfair,-1.1,-8.558758819059774,-1.7610383190110497,0.40546325603822453,0.6942048291052646,0.02,264.81161778020754,0.04259875078825711,39.2793878256524,0.1697823614557235,71.17927496851395,83.46084029981684,43.150743106564526,0.633167653379954,7.513548965373654,1,True,False,False,False
Gfair,-1.0,-9.014250774314757,-2.2974815563428344,0.405178393806729,0.7260108331370904,0.02,259.6673565157761,0.044249770216594445,38.573362539957486,0.18293737029535334,71.26343467325712,83.92344983854242,43.77235634084414,0.6450272307629952,7.6882519437380665,1,True,False,False,False
Gfair,-0.9,-9.634624904093176,-2.9640134365572877,0.4049885475162862,0.7594963163565104,0.02000000000002284,253.82250519883218,0.0462519077490411,37.70612992641463,0.20192805790176055,71.28881495425514,84.36222101179229,44.492285505398634,0.6598774717198648,7.892445565192655,1,True,False,False,False
Gfair,-0.8,-10.453134366213268,-3.7990021189890175,0.40485706656010934,0.7941802807872307,0.02000000000000122,247.0829125064719,0.04868739202071561,36.61932530489696,0.22784333894435757,71.22095736359344,84.75421286594062,45.36545126293257,0.6793828229408554,8.133897538908862,1,True,False,False,False
Gfair,-0.7,-11.513347447863014,-4.854373892860616,0.4046929803064946,0.8291773774893091,0.020000000000000028,239.22678474815723,0.05166374170000932,35.22415043716728,0.26185002761806114,71.0115947237924,85.06729117707903,46.47175417342775,0.7060143552707263,8.422242833997512,1,True,False,False,False
Gfair,-0.6,-12.876880148714381,-6.176635940289451,0.40430018837981657,0.8663268761213125,0.02,230.3898065970581,0.05544881026198785,33.43691402335518,0.3024919291647943,70.75426553951742,85.37587983374905,47.67919834122297,0.7376794171274579,8.764932190514221,1,True,False,False,False
Gfair,-0.5,-14.646781676102025,-7.855090905380674,0.40358808937050517,0.905506167749057,0.02,220.33624320835904,0.060264640686405,31.124244939573515,0.3514744901138687,70.43491404463127,85.6723791475882,49.01752612796728,0.7764339430272571,9.180245029095852,1,True,False,False,False
Gfair,-0.4,-16.934803220339383,-10.167907767275462,0.39993818255325564,0.9469304240584654,0.23020647780383374,276.69686789140144,0.06684797519280751,31.000545505313887,0.33174830461896454,69.73433213085845,85.81096253099507,50.1778447317342,0.9111538786740532,9.418875535215369,1,True,False,False,False
Gfair,-0.3,-19.785670621794736,-13.213700562485256,0.3952676569910038,0.9737621470401284,0.294190324855237,290.1815294086023,0.0752864735887789,26.49758234368816,0.37425947788094216,68.54359957459336,85.56591020147087,52.59981082814475,1.0201941748098609,9.93555513704617,2,True,True,False,False
Gfair,-0.2,-23.552825223406497,-17.033438959283128,0.38820171432930084,0.9827797862724881,0.34634578284220924,307.4909440570092,0.08578315130688664,19.859468324511763,0.43109789515693997,66.580833748878,84.77550344223943,56.30442086612902,1.184702567959011,10.495172815778272,2,True,True,False,False
