driver,T_off,logJ,ll_flow,a,b,f,tau_s,sigma,S1900,inv_z,com12,com2,sens,spread,ds245,npass,g_inv,g_s1900,g_lad,g_spread
Tglac,-2.0,-3.6433689795050483,9.965315547133564,0.3844086782642494,0.4121444332215656,0.3905293658046561,476.28771490854047,0.005000000000000263,54.26482543700348,-0.4422841292211923,69.30552791568125,81.85818736077532,39.42917576231542,0.7971919927168223,6.546033742506411,1,True,False,False,False
Tglac,-1.9,-3.2926701835167833,9.896167034298688,0.3817152294090661,0.4469548358630001,0.3809152906812489,489.9383189238259,0.005,54.08438703153881,-0.48252403997853155,71.91596745028882,84.12218760939051,36.808326085305765,0.7144108865608345,6.462852276787738,1,True,False,False,False
Tglac,-1.8,-2.992538148935491,9.832707881288119,0.37905274643969833,0.4845786375603678,0.3724431545131591,502.8739734665916,0.005,53.89234768915472,-0.5219353788290471,74.39577239533654,86.20268459481629,34.1135667877811,0.6358413958874216,6.377542215084688,1,True,False,False,False
Tglac,-1.7,-2.7471641984571757,9.774182131884974,0.3763801519685579,0.525339653116804,0.36507243652542043,515.2524187925659,0.005,53.683524050320784,-0.5610776362072772,76.74658116354622,88.10449089237513,31.370334000467793,0.5616506407211981,6.290006462739075,1,True,False,False,False
Tglac,-1.6,-2.5622161530582233,9.719638141766866,0.3736551820598437,0.5696260573103735,0.3587546350406629,527.2176639207355,0.005000000000002594,53.45177178445196,-0.6005082743379547,78.9713096225057,89.83357532513743,28.60353285227252,0.4919635452452251,6.200050206899932,1,True,False,False,False
Tglac,-1.5,-2.4452385745355816,9.667841602278408,0.3708329093394581,0.6179014860889807,0.3534397788453619,538.9046567120777,0.005000000000000018,53.18956098707306,-0.6407976310885624,81.0735129297167,91.39649498638799,25.837866806098177,0.42687951097636034,6.107380346688697,1,True,False,False,False
Tglac,-1.4,-2.4062238507265796,9.61713249752261,0.3678640095907126,0.6707199417682991,0.3490784925729022,550.4435447854444,0.005,52.887364947464874,-0.6825441011623875,83.0569499526086,92.80005836055196,23.09812239864617,0.3664817130547924,6.011593289442553,1,True,False,False,False
Tglac,-1.3,-2.4584200362577935,9.565212184771724,0.36469250569968775,0.7287453664259221,0.34562106962431055,561.9633720868947,0.005,52.5327726017131,-0.7263923250284493,84.92527455118073,94.05114393181474,20.409373868759072,0.3108412288785889,5.912148546096063,1,True,False,False,False
Tglac,-1.2,-2.6194733358936126,9.50882327669961,0.36125313962525435,0.7927765678005695,0.3430131906358443,573.5958653782924,0.005000000000012555,52.10917306666836,-0.7730485701279581,86.68179411316152,95.15662058349702,17.797134712103535,0.260017990320768,5.808324165372536,1,True,False,False,False
Tglac,-1.1,-2.913049174304277,9.44324955340506,0.35746816053952274,0.8637790836052969,0.341186613090028,585.4783313670366,0.005,51.59370845956625,-0.8232910411297446,88.32928486907413,96.12335552167626,15.287390507874864,0.21405832697376237,5.6991439928761825,1,True,False,False,False
Tglac,-1.0,-3.3711389148393636,9.361513007645048,0.353243806806385,0.9429233447721193,0.3400420564292505,597.7567142915168,0.005,50.953958913754384,-0.8779600741048851,89.86978866307437,96.95826618375867,12.906571908612053,0.1729910354070272,5.5832649700716805,1,True,False,False,False
Tglac,-0.9,-4.0373345821422255,9.253031430129077,0.3484670891151677,1.0316276258529702,0.33941597090801945,610.5861826027291,0.005000000000000115,50.1423474351324,-0.9378994406440772,91.30439278642562,97.66842513966866,10.681398560724531,0.13682111678576803,5.458800348134536,1,True,False,False,False
Tglac,-0.8,-4.971405144455371,9.101250049936091,0.34300526869641335,1.1315940139932048,0.3390160849796653,624.1281322996325,0.005000000000000001,49.086115517161076,-1.0037707364684716,92.63290714590622,98.261191601511,8.638650281880933,0.10552223721792853,5.323049631137314,0,False,False,False,False
Tglac,-0.7,-6.410734173832907,7.966639578994297,0.330002783586103,1.19999999999996,0.3557884279744584,640.7710203182793,0.005000000000001473,46.14326769936385,-1.1531915827844186,93.07154549627184,98.50139735379587,7.613790671941345,0.09182604086479795,5.251071854821254,0,False,False,False,False
Tglac,-0.6,-9.838614608652449,3.58448143239646,0.3157731942389554,1.2,0.3769643849174736,647.1079909245834,0.005,40.72152039669298,-1.2677182158252227,92.25038947582162,98.32378392145961,8.214363692185922,0.10181791679607688,5.392097192412429,0,False,False,False,False
Tglac,-0.5,-9.299538850826206,1.0457434450604932,0.36517004653495155,1.2,0.2610347741148983,547.7713954639282,0.03231964019963702,36.328031513094736,-0.3936464494321418,91.93942757206419,98.25652385190315,10.710485356903831,0.11768713807904518,6.2409610484214255,1,True,False,False,False
Tglac,-0.4,-11.074874668649857,-1.6193224998728475,0.3652937636886316,1.2,0.24814820748082392,532.033726406881,0.03901025707680926,30.4313704714545,-0.2694998421253203,91.1385504334611,98.08329667713437,12.080129799358241,0.13352772209221087,6.545909737926256,1,True,False,False,False
