year,gsic_adj
1900,-7.27700420293
1901,-7.19201579961
1902,-7.10599819097
1903,-7.04884410771
1904,-6.9647086707
1905,-6.86514507207
1906,-6.78516536626
1907,-6.7199607459
1908,-6.64097972783
1909,-6.56629558477
1910,-6.4967437354
1911,-6.40783153447
1912,-6.33277965459
1913,-6.26434474858
1914,-6.15112605962
1915,-5.99616084966
1916,-5.89606166753
1917,-5.7766593543
1918,-5.67177921208
1919,-5.58503070745
1920,-5.53279949102
1921,-5.47143054875
1922,-5.39706416997
1923,-5.27797008428
1924,-5.18389659795
1925,-5.09053493413
1926,-4.98425517949
1927,-4.87102313909
1928,-4.76876254949
1929,-4.67126232061
1930,-4.5751269904
1931,-4.44350086125
1932,-4.35036960515
1933,-4.25953250798
1934,-4.18574787053
1935,-4.09781146916
1936,-3.99091983708
1937,-3.89691425237
1938,-3.79899288091
1939,-3.72093234929
1940,-3.6258666602
1941,-3.52210994634
1942,-3.42794910344
1943,-3.31921268376
1944,-3.20311962041
1945,-3.10310283574
1946,-3.00976177129
1947,-2.90582881841
1948,-2.81444850835
1949,-2.75249629888
1950,-2.64135585698
1951,-2.56356235417
1952,-2.47088924321
1953,-2.37081600103
1954,-2.28918491277
1955,-2.24269004735
1956,-2.15210204991
1957,-2.05362754735
1958,-1.97923446569
1959,-1.9245202628
1960,-1.84986911687
1961,-1.77509895238
1962,-1.6921268073
1963,-1.65613056096
1964,-1.65638366613
1965,-1.6436187354
1966,-1.60752426061
1967,-1.57432399663
1968,-1.55316139134
1969,-1.5060065833
1970,-1.47674499425
1971,-1.42996688756
1972,-1.42581516179
1973,-1.39842201146
1974,-1.35760646733
1975,-1.32605033788
1976,-1.31339240941
1977,-1.25747276219
1978,-1.19689861211
1979,-1.13455577764
1980,-1.090385398
1981,-1.04518371495
1982,-1.00738120946
1983,-0.98260436925
1984,-0.923342284289
1985,-0.869401892749
1986,-0.834535559741
1987,-0.80257192525
1988,-0.756219824878
1989,-0.703258570758
1990,-0.616762503711
1991,-0.549639662829
1992,-0.532529887286
1993,-0.457681330768
1994,-0.388064822284
1995,-0.305494746295
1996,-0.279520663348
1997,-0.210148772326
1998,-0.118133744327
1999,-0.0583946314725
2000,-0.00850888165561
2001,0.0506707581607
2002,0.112783900174
2003,0.203065434369
2004,0.280523434552
2005,0.333157912168
2006,0.413940397176
2007,0.480652168664
2008,0.533499971303
2009,0.597413119945
2010,0.688776820424
2011,0.751769814166
2012,0.778427461061
2013,0.865110281381
2014,0.939145699414
2015,1.01763142672
2016,1.08816784945
2017,1.17695745555
2018,1.20556921092
2019,1.27272925168
2020,1.3862951469
2021,1.41047483636
2022,1.5161915257
2023,1.63055217082
