parameter,value,nlp,params,delta_nlp
beta_f,1e-06,33.6303755,c1=1.71051; c0=8.29641; f=0.525801; alpha_f=0.013859; beta_f=1e-06; alpha_s=6.3448e-15; beta_s=0.0145288; g=0.355319,0.00155053822
beta_f,1.54869418e-06,33.6303718,c1=1.71052; c0=8.31944; f=0.525806; alpha_f=0.0138586; beta_f=1.54869e-06; alpha_s=6.22734e-15; beta_s=0.0145288; g=0.357005,0.00154680082
beta_f,2.39845367e-06,33.630366,c1=1.71055; c0=8.3043; f=0.525815; alpha_f=0.013858; beta_f=2.39845e-06; alpha_s=6.31304e-15; beta_s=0.0145287; g=0.355894,0.00154102403
beta_f,3.71447124e-06,33.6303571,c1=1.71058; c0=8.28265; f=0.525827; alpha_f=0.0138571; beta_f=3.71447e-06; alpha_s=6.46706e-15; beta_s=0.0145287; g=0.354298,0.00153210466
beta_f,5.75258e-06,33.6303433,c1=1.71064; c0=8.29058; f=0.525847; alpha_f=0.0138557; beta_f=5.75258e-06; alpha_s=6.34809e-15; beta_s=0.0145287; g=0.354877,0.00151835631
beta_f,8.90898718e-06,33.6303222,c1=1.71072; c0=8.24033; f=0.525878; alpha_f=0.0138535; beta_f=8.90899e-06; alpha_s=6.47063e-15; beta_s=0.0145286; g=0.351149,0.00149722026
beta_f,1.37972966e-05,33.6302898,c1=1.71085; c0=8.25736; f=0.525926; alpha_f=0.01385; beta_f=1.37973e-05; alpha_s=6.53877e-15; beta_s=0.0145285; g=0.352402,0.00146486094
beta_f,2.1367793e-05,33.6302406,c1=1.71105; c0=8.29133; f=0.525999; alpha_f=0.0138448; beta_f=2.13678e-05; alpha_s=6.36362e-15; beta_s=0.0145283; g=0.354891,0.00141564306
beta_f,3.30921767e-05,33.6301665,c1=1.71136; c0=8.29009; f=0.526113; alpha_f=0.0138366; beta_f=3.30922e-05; alpha_s=6.27875e-15; beta_s=0.0145281; g=0.354769,0.00134156994
beta_f,5.12496615e-05,33.630057,c1=1.71185; c0=8.29462; f=0.526289; alpha_f=0.0138239; beta_f=5.12497e-05; alpha_s=6.32802e-15; beta_s=0.0145277; g=0.355054,0.00123200863
beta_f,7.93700526e-05,33.6298996,c1=1.71259; c0=8.28992; f=0.526562; alpha_f=0.0138043; beta_f=7.93701e-05; alpha_s=6.33692e-15; beta_s=0.0145271; g=0.354633,0.00107468831
beta_f,0.000122919939,33.6296856,c1=1.71376; c0=8.27861; f=0.526984; alpha_f=0.0137739; beta_f=0.00012292; alpha_s=6.42962e-15; beta_s=0.0145261; g=0.353682,0.000860653798
beta_f,0.000190365394,33.6294099,c1=1.71556; c0=8.27166; f=0.527639; alpha_f=0.0137267; beta_f=0.000190365; alpha_s=6.35471e-15; beta_s=0.0145248; g=0.352982,0.000584898169
beta_f,0.000294817778,33.6290147,c1=1.71836; c0=8.28152; f=0.528654; alpha_f=0.0136535; beta_f=0.000294818; alpha_s=6.36681e-15; beta_s=0.0145226; g=0.353388,0.000189711907
beta_f,0.000456582577,33.6288304,c1=1.72274; c0=8.25437; f=0.530214; alpha_f=0.01354; beta_f=0.000456583; alpha_s=6.43909e-15; beta_s=0.0145189; g=0.35087,5.3988126e-06
