scenario,horizon,arm,param,n,param_median,median_cm,p05_cm,p95_cm,spread_p05_p95_cm
ssp245,2100,chain,,2000,NaN,5.5843293943359065,3.7610030049447927,39.19933980502621,35.43833680008142
ssp245,2150,chain,,2000,NaN,11.905364911780225,6.471177122854362,101.88798182026315,95.41680469740879
ssp245,2300,chain,,2000,NaN,131.34861718409843,15.355865575529485,296.1238522008858,280.7679866253563
ssp245,2100,antarctic_alpha_to_seed2026,antarctic_alpha,2000,0.31030085555799114,6.782491107384554,2.429311381912135,38.914252205946816,36.48494082403468
ssp245,2150,antarctic_alpha_to_seed2026,antarctic_alpha,2000,0.31030085555799114,16.50315528235624,5.428332560267333,104.28064450808859,98.85231194782125
ssp245,2300,antarctic_alpha_to_seed2026,antarctic_alpha,2000,0.31030085555799114,137.15726017201058,15.424437992611795,302.6437575776714,287.2193195850596
ssp245,2100,antarctic_alpha_to_seed2027,antarctic_alpha,2000,0.189607758484087,4.841583583285028,0.7808580566575426,37.83683551454859,37.055977457891046
ssp245,2150,antarctic_alpha_to_seed2027,antarctic_alpha,2000,0.189607758484087,10.238150706628982,3.022862755948005,100.24613864045797,97.22327588450996
ssp245,2300,antarctic_alpha_to_seed2027,antarctic_alpha,2000,0.189607758484087,128.9977477887996,10.924083677075103,293.55095934819906,282.62687567112397
ssp245,2100,antarctic_alpha_to_seed2028,antarctic_alpha,2000,0.5116083673134715,9.297447314737362,3.3327788168455745,42.02555586820692,38.69277705136135
ssp245,2150,antarctic_alpha_to_seed2028,antarctic_alpha,2000,0.5116083673134715,24.467499213767056,6.615361424059717,106.71980372162461,100.1044422975649
ssp245,2300,antarctic_alpha_to_seed2028,antarctic_alpha,2000,0.5116083673134715,143.68473159371666,18.122399071648708,316.32080235796224,298.1984032863135
ssp245,2100,antarctic_alpha_to_seed2029,antarctic_alpha,2000,0.10406477459494853,4.034690297350828,-3.644773442757784,35.963223909606384,39.607997352364166
ssp245,2150,antarctic_alpha_to_seed2029,antarctic_alpha,2000,0.10406477459494853,9.267708488698652,-3.336490981784333,97.1409059269845,100.47739690876884
ssp245,2300,antarctic_alpha_to_seed2029,antarctic_alpha,2000,0.10406477459494853,122.49344709165908,-0.8660954671635219,284.2866535135197,285.1527489806832
ssp245,2100,ais_runoff_Ton_to_seed2026,ais_runoff_Ton,2000,-17.81569318966424,5.535715883269198,3.7160777232867916,39.13148032062512,35.41540259733833
ssp245,2150,ais_runoff_Ton_to_seed2026,ais_runoff_Ton,2000,-17.81569318966424,11.84018837291812,6.398946970798335,101.80944100660778,95.41049403580945
ssp245,2300,ais_runoff_Ton_to_seed2026,ais_runoff_Ton,2000,-17.81569318966424,131.12033888465996,15.142975575258507,296.0867369090412,280.9437613337827
ssp245,2100,ais_runoff_Ton_to_seed2027,ais_runoff_Ton,2000,-17.8671224588269,5.631320258984902,3.7899497333577443,39.245755305729126,35.45580557237138
ssp245,2150,ais_runoff_Ton_to_seed2027,ais_runoff_Ton,2000,-17.8671224588269,12.055725705574684,6.520215519465778,101.96320404031536,95.44298852084958
ssp245,2300,ais_runoff_Ton_to_seed2027,ais_runoff_Ton,2000,-17.8671224588269,131.4987242440886,15.56401978745136,296.30960123284495,280.7455814453936
ssp245,2100,ais_runoff_Ton_to_seed2028,ais_runoff_Ton,2000,-17.800414368724613,5.513853019409845,3.6996073638185933,39.09820628311211,35.39859891929352
ssp245,2150,ais_runoff_Ton_to_seed2028,ais_runoff_Ton,2000,-17.800414368724613,11.760643608775784,6.37730089230748,101.80009903927257,95.42279814696509
ssp245,2300,ais_runoff_Ton_to_seed2028,ais_runoff_Ton,2000,-17.800414368724613,130.95023992668507,15.057280813475764,296.04194605731374,280.984665243838
ssp245,2100,ais_runoff_Ton_to_seed2029,ais_runoff_Ton,2000,-17.88108252967323,5.660606131450114,3.8031218497156645,39.27149514958283,35.46837329986717
ssp245,2150,ais_runoff_Ton_to_seed2029,ais_runoff_Ton,2000,-17.88108252967323,12.134891240987889,6.515536266718932,102.01503947041198,95.49950320369305
ssp245,2300,ais_runoff_Ton_to_seed2029,ais_runoff_Ton,2000,-17.88108252967323,131.59296382391415,15.46749189948465,296.4604571926408,280.99296529315615
ssp585,2100,chain,,2000,NaN,37.07302382802588,16.45111107047176,67.00880260515375,50.557691534681986
ssp585,2150,chain,,2000,NaN,94.34845106432459,53.76145648576979,148.5505844726424,94.78912798687261
ssp585,2300,chain,,2000,NaN,281.1895243759867,168.34130464984796,420.69676856599915,252.3554639161512
ssp585,2100,antarctic_alpha_to_seed2026,antarctic_alpha,2000,0.31030085555799114,38.27295436287717,17.389103185720188,68.25247476259469,50.8633715768745
ssp585,2150,antarctic_alpha_to_seed2026,antarctic_alpha,2000,0.31030085555799114,97.539972099936,55.62352685179685,150.99305285911143,95.36952600731458
ssp585,2300,antarctic_alpha_to_seed2026,antarctic_alpha,2000,0.31030085555799114,291.18082364610564,176.51559001975704,427.09689363701483,250.5813036172578
ssp585,2100,antarctic_alpha_to_seed2027,antarctic_alpha,2000,0.189607758484087,35.665513742905986,15.343917320540951,65.31859845487254,49.97468113433159
ssp585,2150,antarctic_alpha_to_seed2027,antarctic_alpha,2000,0.189607758484087,91.55201421771599,50.49634141487409,143.87872983147912,93.38238841660504
ssp585,2300,antarctic_alpha_to_seed2027,antarctic_alpha,2000,0.189607758484087,272.29377522491734,160.6857300520835,405.87751863794574,245.19178858586224
ssp585,2100,antarctic_alpha_to_seed2028,antarctic_alpha,2000,0.5116083673134715,41.71287632146486,18.925279073893762,71.61287524537298,52.687596171479214
ssp585,2150,antarctic_alpha_to_seed2028,antarctic_alpha,2000,0.5116083673134715,105.09974953384207,60.02054978463308,161.84586997852892,101.82532019389583
ssp585,2300,antarctic_alpha_to_seed2028,antarctic_alpha,2000,0.5116083673134715,313.58746739343326,190.79285541174053,454.49798107226974,263.70512566052923
ssp585,2100,antarctic_alpha_to_seed2029,antarctic_alpha,2000,0.10406477459494853,33.43239401192801,13.281842761808006,62.183641035452695,48.90179827364469
ssp585,2150,antarctic_alpha_to_seed2029,antarctic_alpha,2000,0.10406477459494853,86.48941984776232,45.65482405972122,137.61632938643106,91.96150532670984
ssp585,2300,antarctic_alpha_to_seed2029,antarctic_alpha,2000,0.10406477459494853,256.36368701233806,144.40623606378253,389.11449305352,244.70825698973746
ssp585,2100,ais_runoff_Ton_to_seed2026,ais_runoff_Ton,2000,-17.81569318966424,36.97892709634223,16.396959379670516,66.90549226576742,50.5085328860969
ssp585,2150,ais_runoff_Ton_to_seed2026,ais_runoff_Ton,2000,-17.81569318966424,94.20087353028029,53.71489264763985,148.34923694398535,94.63434429634549
ssp585,2300,ais_runoff_Ton_to_seed2026,ais_runoff_Ton,2000,-17.81569318966424,280.61530686895276,168.0429708242035,420.4463256226794,252.4033547984759
