variant,block,members,a,b,T_off,amp_b,S2000_mm,S2020_mm,tau15,tau30,kappa_anch,nu_anch,anch_exact,glambie_rate,com1p2,com1p5,com2p0,com3p0
3BLOCK,POLAR,19/03,0.17550,0.36232,0.20015,1.35042,20.71110,22.93080,758.95694,190.67357,0.00083,1.44054,True,0.13335,31.24392,39.82784,53.51481,66.51436
3BLOCK,SUBPOLAR,09/07/06,0.06531,1.20809,1.18238,1.65815,12.20160,13.94668,390.17457,68.17309,0.00206,1.33001,True,0.10533,52.05928,66.45759,90.34560,97.92846
3BLOCK,FAST,01/04/17/13/14/02/15/08/10/11/16/18/12,0.14218,0.41429,-1.52600,1.23005,60.07800,67.95755,129.89607,37.01309,0.00321,1.59756,True,0.41684,44.77160,50.69680,63.26240,78.56940
REASSIGN,POLAR,19/03,0.17550,0.36232,0.20015,1.35042,20.71110,22.93080,758.95694,190.67357,0.00083,1.44054,True,0.13335,31.24392,39.82784,53.51481,66.51436
REASSIGN,FASTX,09/07/06/01/04/17/13/14/02/15/08/10/11/16/18/12,0.20749,0.66954,-0.07616,1.33880,72.27960,81.90423,232.13323,49.25271,0.00284,1.50879,True,0.52217,46.45045,57.50965,73.85903,86.79232
