year,ssp,component,gmst,med,p05,p17,p83,p95,n_finite
1990,SSP1-2.6,glaciers,0.5557397132233756,-0.7204576815345622,-0.8904870917518024,-0.8098596894241264,-0.6685614533289941,-0.6372150741582931,2000
1991,SSP1-2.6,glaciers,0.5885637306361448,-0.6864465215851241,-0.8432478847630525,-0.7689627939015671,-0.6378616591500935,-0.6091503377156195,2000
1992,SSP1-2.6,glaciers,0.5090689778394178,-0.6484316778603088,-0.7908628759969997,-0.723267819796689,-0.6043116840426299,-0.5776520369459981,2000
1993,SSP1-2.6,glaciers,0.3084522979487564,-0.6284124857871329,-0.7595213935436742,-0.6960731688697924,-0.5868686425697006,-0.5628114174247384,2000
1994,SSP1-2.6,glaciers,0.332676813580452,-0.5872754948126122,-0.7076823369805965,-0.6500523453300465,-0.5487686792421405,-0.5259367335975563,2000
1995,SSP1-2.6,glaciers,0.4547856293863089,-0.5502619076547282,-0.6591672770131374,-0.6078712739504635,-0.514494888473084,-0.49364353148206064,2000
1996,SSP1-2.6,glaciers,0.5463394857269461,-0.5017233841412176,-0.6003246486430777,-0.5544456255213875,-0.4692511320036146,-0.4509037405729322,2000
1997,SSP1-2.6,glaciers,0.600043540445978,-0.46042146734659894,-0.5454349402562452,-0.5054032715806536,-0.4322573885441319,-0.41529163757746773,2000
1998,SSP1-2.6,glaciers,0.6466075693928761,-0.4124915018244164,-0.48594842050642606,-0.4519080456147197,-0.3874089738890856,-0.372860653628354,2000
1999,SSP1-2.6,glaciers,0.686007840655961,-0.3351446850228701,-0.39709864852807747,-0.3679155822030676,-0.3144556517533898,-0.30237556888459927,2000
2000,SSP1-2.6,glaciers,0.7295563669080296,-0.29094951416661896,-0.3433394479938836,-0.3189606008289614,-0.2728603757368274,-0.26285880121958777,2000
2001,SSP1-2.6,glaciers,0.7655239205849365,-0.2404883862786762,-0.2825701441497849,-0.26378639685886773,-0.2252928585296566,-0.21686053008491019,2000
