cap,n_models,dt_bin,median,monotone_decreasing
2.75,40,0.75,1.4976787197786126,True
2.75,40,1.25,1.478328255923591,True
2.75,40,1.75,1.3930887895426927,True
2.75,40,2.25,1.3473071039646358,True
2.75,40,2.75,1.284465747687836,True
3.25,39,0.75,1.5071331557290022,False
3.25,39,1.25,1.4768681841984768,False
3.25,39,1.75,1.3967267891091577,False
3.25,39,2.25,1.3477514038413358,False
3.25,39,2.75,1.2958405237688893,False
3.25,39,3.25,1.340695914410355,False
3.75,34,0.75,1.552614553004367,False
3.75,34,1.25,1.4857666279610844,False
3.75,34,1.75,1.439408122215013,False
3.75,34,2.25,1.3737292426241876,False
3.75,34,2.75,1.3244751822110605,False
3.75,34,3.25,1.3623212631088255,False
3.75,34,3.75,1.3319134996406325,False
4.25,25,0.75,1.542911910834989,False
4.25,25,1.25,1.5747161458686654,False
4.25,25,1.75,1.4415393446485396,False
4.25,25,2.25,1.3816238568255428,False
4.25,25,2.75,1.3634892518288235,False
4.25,25,3.25,1.3885387791607753,False
4.25,25,3.75,1.3390636168486594,False
4.25,25,4.25,1.3014764432937875,False
