year,ais_p05,ais_p50,ais_p95,ais_pred_p05,ais_pred_p95,ais_obs,glaciers_p05,glaciers_p50,glaciers_p95,glaciers_pred_p05,glaciers_pred_p95,glaciers_obs,gis_p05,gis_p50,gis_p95,gis_pred_p05,gis_pred_p95,gis_obs,te_p05,te_p50,te_p95,te_pred_p05,te_pred_p95,te_obs,total_p05,total_p50,total_p95,total_pred_p05,total_pred_p95,total_obs,glaciers_obs_delta_corrected,provenance
1900,-1.2308691673401573,-0.6960374628665768,-0.1456688451275852,-1.5776434859793043,0.15012082581820002,-0.6340783032503996,-7.292997493698688,-6.394577748622943,-5.339803865722785,-8.194767151551114,-4.4684831991589,-7.27700420293,-4.501626386601211,-4.084245532222752,-3.6801861554792783,-5.217921004147984,-2.930157606447271,-4.130332357233222,-4.0137360109712015,-3.6061723687002365,-3.2349893522816617,-4.824417787058706,-2.4233488566041603,-3.6098928928375242,-15.093852263201702,-13.436494842848607,-12.040133674504876,NaN,NaN,-13.937918849348069,-7.27700420293,"posterior_predictive_ladrillo.jl | tag L26 | AR(1) obs-noise MersenneTwister(NOISE_SEED=2026) | posterior parameters_subsample_brick_mengel_L26.csv NTHIN=2000, forcing ssp245harm | targets recalib_targets_ext.csv | cm"
1901,-1.2176592767658,-0.6927419040910638,-0.14953472979581717,-1.538107998941307,0.15765126994754547,-0.6286254796114836,-7.249143792999746,-6.36345291587806,-5.31392635790338,-8.253374229188125,-4.4280267718294475,-7.19201579961,-4.446676034574007,-4.038114703792918,-3.642380246438321,-5.161538418499509,-2.933561636541466,-4.14182832891291,-3.9855722818229027,-3.5808684469733114,-3.2122899610745037,-4.747814807161575,-2.4429672029810066,-3.6964476108551025,-14.677253189303787,-13.030363418933451,-11.65789425226704,NaN,NaN,-13.717743189686836,-7.19201579961,"posterior_predictive_ladrillo.jl | tag L26 | AR(1) obs-noise MersenneTwister(NOISE_SEED=2026) | posterior parameters_subsample_brick_mengel_L26.csv NTHIN=2000, forcing ssp245harm | targets recalib_targets_ext.csv | cm"
1902,-1.2046935072269365,-0.689756334584823,-0.1536769028668561,-1.515568476043252,0.17801010140750334,-0.6231535824862393,-7.170680754305408,-6.2989176206187265,-5.25926735841035,-8.120726296824548,-4.400206922994489,-7.10599819097,-4.385934287089912,-3.9890997186747095,-3.605410251994911,-5.174987857944517,-2.9126743338503087,-4.110059530084785,-3.961530574550641,-3.5592679878936346,-3.192912835418046,-4.766138868725793,-2.4358928777464954,-3.7697138309478753,-14.379443870262257,-12.757255822829208,-11.403301985343052,NaN,NaN,-13.307361420412224,-7.10599819097,"posterior_predictive_ladrillo.jl | tag L26 | AR(1) obs-noise MersenneTwister(NOISE_SEED=2026) | posterior parameters_subsample_brick_mengel_L26.csv NTHIN=2000, forcing ssp245harm | targets recalib_targets_ext.csv | cm"
1903,-1.1950546493083758,-0.6854881940007904,-0.15706388663742057,-1.5087463423454652,0.15189800076922005,-0.6177760037508879,-7.0962292303842975,-6.229674279387851,-5.202398612899977,-8.122327358451582,-4.346547887395344,-7.04884410771,-4.341342941011053,-3.955870985214669,-3.5823026970704865,-5.101638266383787,-2.762711529501354,-4.069244558160955,-3.942010110144487,-3.541729674667939,-3.177179739286938,-4.730966601219236,-2.3980308756825592,-3.89201683998108,-14.229622328280653,-12.630379923442831,-11.284012033920135,NaN,NaN,-13.366047505500095,-7.04884410771,"posterior_predictive_ladrillo.jl | tag L26 | AR(1) obs-noise MersenneTwister(NOISE_SEED=2026) | posterior parameters_subsample_brick_mengel_L26.csv NTHIN=2000, forcing ssp245harm | targets recalib_targets_ext.csv | cm"
1904,-1.1842637961098221,-0.6809487606767229,-0.1588126851432078,-1.476569910296643,0.09823582568966838,-0.612356558713046,-7.028072268905617,-6.173046038036896,-5.158746734886835,-8.005568576119543,-4.255967195655258,-6.9647086707,-4.31067982625175,-3.9294351610681617,-3.563409844800933,-4.977314101401917,-2.9148755696025743,-3.986545354669745,-3.9683421935355336,-3.565387940003662,-3.198402861375831,-4.770459617472207,-2.352631831585406,-4.005975580215455,-14.192958677803666,-12.60048899097885,-11.264424798825749,NaN,NaN,-13.401862591297018,-6.9647086707,"posterior_predictive_ladrillo.jl | tag L26 | AR(1) obs-noise MersenneTwister(NOISE_SEED=2026) | posterior parameters_subsample_brick_mengel_L26.csv NTHIN=2000, forcing ssp245harm | targets recalib_targets_ext.csv | cm"
1905,-1.1728744548832948,-0.6766256747562583,-0.16448020648352873,-1.4848065695147161,0.1136131753217773,-0.6069045933810149,-6.961820989665533,-6.116971671476257,-5.115364880875797,-7.894344292296875,-4.252493950015793,-6.86514507207,-4.286291988792785,-3.9112364241713373,-3.550343117621298,-4.862562484638962,-2.979069552745668,-3.965610296075995,-3.9529354391822076,-3.551545621602937,-3.185985331635461,-4.68938883496745,-2.4546378170677796,-4.084479761123657,-14.020112946157218,-12.451303111339762,-11.122938315599088,NaN,NaN,-13.311246733632538,-6.86514507207,"posterior_predictive_ladrillo.jl | tag L26 | AR(1) obs-noise MersenneTwister(NOISE_SEED=2026) | posterior parameters_subsample_brick_mengel_L26.csv NTHIN=2000, forcing ssp245harm | targets recalib_targets_ext.csv | cm"
1906,-1.1627760372560774,-0.674258268045366,-0.16981781452332956,-1.437929551784104,0.07561822071462153,-0.6014521512118254,-6.880316092086584,-6.049770760398713,-5.059950546879384,-7.8011394058065635,-4.157060512239274,-6.78516536626,-4.2433796926188645,-3.8762403735486393,-3.523090511287068,-4.8278354096507075,-2.967588409859941,-3.9195184534246272,-3.922406309911275,-3.5241164877195965,-3.1613794761791123,-4.776498969776671,-2.314552732791568,-4.1820330142974855,-14.068461368028263,-12.518771229706207,-11.206428380892994,NaN,NaN,-13.567440039263273,-6.78516536626,"posterior_predictive_ladrillo.jl | tag L26 | AR(1) obs-noise MersenneTwister(NOISE_SEED=2026) | posterior parameters_subsample_brick_mengel_L26.csv NTHIN=2000, forcing ssp245harm | targets recalib_targets_ext.csv | cm"
1907,-1.1521143947909656,-0.6705161043581522,-0.17263294923037542,-1.4129895160616746,0.10886454535770661,-0.5960208806124601,-6.8006245533672915,-5.983747737110324,-5.005955924931082,-7.710971316479121,-4.214195023907202,-6.7199607459,-4.217821976673458,-3.8607295002006023,-3.5129341202790187,-4.847768074200392,-2.9406114480856793,-3.8829637354070488,-3.889498944642584,-3.4945506091878977,-3.13485681102005,-4.648288607160677,-2.363523956965324,-4.245766305923461,-13.984510186374596,-12.439343559883776,-11.14259593291499,NaN,NaN,-13.430518857797505,-6.7199607459,"posterior_predictive_ladrillo.jl | tag L26 | AR(1) obs-noise MersenneTwister(NOISE_SEED=2026) | posterior parameters_subsample_brick_mengel_L26.csv NTHIN=2000, forcing ssp245harm | targets recalib_targets_ext.csv | cm"
1908,-1.1411301813219363,-0.6675954201024715,-0.17564146493115862,-1.4498841120543395,0.09046170115940202,-0.5906124981966887,-6.7366121214047725,-5.929047160230902,-4.965320274822267,-7.651370563698636,-4.1091361884175805,-6.64097972783,-4.1987410872316415,-3.8462810313718045,-3.5046593190067865,-4.735795020206704,-2.943323286149423,-3.8119527643377134,-3.9232035716388105,-3.5248327937259214,-3.162022052868887,-4.685758447276357,-2.2719576356031403,-4.304152536392211,-13.851194587241839,-12.326600707307755,-11.04658926217216,NaN,NaN,-13.478100215899776,-6.64097972783,"posterior_predictive_ladrillo.jl | tag L26 | AR(1) obs-noise MersenneTwister(NOISE_SEED=2026) | posterior parameters_subsample_brick_mengel_L26.csv NTHIN=2000, forcing ssp245harm | targets recalib_targets_ext.csv | cm"
1909,-1.1308111533673215,-0.6664098344447129,-0.17959294740639886,-1.3820616105069103,0.06787003483407629,-0.5851665410128508,-6.663542796061743,-5.868494713062526,-4.914590558323885,-7.510533836235878,-4.072962485327132,-6.56629558477,-4.148579170688639,-3.804770631326133,-3.4688406753416654,-4.609106749687033,-3.030678705091174,-3.7546384638006036,-3.9366887525774104,-3.53694865953144,-3.1728908336334216,-4.712427819003076,-2.39703923754583,-4.4123697757720945,-13.645793817527064,-12.143811960700615,-10.875319228397158,NaN,NaN,-13.127202387002756,-6.56629558477,"posterior_predictive_ladrillo.jl | tag L26 | AR(1) obs-noise MersenneTwister(NOISE_SEED=2026) | posterior parameters_subsample_brick_mengel_L26.csv NTHIN=2000, forcing ssp245harm | targets recalib_targets_ext.csv | cm"
1910,-1.1202941086974063,-0.6615687140801553,-0.1852238209363547,-1.4375192356830722,0.08634091503026559,-0.5797470959750088,-6.59640028612855,-5.811020153288715,-4.86924314031334,-7.424846732855058,-4.043085719947724,-6.4967437354,-4.095585740475852,-3.7589664423382265,-3.4307609102046293,-4.409101779132139,-3.102478779257772,-3.709659749811346,-3.910283427126119,-3.513224589296451,-3.15160867993797,-4.637995450359331,-2.3820231121989264,-4.497396707534791,-13.463243675703668,-11.979599351228384,-10.72888324916444,NaN,NaN,-12.932223767549981,-6.4967437354,"posterior_predictive_ladrillo.jl | tag L26 | AR(1) obs-noise MersenneTwister(NOISE_SEED=2026) | posterior parameters_subsample_brick_mengel_L26.csv NTHIN=2000, forcing ssp245harm | targets recalib_targets_ext.csv | cm"
