series,window,accel,se_ols,se_ar1,accel_over_se
sum5,1993-2018,0.007188563,0.001757546,0.002648470,2.714232238
Frederikse 2020 total,1993-2018,0.007284638,0.004363964,0.004932072,1.476993564
dang,1993-2018,0.013350320,0.001993268,0.003869645,3.450011461
sum5,1998-2023,0.000372099,0.001820115,0.003005136,0.123821188
dang,1998-2023,0.007167574,0.002292854,0.004650459,1.541261676
sum5,1993-2023,0.003533238,0.001189323,0.002167106,1.630394354
dang,1993-2023,0.009734840,0.001407052,0.002927333,3.325498468
