year,component,arm,med_cm,p05_cm,p95_cm
1990,glaciers,fixed,-0.6691551278259089,-0.8927464231242327,-0.48669825633177394
1991,glaciers,fixed,-0.6392112804893668,-0.8497764480824345,-0.4653967592947614
1992,glaciers,fixed,-0.6054468921863074,-0.8024328654066825,-0.44096326400227925
1993,glaciers,fixed,-0.5895322998283774,-0.7786951382290096,-0.4282868790239634
1994,glaciers,fixed,-0.5521624552864317,-0.7286786519762312,-0.401493389359302
1995,glaciers,fixed,-0.5186244013270518,-0.6839743702508011,-0.3772886146794687
1996,glaciers,fixed,-0.47421568639134026,-0.6257642607956471,-0.3448989141078367
1997,glaciers,fixed,-0.4371967351281385,-0.575427132871014,-0.31828697115970245
1998,glaciers,fixed,-0.3923794537091978,-0.5157196082541142,-0.28593762238674963
1999,glaciers,fixed,-0.3173659256218371,-0.41661893672528943,-0.23158240675336453
2000,glaciers,fixed,-0.27686960640221825,-0.3642765325991472,-0.20210752632485426
2001,glaciers,fixed,-0.22991347596148426,-0.3026664193755691,-0.16813325369713122
2002,glaciers,fixed,-0.1722165193105505,-0.2262101045252563,-0.12657138516404215
2003,glaciers,fixed,-0.11096211021949642,-0.1451200711678618,-0.08204401860179143
2004,glaciers,fixed,-0.049834572131963295,-0.0660054507366628,-0.036492111473191736
2005,glaciers,fixed,0.000206412583128035,-0.010741177676520454,0.009516197620857758
2006,glaciers,fixed,0.07070900327866925,0.04781695741791552,0.09698730730649388
2007,glaciers,fixed,0.15114071292551712,0.10870104707164314,0.19997769836166487
2008,glaciers,fixed,0.21252887275206267,0.15419654576067326,0.28041270455136763
2009,glaciers,fixed,0.25593713615510594,0.18569181732583456,0.3369091470953682
2010,glaciers,fixed,0.31421844711534597,0.22844696402594666,0.41370506343846253
2011,glaciers,fixed,0.4089100288752392,0.29881374112089487,0.5372805468127331
2012,glaciers,fixed,0.4698194073522548,0.3446246776766684,0.6175018399700235
2013,glaciers,fixed,0.5212594843096268,0.38366660236397027,0.6834784957868039
2014,glaciers,fixed,0.576202548632559,0.4228803581734771,0.7562122826673924
2015,glaciers,fixed,0.6456101445295404,0.47419979172552373,0.8470614088297445
2016,glaciers,fixed,0.7180268462214767,0.5284644937971704,0.9413349466206422
2017,glaciers,fixed,0.8434914182984914,0.6222911713061439,1.102711819657496
2018,glaciers,fixed,0.9220888864776984,0.679102035565126,1.205798831318241
2019,glaciers,fixed,0.9873630048922508,0.7276648538743548,1.289876730865157
2020,glaciers,fixed,1.0798712099627985,0.7964018959085186,1.410932589027818
2021,glaciers,fixed,1.1477321763924007,0.847550975189222,1.4994579194203104
2022,glaciers,fixed,1.2150605325573525,0.8982836162734593,1.5855252794057244
2023,glaciers,fixed,1.2872202253368628,0.9515819255521847,1.6788512245908422
2024,glaciers,fixed,1.3792967663367928,1.0207615872685838,1.7978161745985823
2025,glaciers,fixed,1.4719339065213033,1.0901543620710599,1.9179193093113753
2026,glaciers,fixed,1.5658304262966933,1.16054878435243,2.0383034056058635
2027,glaciers,fixed,1.6598138705034242,1.2321064813765799,2.1604888212952456
2028,glaciers,fixed,1.7546518563984197,1.3044283720842513,2.2839557676962436
2029,glaciers,fixed,1.8505232844130182,1.376085254241847,2.4065089983404873
2030,glaciers,fixed,1.9456959761647212,1.448223358480727,2.528137492502373
2031,glaciers,fixed,2.04117400051207,1.520430796984326,2.6485256193888462
2032,glaciers,fixed,2.136392813095464,1.591834992785294,2.769712156605134
2033,glaciers,fixed,2.2326362854455413,1.6666352032487086,2.8929782358313236
2034,glaciers,fixed,2.3296807589408046,1.7400869944223925,3.016939686656042
2035,glaciers,fixed,2.42801536289479,1.8141158531101855,3.142602701544129
2036,glaciers,fixed,2.528161897289169,1.889923588123165,3.2676955163832413
2037,glaciers,fixed,2.6306141819169753,1.9678281881344353,3.397100157670846
2038,glaciers,fixed,2.7340467118085514,2.048184082517428,3.528932819056426
2039,glaciers,fixed,2.839064646553877,2.128399524650837,3.6599459667445813
2040,glaciers,fixed,2.945701722020179,2.2100580238908663,3.7960079324149665
2041,glaciers,fixed,3.0535713059995757,2.292844259682244,3.9303890251831173
2042,glaciers,fixed,3.160094054329152,2.3745569137752267,4.061846772367438
2043,glaciers,fixed,3.266981119059698,2.459125126291024,4.19924138964752
2044,glaciers,fixed,3.374957514631348,2.546073590615215,4.33768910524321
2045,glaciers,fixed,3.4846276759568218,2.628813118863272,4.476845021619452
2046,glaciers,fixed,3.595331948098282,2.7120675973975934,4.613467250758725
2047,glaciers,fixed,3.7073115022983267,2.7988354923728007,4.754436249163401
2048,glaciers,fixed,3.820550868125256,2.8858235895476074,4.896259249296428
2049,glaciers,fixed,3.937107522911869,2.974066232517615,5.040409477060187
2050,glaciers,fixed,4.053210837434942,3.064599719950966,5.188556642047008
2051,glaciers,fixed,4.1701112345819435,3.1540769133650053,5.335118935145282
2052,glaciers,fixed,4.288249599290042,3.2455166061278846,5.486049342749454
2053,glaciers,fixed,4.406468867977535,3.3368135055072514,5.63288223481984
2054,glaciers,fixed,4.52477911215728,3.42755762319315,5.781185632720187
2055,glaciers,fixed,4.642102509556673,3.5213981430095265,5.92977570259902
2056,glaciers,fixed,4.759446537884639,3.614168605712641,6.075599138859398
2057,glaciers,fixed,4.879257061292567,3.7075402992190383,6.222007616799039
2058,glaciers,fixed,4.99978387260599,3.801771248941997,6.374116057555447
2059,glaciers,fixed,5.1212985904986,3.898172084563583,6.527166742759533
2060,glaciers,fixed,5.24487519765718,3.9960920756976965,6.677721054395811
