label,arm,variant,control,tau_star,hist_slow_share,kappa_SLOW,kappa_FAST,nu_SLOW,nu_FAST,kappa_ratio,sigma,rho,delta,logJ,ll_flow,ll_blk,flow_win,flow_win_deficit,rate_modern_mm_yr,rate_SLOW,rate_FAST,glambie_SLOW,glambie_FAST,S1900_mm,S1900_share_SLOW,inv_z,S2020_mm,com1p2,com1p5,com2p0,com3p0,comS1p2,comS1p5,comS2p0,comS3p0,comF1p2,comF1p5,comF2p0,comF3p0,sens_mm,ds126,ds245,ds585,spread,flow_1900_1919,flow_1920_1949,flow_1950_1979,flow_1980_1999,flow_2000_2023,g_inv,g_s1900,g_lad,g_spread,npass,feasible
ANCH/sx2/t250,ANCH,sx2,perblock,250,0.35390,0.00102,0.00321,1.35373,1.59756,3.14661,0.09817,0.99000,0.00000,-44.26637,-49.51009,0.00000,32.11156,20.70947,0.85499,0.19530,0.51960,0.23868,0.41684,15.91696,0.00004,0.82393,57.50526,46.95607,56.28762,68.29911,83.24846,44.32415,54.71076,67.89726,83.86993,53.94830,60.47688,69.36669,81.59739,87.75614,8.49386,10.64889,15.08716,6.59330,-43.54398,-37.82496,-8.44823,8.89936,21.49457,True,True,True,True,4,False
MID/sx2/t250,MID,sx2,perblock,250,0.35390,0.00127,0.00371,1.35373,1.59756,2.90888,0.09584,0.99000,0.00000,-45.08150,-48.77253,1.11256,32.44371,20.37732,0.93096,0.24089,0.53290,0.23868,0.41684,17.66475,0.00004,0.77475,61.56567,46.28601,55.73543,67.89865,83.03685,44.08167,54.51351,67.75744,83.79968,52.32273,59.08175,68.28536,80.94780,87.75614,9.19961,11.56162,16.34676,7.14714,-43.26656,-37.58779,-8.33435,9.06124,21.66949,True,True,True,True,4,False
FREE/sx2/t250,FREE,sx2,perblock,250,0.35390,0.00253,0.01238,0.00000,0.00000,4.89295,0.07211,0.99000,0.00000,-37.16479,-41.12031,4.03176,37.27539,15.54563,0.71881,0.26822,0.38932,0.23868,0.41684,30.66731,0.00097,0.38769,82.69683,42.50636,52.62071,65.63981,81.84322,42.98121,53.61835,67.12292,83.48087,40.92623,49.30089,60.70448,76.39367,87.75614,6.60426,7.13078,7.82064,1.21638,-41.44538,-36.29238,-6.96081,10.76527,24.89483,True,False,True,False,2,False
ANCH/t5d/t250,ANCH,t5d,perblock,250,0.35390,0.00102,0.00321,1.35373,1.59756,3.14661,0.03937,0.99000,0.68583,4.80455,1.88895,0.00000,40.67764,11.54956,0.85499,0.19530,0.51960,0.23868,0.41684,15.91696,0.00004,0.82393,57.50526,46.95607,56.28762,68.29911,83.24846,44.32415,54.71076,67.89726,83.86993,53.94830,60.47688,69.36669,81.59739,87.75614,8.49386,10.64889,15.08716,6.59330,-17.72663,-18.12000,-7.17201,10.64377,28.85664,True,True,True,True,4,False
MID/t5d/t250,MID,t5d,perblock,250,0.35390,0.00125,0.00268,1.35373,1.59756,2.13700,0.04048,0.99000,0.70345,3.95089,1.47052,2.78210,40.35063,11.87658,0.88987,0.23730,0.49949,0.23868,0.41684,13.85699,0.00005,0.87970,54.47340,47.44559,56.69102,68.59166,83.40306,44.10089,54.52915,67.76853,83.80525,55.91755,62.16695,70.67662,82.38432,87.75614,9.17864,11.51622,16.31018,7.13154,-17.79728,-18.16582,-7.23446,10.58646,28.57927,True,True,True,True,4,False
FREE/t5d/t250,FREE,t5d,perblock,250,0.35390,0.00272,0.01120,0.00000,0.00000,4.11823,0.02634,0.99000,0.53888,9.54285,7.24240,3.46241,44.49722,7.72999,0.73234,0.28688,0.38237,0.23868,0.41684,28.49571,0.00112,0.42562,80.63179,42.89902,52.94429,65.87447,81.96723,42.80979,53.47891,67.02408,83.43120,43.18373,51.23836,62.20616,77.29579,87.75614,6.80947,7.32975,8.01199,1.20252,-16.90736,-16.83790,-5.75719,12.58032,31.04840,True,True,True,False,3,False
ANCH/sx2/t250/CTRL,ANCH,sx2,global,250,0.35390,0.00102,0.00321,1.35373,1.59756,3.14661,0.09352,0.99000,0.00000,-42.83194,-48.08993,0.00000,32.84310,19.97792,0.87394,0.14621,0.58975,0.23868,0.41684,15.86640,0.00000,0.80324,59.07409,46.69917,56.07591,68.14557,83.16733,44.59801,54.93353,68.05517,83.94928,52.48693,59.22268,68.39459,81.01342,87.75614,9.20861,11.96075,17.22485,8.01623,-43.42468,-37.34578,-8.28069,9.16222,21.98295,True,True,True,True,4,False
FREE/sx2/t250/CTRL,FREE,sx2,global,250,0.35390,0.00267,0.01245,0.00000,0.00000,4.66148,0.07073,0.99000,0.00000,-36.43567,-40.66310,4.33273,37.51456,15.30646,0.73377,0.26108,0.41146,0.23868,0.41684,30.79052,0.00000,0.38294,83.24811,42.40063,52.53358,65.57662,81.80983,43.29508,53.87367,67.30390,83.57180,39.32665,47.92808,59.64045,75.75447,87.75614,7.04324,7.63943,8.32007,1.27683,-41.46386,-36.15054,-6.91025,10.81754,25.09008,True,False,True,False,2,False
ANCH/sx2/t200,ANCH,sx2,perblock,200,0.46860,0.00080,0.00744,1.50131,1.23674,9.25644,0.10892,0.99000,0.00000,-48.07019,-52.85388,0.00000,30.26388,22.55715,0.92151,0.28046,0.46153,0.30228,0.35324,11.73424,0.00237,0.98044,48.70009,49.10259,57.66082,68.83129,83.07326,49.69880,58.50951,69.90006,84.15837,46.98823,54.65110,65.04112,79.22509,84.95375,8.88245,11.12989,15.78649,6.90404,-44.34924,-38.41086,-9.07441,8.35555,20.16381,True,True,True,True,4,False
FREE/sx2/t200,FREE,sx2,perblock,200,0.46860,0.00275,0.01531,0.00000,0.00000,5.57257,0.07571,0.99000,0.00000,-38.59749,-42.86685,3.78622,36.91951,15.90151,0.78887,0.35002,0.36185,0.30228,0.35324,22.82351,0.02496,0.58062,72.26175,45.24331,54.45046,66.46793,81.78979,47.46640,56.66813,68.56420,83.45530,36.15134,45.38069,57.89468,74.97820,84.95375,7.07141,7.65555,8.41949,1.34807,-42.44636,-36.08996,-7.06242,10.77754,24.50325,True,True,True,False,3,False
ANCH/sx2/t250/h0.25,ANCH,sx2,perblock,250,0.25000,0.00102,0.00321,1.35373,1.59756,3.14661,0.09107,0.99000,0.00000,-41.81024,-47.25498,0.00000,33.40711,19.41391,0.84477,0.16790,0.54442,0.23868,0.41684,20.45812,0.00000,0.69286,65.37404,45.64197,55.20470,67.51376,82.83346,42.15356,52.94510,66.64570,83.24109,54.46233,60.91804,69.70862,81.80280,87.75614,8.24782,10.35348,14.69976,6.45193,-42.93825,-37.37422,-8.06798,9.35411,22.35802,True,True,True,True,4,False
FREE/sx2/t250/h0.25,FREE,sx2,perblock,250,0.25000,0.00271,0.01128,0.00000,0.00000,4.16570,0.06689,0.99000,0.00000,-35.54195,-39.41434,4.23133,38.27870,14.54232,0.72625,0.26379,0.40043,0.23868,0.41684,32.80609,0.00017,0.31273,87.31161,41.60907,51.88127,65.10355,81.55985,40.78213,51.82952,65.85493,82.84376,44.11562,52.03813,62.82604,77.66818,87.75614,6.72032,7.24121,7.92419,1.20388,-40.87848,-36.03214,-6.62582,11.10875,25.58517,True,False,True,False,2,False
ANCH/sx2/t250/h0.50,ANCH,sx2,perblock,250,0.50000,0.00102,0.00321,1.35373,1.59756,3.14661,0.10831,0.99000,0.00000,-48.05943,-52.66539,0.00000,30.28209,22.53893,0.86485,0.23653,0.47782,0.23868,0.41684,10.28781,0.00032,0.99784,46.97888,48.61775,57.65697,69.29218,83.77323,47.07271,56.94656,69.48208,84.66623,53.02245,59.68228,68.75082,81.22742,87.75614,8.81241,11.03237,15.59300,6.78059,-44.35457,-38.48169,-8.99162,8.24992,20.28748,True,True,True,True,4,False
FREE/sx2/t250/h0.50,FREE,sx2,perblock,250,0.50000,0.00231,0.01465,0.00000,0.00000,6.34199,0.07947,0.99000,0.00000,-39.53753,-43.55177,3.80238,35.87699,16.94403,0.71538,0.27297,0.38098,0.23868,0.41684,27.44397,0.00224,0.49963,75.93352,43.77269,53.66427,66.39661,82.24314,45.83066,55.93622,68.76592,84.30639,35.95792,45.03693,57.39960,74.40830,87.75614,6.46773,7.01608,7.73167,1.26393,-42.23577,-36.66046,-7.43588,10.27654,23.94763,True,True,True,False,3,False
