ssp,component,horizon,arm,n_draws,med_cm,mean_cm,p05_cm,p95_cm,spread_cm,spread_ratio,med_ratio,provenance
vvLN,te,2100,joint,2000,15.118444216785822,15.283135289379153,9.841069000831531,21.298921449897083,11.457852449065552,3.3627585937431252,0.9901648906277257,scope_slr_fair_uncertainty.jl | Ladrillo L28 | ssp vvLN | forcing spliced | climate fair | lws observed (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvLN,te,2150,fixed,2000,17.12500343016473,17.137970563731223,15.20709202771646,19.028633898811588,3.8215418710951283,1.0,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L28 | ssp vvLN | forcing spliced | climate fair | lws observed (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvLN,te,2150,joint,2000,16.80371828396921,17.13956274677658,10.305590093978381,24.976228447342002,14.670638353363621,3.838931731803713,0.9812388273377165,scope_slr_fair_uncertainty.jl | Ladrillo L28 | ssp vvLN | forcing spliced | climate fair | lws observed (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvLN,te,2300,fixed,2000,7.994742087900438,8.00079574440955,7.099372514834618,8.883444661862745,1.7840721470281267,1.0,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L28 | ssp vvLN | forcing spliced | climate fair | lws observed (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvLN,te,2300,joint,2000,7.8705439737058285,7.990643914272056,0.7960584038826196,15.886552535356344,15.090494131473724,8.45845508916844,0.9844650255343977,scope_slr_fair_uncertainty.jl | Ladrillo L28 | ssp vvLN | forcing spliced | climate fair | lws observed (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvLN,lws,2100,fixed,2000,2.8138468232151475,2.813846823215153,2.8138468232151475,2.8138468232151475,0.0,NaN,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L28 | ssp vvLN | forcing spliced | climate fair | lws observed (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvLN,lws,2100,joint,2000,2.8138468232151475,2.813846823215153,2.8138468232151475,2.8138468232151475,0.0,NaN,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L28 | ssp vvLN | forcing spliced | climate fair | lws observed (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvLN,lws,2150,fixed,2000,4.3138468232151554,4.313846823215159,4.3138468232151554,4.3138468232151554,0.0,NaN,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L28 | ssp vvLN | forcing spliced | climate fair | lws observed (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvLN,lws,2150,joint,2000,4.3138468232151554,4.313846823215159,4.3138468232151554,4.3138468232151554,0.0,NaN,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L28 | ssp vvLN | forcing spliced | climate fair | lws observed (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvLN,lws,2300,fixed,2000,8.813846823215119,8.813846823215131,8.813846823215119,8.813846823215119,0.0,NaN,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L28 | ssp vvLN | forcing spliced | climate fair | lws observed (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvLN,lws,2300,joint,2000,8.813846823215119,8.813846823215131,8.813846823215119,8.813846823215119,0.0,NaN,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L28 | ssp vvLN | forcing spliced | climate fair | lws observed (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvLN,total,2100,fixed,2000,37.73006596075348,39.105759393445936,34.72994145776791,42.76617208542153,8.036230627653623,1.0,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L28 | ssp vvLN | forcing spliced | climate fair | lws observed (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvLN,total,2100,joint,2000,37.12175166842567,41.81786360573226,29.5255440613981,80.62558324561833,51.10003918422023,6.358707402993007,0.9838772004013835,scope_slr_fair_uncertainty.jl | Ladrillo L28 | ssp vvLN | forcing spliced | climate fair | lws observed (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvLN,total,2150,fixed,2000,46.70417762385842,48.10531278439607,42.78860731121418,52.71840644238149,9.929799131167314,1.0,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L28 | ssp vvLN | forcing spliced | climate fair | lws observed (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvLN,total,2150,joint,2000,45.76176208745075,52.557517639556465,35.66630688792649,109.5326001370483,73.86629324912181,7.4388507031600275,0.9798216008855223,scope_slr_fair_uncertainty.jl | Ladrillo L28 | ssp vvLN | forcing spliced | climate fair | lws observed (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvLN,total,2300,fixed,2000,44.76966289820827,46.21232909669766,40.83373308068149,51.17637676268354,10.342643682002048,1.0,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L28 | ssp vvLN | forcing spliced | climate fair | lws observed (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvLN,total,2300,joint,2000,43.8626914948217,50.88228800700199,33.643307503598066,106.63342803684729,72.99012053324923,7.057201502577566,0.9797413841277134,scope_slr_fair_uncertainty.jl | Ladrillo L28 | ssp vvLN | forcing spliced | climate fair | lws observed (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
