block,window,cmip6_median,cmip6_p05,cmip6_p95,n_models,prior_mu,prior_sd,provenance
R19,historical 1901-2024,0.8411313108203602,0.3131296045568793,1.167801633848058,42,0.72,0.15,"diag_glac_amp_cmip6_future.py | seed n/a (no RNG) | 42 CMIP6 models, historical+ssp245, data/cmip6_glac | secant through origin on anomalies rel 1995-2014 | commit ef37710"
R19,future 2025-2100,0.7690343672562239,0.3752691742927939,1.1599276229956277,42,0.72,0.15,"diag_glac_amp_cmip6_future.py | seed n/a (no RNG) | 42 CMIP6 models, historical+ssp245, data/cmip6_glac | secant through origin on anomalies rel 1995-2014 | commit ef37710"
R19,late 2070-2100,0.765945719784141,0.4195077374615242,1.1591398242434954,42,0.72,0.15,"diag_glac_amp_cmip6_future.py | seed n/a (no RNG) | 42 CMIP6 models, historical+ssp245, data/cmip6_glac | secant through origin on anomalies rel 1995-2014 | commit ef37710"
R19,full 1901-2100,0.7577353850717079,0.40667830255108905,1.107186150321716,42,0.72,0.15,"diag_glac_amp_cmip6_future.py | seed n/a (no RNG) | 42 CMIP6 models, historical+ssp245, data/cmip6_glac | secant through origin on anomalies rel 1995-2014 | commit ef37710"
SLOWP,historical 1901-2024,2.8468797203938454,1.5716097405207978,4.290691165841944,42,2.5,0.45,"diag_glac_amp_cmip6_future.py | seed n/a (no RNG) | 42 CMIP6 models, historical+ssp245, data/cmip6_glac | secant through origin on anomalies rel 1995-2014 | commit ef37710"
SLOWP,future 2025-2100,2.8119897925287374,1.7941612437907453,3.556522204164357,42,2.5,0.45,"diag_glac_amp_cmip6_future.py | seed n/a (no RNG) | 42 CMIP6 models, historical+ssp245, data/cmip6_glac | secant through origin on anomalies rel 1995-2014 | commit ef37710"
SLOWP,late 2070-2100,2.7816232036378663,1.7781837333086619,3.469139630570551,42,2.5,0.45,"diag_glac_amp_cmip6_future.py | seed n/a (no RNG) | 42 CMIP6 models, historical+ssp245, data/cmip6_glac | secant through origin on anomalies rel 1995-2014 | commit ef37710"
SLOWP,full 1901-2100,2.8009758924619006,1.9647729985876374,3.508617480316957,42,2.5,0.45,"diag_glac_amp_cmip6_future.py | seed n/a (no RNG) | 42 CMIP6 models, historical+ssp245, data/cmip6_glac | secant through origin on anomalies rel 1995-2014 | commit ef37710"
FAST,historical 1901-2024,1.4874779835463463,1.1155720657667318,1.7456718642333975,42,1.45,0.15,"diag_glac_amp_cmip6_future.py | seed n/a (no RNG) | 42 CMIP6 models, historical+ssp245, data/cmip6_glac | secant through origin on anomalies rel 1995-2014 | commit ef37710"
FAST,future 2025-2100,1.4727459418878364,1.2582212866785107,1.7027282304493088,42,1.45,0.15,"diag_glac_amp_cmip6_future.py | seed n/a (no RNG) | 42 CMIP6 models, historical+ssp245, data/cmip6_glac | secant through origin on anomalies rel 1995-2014 | commit ef37710"
FAST,late 2070-2100,1.4765269672429302,1.2665515475571147,1.7320943279142507,42,1.45,0.15,"diag_glac_amp_cmip6_future.py | seed n/a (no RNG) | 42 CMIP6 models, historical+ssp245, data/cmip6_glac | secant through origin on anomalies rel 1995-2014 | commit ef37710"
FAST,full 1901-2100,1.4939938890071232,1.297420820404574,1.6763272665227882,42,1.45,0.15,"diag_glac_amp_cmip6_future.py | seed n/a (no RNG) | 42 CMIP6 models, historical+ssp245, data/cmip6_glac | secant through origin on anomalies rel 1995-2014 | commit ef37710"
