block,members,a0,a0_sig,S2000_data,S2020_data,tau15,tau30,glambie_rate,glambie_rate_sd,amp_regchar,amp_obsfit,b_fit_regchar,T_off_fit_regchar,b_fit_obsfit,T_off_fit_obsfit,kappa_anch_regchar,nu_anch_regchar,kappa_anch_obsfit,nu_anch_obsfit,com1p2,sig1p2,com1p5,sig1p5,com2p0,sig2p0,com3p0,sig3p0
R19,19,0.069,0.018,0,0.000583612979923,828,213,0.0492513920786,0.036061448746,1.03,0.614856015241,0.459037146083,0.271708823995,0.768973947986,0.162195920935,0.000929046391829,1.54475830266,0.00206139781254,1.5447583111,32.0701,36.27285,45.015,35.28705,60.0169,33.6135,69.6644,28.35125
SLOWP,03|09|07|06,0.145920024267,0.0327892146787,0.018789911215,0.022171080981,522.758554733,112.743021692,0.189426305942,0.0165131748482,1.70068463161,2.48400653977,0.393619466264,0.234765559728,0.269493082055,0.342896725929,0.000732151772825,1.62211530118,0.000396019157437,1.62211530033,42.887,19.33125,50.7768,20.50905,66.1553,13.90245,82.8502,16.60645
FAST,01|04|17|13|14|02|15|08|10|11|16|18|12,0.139935475733,0.0242107853213,0.046065588785,0.0539451371015,129.896068775,37.0130945942,0.416840146036,0.044601629517,1.23005013592,1.40356009961,0.421030359248,-1.06389124665,0.368982026346,-1.21396297595,0.00339335002851,1.56676028144,0.00275956381736,1.56676028855,44.7716,8.6519,50.6968,10.83685,63.2624,13.1478,78.5694,12.473
