ssp,component,horizon,arm,n_draws,med_cm,mean_cm,p05_cm,p95_cm,spread_cm,spread_ratio,med_ratio,provenance
vvH,ais,2300,fixed,2000,249.82860884787976,256.9772595281273,160.74411500523868,385.8860800630462,225.14196505780754,1.0,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L27 | ssp vvH | forcing spliced | climate magicc | lws observed (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvH,ais,2300,joint,2000,243.7883143541967,256.03137966049104,149.00655467435695,403.3268077190361,254.32025304467913,1.1295995083785457,0.9758222466132332,scope_slr_fair_uncertainty.jl | Ladrillo L27 | ssp vvH | forcing spliced | climate magicc | lws observed (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvH,te,2100,fixed,2000,23.241779413906222,23.223747869086132,20.649385365375746,25.854798721806436,5.2054133564306895,1.0,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L27 | ssp vvH | forcing spliced | climate magicc | lws observed (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvH,te,2100,joint,2000,17.70417656908026,17.913036418961564,11.120439224873904,25.924000164717583,14.80356093984368,2.843878079644834,0.7617392908602921,scope_slr_fair_uncertainty.jl | Ladrillo L27 | ssp vvH | forcing spliced | climate magicc | lws observed (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvH,te,2150,fixed,2000,40.730298550111186,40.69869898147392,36.187230582905535,45.30951146804729,9.122280885141755,1.0,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L27 | ssp vvH | forcing spliced | climate magicc | lws observed (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvH,te,2150,joint,2000,31.077404292636952,31.725198154911997,18.756099063577018,47.70455136678731,28.94845230321029,3.173378748988219,0.7630045788739281,scope_slr_fair_uncertainty.jl | Ladrillo L27 | ssp vvH | forcing spliced | climate magicc | lws observed (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvH,te,2300,fixed,2000,89.89828135270287,89.82853605219934,79.87100394844252,100.00533644251705,20.134332494074528,1.0,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L27 | ssp vvH | forcing spliced | climate magicc | lws observed (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvH,te,2300,joint,2000,69.07997766723653,71.67271551923797,39.10244428605474,113.99732183041522,74.89487754436047,3.719759647676515,0.7684237855027647,scope_slr_fair_uncertainty.jl | Ladrillo L27 | ssp vvH | forcing spliced | climate magicc | lws observed (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvH,lws,2100,fixed,2000,2.8138468232151475,2.813846823215153,2.8138468232151475,2.8138468232151475,0.0,NaN,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L27 | ssp vvH | forcing spliced | climate magicc | lws observed (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvH,lws,2100,joint,2000,2.8138468232151475,2.813846823215153,2.8138468232151475,2.8138468232151475,0.0,NaN,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L27 | ssp vvH | forcing spliced | climate magicc | lws observed (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvH,lws,2150,fixed,2000,4.3138468232151554,4.313846823215159,4.3138468232151554,4.3138468232151554,0.0,NaN,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L27 | ssp vvH | forcing spliced | climate magicc | lws observed (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvH,lws,2150,joint,2000,4.3138468232151554,4.313846823215159,4.3138468232151554,4.3138468232151554,0.0,NaN,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L27 | ssp vvH | forcing spliced | climate magicc | lws observed (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvH,lws,2300,fixed,2000,8.813846823215119,8.813846823215131,8.813846823215119,8.813846823215119,0.0,NaN,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L27 | ssp vvH | forcing spliced | climate magicc | lws observed (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvH,lws,2300,joint,2000,8.813846823215119,8.813846823215131,8.813846823215119,8.813846823215119,0.0,NaN,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L27 | ssp vvH | forcing spliced | climate magicc | lws observed (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvH,total,2100,fixed,2000,73.50184918150808,74.62221584107762,51.02017602752707,106.12180506491454,55.10162903738747,1.0,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L27 | ssp vvH | forcing spliced | climate magicc | lws observed (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvH,total,2100,joint,2000,65.42110678460404,68.07614178846754,38.54424379470501,108.36453097138016,69.82028717667515,1.2671183846361567,0.890060692528304,scope_slr_fair_uncertainty.jl | Ladrillo L27 | ssp vvH | forcing spliced | climate magicc | lws observed (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvH,total,2150,fixed,2000,155.18055731524834,158.23758553714393,115.17397453832398,211.85389661132248,96.67992207299851,1.0,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L27 | ssp vvH | forcing spliced | climate magicc | lws observed (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvH,total,2150,joint,2000,143.93381363176414,147.69461222504842,85.69710509292229,218.50116695292581,132.80406186000351,1.3736467615243768,0.9275247886844709,scope_slr_fair_uncertainty.jl | Ladrillo L27 | ssp vvH | forcing spliced | climate magicc | lws observed (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvH,total,2300,fixed,2000,433.3876266453393,442.18295514510714,342.5685827626099,576.1517351117398,233.58315234912988,1.0,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L27 | ssp vvH | forcing spliced | climate magicc | lws observed (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvH,total,2300,joint,2000,406.8421500477176,420.91409163043494,274.44324283936896,615.6813465524947,341.2381037131257,1.4608849152060726,0.9387488821425327,scope_slr_fair_uncertainty.jl | Ladrillo L27 | ssp vvH | forcing spliced | climate magicc | lws observed (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
