model,n,stat,value
BRICK2.0,2000,gcrit_min_degC,1.3150142323437013
BRICK2.0,2000,gcrit_p05_degC,1.8581211293079918
BRICK2.0,2000,gcrit_p25_degC,2.0740429984540665
BRICK2.0,2000,gcrit_med_degC,2.312734546728625
BRICK2.0,2000,gcrit_p75_degC,2.599110475374684
BRICK2.0,2000,gcrit_p95_degC,2.993927662111358
BRICK2.0,2000,gcrit_max_degC,3.78579248598046
BRICK2.0,2000,gcrit_sd_degC,0.36380500814356337
Ladrillo,2000,gcrit_min_degC,1.4192463027329216
Ladrillo,2000,gcrit_p05_degC,1.938144259458312
Ladrillo,2000,gcrit_p25_degC,2.3015453126771064
Ladrillo,2000,gcrit_med_degC,2.657196989665552
Ladrillo,2000,gcrit_p75_degC,3.0856353958762286
Ladrillo,2000,gcrit_p95_degC,3.85131932522496
Ladrillo,2000,gcrit_max_degC,5.745060321336088
Ladrillo,2000,gcrit_sd_degC,0.6074323389736022
Ladrillo,2000,ais_gmst_amp_med,1.070746095919273
Ladrillo,2000,ais_gmst_amp_sd,0.17307146445611285
BRICK2.0,2000,ais_gmst_amp_fixed,1.195457262402869
