model,pair,component,horizon,penalty_cm,se_cm,mean_cm,p05_cm,p95_cm,skew_,diff_of_medians_cm,n
Ladrillo L24,native (dT INVERTS),glaciers,2100,0.8758186485075523,0.005364660305309948,0.9163132449256168,0.5824669514142997,1.3969427921080175,1.1479008875767236,0.8934861329130968,2000
Ladrillo L24,native (dT INVERTS),glaciers,2150,0.568770168076763,0.004966095194795062,0.6101808151109257,0.3403246410691635,1.027203826622745,1.3718304200678195,0.6057450385798866,2000
Ladrillo L24,native (dT INVERTS),glaciers,2300,-0.06419006677385752,0.007550957627306316,-0.13803446959621074,-0.9242711724179317,0.30834132542366793,-1.8497584041037396,-0.14332567470345658,2000
Ladrillo L24,native (dT INVERTS),gis,2100,0.7972537928870329,0.007775370292108809,0.854931733000865,0.5053463356443603,1.4257451197219575,1.998052972522517,0.807543591648372,2000
Ladrillo L24,native (dT INVERTS),gis,2150,0.34479488320037444,0.005747157424758377,0.4163345246620964,0.11947432413134972,0.933050403387226,3.176284551301112,0.3800528630665525,2000
Ladrillo L24,native (dT INVERTS),gis,2300,-0.36490292163431715,0.008439193688689112,-0.5150099679840853,-1.6803904375553693,0.09861246278781817,-2.7930202119543277,-0.4379612423800179,2000
Ladrillo L24,native (dT INVERTS),ais,2100,0.4542208944640138,0.01060518568768089,5.1085149201717215,0.1806617145547098,31.203653720220185,2.6397180083544995,0.5852170518697282,2000
Ladrillo L24,native (dT INVERTS),ais,2150,0.4326134310868257,0.011033170671808937,5.392677118543878,0.14878268028476857,33.80057653316241,3.1079315077931073,0.6536969165128079,2000
Ladrillo L24,native (dT INVERTS),ais,2300,0.0032380630632156127,0.007183740839636807,0.16726233341094637,-18.936218832850223,25.893154734232255,-3.1198873843159523,0.24927401269298244,2000
Ladrillo L24,native (dT INVERTS),te,2100,1.658816726799797,0.013013038638329736,1.7152251882879155,1.0628631872295582,2.5699909340694904,0.6184744715544889,1.647144042359331,2000
Ladrillo L24,native (dT INVERTS),te,2150,0.5767528171543681,0.013349656150542047,0.6984848190209532,-0.04245341314286718,1.984560491127659,1.336882720794238,0.671486497589818,2000
Ladrillo L24,native (dT INVERTS),te,2300,-1.0887321419870597,0.027272342426116356,-1.4179078275409198,-4.455455452713686,0.22749695367826306,-1.8778708484663207,-1.186913609284872,2000
Ladrillo L24,native (dT INVERTS),lws,2100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000
Ladrillo L24,native (dT INVERTS),lws,2150,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000
Ladrillo L24,native (dT INVERTS),lws,2300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000
Ladrillo L24,native (dT INVERTS),total,2100,3.9700692942910827,0.04549175926708882,8.594985086386117,2.6733701586104575,34.8977991230638,2.5707617219437084,4.711561148772347,2000
Ladrillo L24,native (dT INVERTS),total,2150,2.1680338618837673,0.045329578763456044,7.117677277337853,0.8111196484886453,35.822274719178,3.0908182824452677,3.1689393779967006,2000
Ladrillo L24,native (dT INVERTS),total,2300,-1.2270692112786534,0.048168031225220315,-1.9036899317102693,-23.965855018450398,24.28623876188341,-3.0834552615397186,-1.0345560652197463,2000
Ladrillo L24,matched (dT from ABOVE),glaciers,2100,0.8872454772010112,0.005487705168362171,0.9291833984539499,0.5846406867588753,1.4346728696780306,1.1340054821730048,0.9004807985051713,2000
Ladrillo L24,matched (dT from ABOVE),glaciers,2150,0.7096315406221549,0.005558831879389914,0.7499453446173586,0.4614649563491816,1.1989556226492564,1.1346432678625997,0.7219230492901261,2000
Ladrillo L24,matched (dT from ABOVE),glaciers,2300,0.42144082909744096,0.0029560584328585837,0.4329911895741966,0.2723700543020347,0.6251634276308358,0.6224024591542102,0.39817584260823935,2000
Ladrillo L24,matched (dT from ABOVE),gis,2100,0.8098687353223637,0.008721380154385104,0.8693594314868419,0.5074056407375338,1.4473016542950572,2.023035175294723,0.8159079061070722,2000
Ladrillo L24,matched (dT from ABOVE),gis,2150,0.5681537518197044,0.006045829421669488,0.6354693349429285,0.34189194346952484,1.1440904344351832,2.9915479417991797,0.5641972689236816,2000
Ladrillo L24,matched (dT from ABOVE),gis,2300,0.2823338998150966,0.005762912744061455,0.32265202375373614,0.1542949333750207,0.6313447198992951,2.6871012247955806,0.28464917354568264,2000
Ladrillo L24,matched (dT from ABOVE),ais,2100,0.46043260556275456,0.011876661047063858,5.181389830285709,0.18944854864489724,31.513487565387813,2.6339265431595056,0.5892201408344881,2000
Ladrillo L24,matched (dT from ABOVE),ais,2150,0.5453373056294337,0.012276530685793608,6.2898094168313,0.2161492038716144,36.87459527575764,3.037549689964607,0.7634633122483967,2000
Ladrillo L24,matched (dT from ABOVE),ais,2300,0.6303520490846317,0.017236103689719943,7.410642160835559,0.2366443641585728,41.47558982896261,3.316873976666536,0.9955405532613035,2000
Ladrillo L24,matched (dT from ABOVE),te,2100,1.686841237405032,0.01289763485400781,1.7477486687124029,1.0767508657815732,2.6320146344822914,0.6719101701699023,1.671904657234565,2000
Ladrillo L24,matched (dT from ABOVE),te,2150,1.3140635931288784,0.012859872913936142,1.3834021880050578,0.7365954410122824,2.3075043310250445,1.0959910799694594,1.3737794294440917,2000
Ladrillo L24,matched (dT from ABOVE),te,2300,0.7304993044555879,0.00987335293813073,0.7733644236425747,0.2629598060944205,1.455534015192015,1.258874476957833,0.7521350379266067,2000
Ladrillo L24,matched (dT from ABOVE),lws,2100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000
Ladrillo L24,matched (dT from ABOVE),lws,2150,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000
Ladrillo L24,matched (dT from ABOVE),lws,2300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000
Ladrillo L24,matched (dT from ABOVE),total,2100,4.046170861533998,0.045434473651289976,8.727681328938903,2.6923142585766566,35.52845459499783,2.5596241081753996,4.803771140074872,2000
Ladrillo L24,matched (dT from ABOVE),total,2150,3.317854032723993,0.048549423201132806,9.058626284396643,2.0570171726514515,39.34268968090868,2.9970321677077894,4.326376920172471,2000
Ladrillo L24,matched (dT from ABOVE),total,2300,2.2129576630862076,0.02871001859944165,8.939649797806066,1.2324192200566735,43.31057439100301,3.286789612155833,3.4284729220103003,2000
BRICK 2.0,native (dT INVERTS),glaciers,2100,0.7705436110313562,0.005700788050894596,0.7924136243108368,0.563115149557731,1.0920623825375093,0.979530643387297,0.7838221338465061,1000
BRICK 2.0,native (dT INVERTS),glaciers,2150,0.6212139217661985,0.008460786095907724,0.6483685378823593,0.3810015206399541,1.0063046269155407,1.2176600079729085,0.6451825969804865,1000
BRICK 2.0,native (dT INVERTS),glaciers,2300,-0.08410170092906633,0.010335778082192068,-0.12074006716011046,-0.7244183803416405,0.38860607928813945,-1.268761086012804,-0.05180840754174909,1000
BRICK 2.0,native (dT INVERTS),gis,2100,0.24968370147209207,0.007880318462370684,0.2994014575325008,0.06210724393309608,0.7021017238971052,1.960376702064487,0.2590426832579489,1000
BRICK 2.0,native (dT INVERTS),gis,2150,0.2315307398655717,0.00846944402219464,0.294343825570027,0.05574908331859252,0.773086728770642,2.3380098169483383,0.23164535901340066,1000
BRICK 2.0,native (dT INVERTS),gis,2300,-0.047114354525623625,0.006915539578521434,-0.08671482059565891,-0.6598671841408299,0.31894174217176063,-1.0099301153683848,-0.10411525256275667,1000
BRICK 2.0,native (dT INVERTS),ais,2100,0.5445820634582981,0.09330446288578825,7.064180952733284,-0.3298955505968703,34.109662915811654,2.025431496996833,1.9037704152463188,1000
BRICK 2.0,native (dT INVERTS),ais,2150,0.4625396198921985,0.0761922121286089,7.571532654265852,-0.38631352078467673,38.78843225224476,2.637196929040729,2.200198424056122,1000
BRICK 2.0,native (dT INVERTS),ais,2300,0.1742561253790642,0.020017980264495104,1.6645624401036958,-25.79436454678976,29.69224743456116,-2.046647206245194,2.6063371462876788,1000
