model,full,early,modern,dt_modern
ACCESS-CM2,1.953107680908303,1.8555927302406394,1.9608869538162013,0.45083226288814604
ACCESS-ESM1-5,2.7567302660842063,2.1283675365576307,2.782235430686083,0.47835079285384996
AWI-CM-1-1-MR,1.4981995239557229,0.9838291433545415,1.5292862826572342,0.8181024028878703
BCC-CSM2-MR,1.739430930627931,2.212104720675335,1.704354058123407,0.47028368242497276
CAMS-CSM1-0,1.3629194359760686,1.3596028782373835,1.3634319689301553,0.5138221974035666
CAS-ESM2-0,1.357447557253128,0.26059808011690555,1.472239884647692,0.36311572945291726
CESM2-WACCM,1.76913731758491,2.8310977230165477,1.6772576881828813,0.666371502521768
CESM2,1.987825834730293,3.213179824924559,1.9303032377969398,0.6186637471157788
CIESM,0.1757914347889037,1.0959241996186777,0.0730034263244017,1.019359866975332
CMCC-CM2-SR5,1.0120491255009147,-0.4957797722234071,1.0909679684627684,0.8260588182115374
CMCC-ESM2,1.417403101496068,1.0079052011891392,1.4476041241243338,0.7738595071901218
CNRM-CM6-1-HR,1.4440446188378502,1.1270352594980342,1.4864768247677655,0.8943371949369991
CNRM-CM6-1,1.7440488828282346,3.8398314865376837,1.6396377686420416,0.6166288587177897
CNRM-ESM2-1,1.8802199530558468,3.2961420748621557,1.8249458601541997,0.47322853887590455
CanESM5-CanOE,1.7129716348918969,1.0196356399111663,1.7495769959238092,0.9889012836203479
CanESM5,0.9762379460346117,-0.006232486428913575,1.015801258416485,0.9001170054157113
EC-Earth3-Veg-LR,3.5454987753866547,4.112361562903889,3.4811004515832003,0.709600557893383
EC-Earth3-Veg,3.358084447477289,3.8107629208862437,3.300434072055268,1.0380279376196428
EC-Earth3,2.3796129936572363,6.058158372016804,2.1144075381835035,0.483400595394599
FGOALS-f3-L,1.4384245074433264,0.7642469370080655,1.4799794285631644,0.8260434452916838
FGOALS-g3,1.0757160348162056,0.8519826180537972,1.0954686700298566,0.6983474653657851
FIO-ESM-2-0,1.0413648914154614,0.4252940242912795,1.08529146285305,0.913101212596036
GFDL-ESM4,1.3913228999523761,2.119422210364741,1.2800046265168434,0.43973935312389134
GISS-E2-1-G,1.1543889111479984,0.7755119797157709,1.1980130990664664,0.5553056049018403
GISS-E2-1-H,1.230093080519996,1.272855562255968,1.22688578142909,0.5744697736712912
HadGEM3-GC31-LL,1.5199140825883088,2.403183749374612,1.4968459893737251,0.4649319043786173
IITM-ESM,1.1655836843558387,1.289707616898441,1.1501710377943741,0.7158152362154775
INM-CM4-8,1.4734600909873559,2.9363254512969963,1.2853090905390672,0.6305442464152051
INM-CM5-0,1.6085065678633979,1.5721266996577936,1.6147871794595938,0.5905956054676018
IPSL-CM6A-LR,1.797182467795277,1.4792951106377565,1.8231613284151493,0.8710893572576133
KACE-1-0-G,1.851517485121254,1.0145509794748897,1.9089054635898235,0.9206412632690224
KIOST-ESM,1.0962061403572387,1.4156819370902451,1.0738397624316496,0.8421819085007041
MIROC-ES2L,0.9243906786949903,0.3176741714004548,1.024398034293262,0.4615773257150426
MIROC6,1.6490602483057217,1.4777471101139878,1.6706909618590546,0.4202474253277213
MPI-ESM1-2-HR,1.799117917722613,1.4000267343779287,1.8467702059752062,0.6705251551014131
MPI-ESM1-2-LR,1.6637839646132295,1.1528824923193597,1.7163223902201874,0.6544496159360502
MRI-ESM2-0,1.6770209254803023,1.2664726392472667,1.7124184716883486,0.5188065456860551
NESM3,1.792089296531135,2.5476001449147874,1.7024877862906589,0.5959567466805433
NorESM2-LM,1.3399509934283225,1.8168948629428439,1.2960495775319845,0.32649490808489023
NorESM2-MM,1.4127915391246904,0.751913544331336,1.4646302512648475,0.31855750398343563
