tag,n_chains,n_postburn,pooled_median,median_se,n_blocks,prior_mu,prior_sigma,prior_source,z_prior_sd,rhat,subsample_median,n_subsample,published
L21,4,4000000,0.9438438721897163,0.0017907306263983006,20,0.95,0.1,log_L21 banner,-0.06156127810283629,1.0004766013621065,0.9440992778261046,10000,0.9455
L22,4,4000000,0.9464582051264809,0.002048647554948562,20,0.95,0.1,log_L22 banner,-0.03541794873519022,1.000849030247982,0.947345049085072,10000,0.9434
L23,4,4000000,1.0824190968244487,0.0037221785171159126,20,1.09,0.1,"no log; launched without --amp-mu, default 1.09",-0.07580903175551379,1.0023819818109443,1.0832685422037662,10000,1.0865
L23b,4,4000000,1.0896387028343684,0.002873035394641075,20,1.09,0.1,"no log; launched without --amp-mu, default 1.09",-0.003612971656317132,1.001499130152053,,0,1.085
L25,4,4000000,1.0791114016609078,0.0029778769704091215,20,1.09,0.1,log_L25 banner,-0.10888598339092281,1.0051585284435594,,0,
