year,ais_p05,ais_p50,ais_p95,ais_pred_p05,ais_pred_p95,ais_obs,glaciers_p05,glaciers_p50,glaciers_p95,glaciers_pred_p05,glaciers_pred_p95,glaciers_obs,gis_p05,gis_p50,gis_p95,gis_pred_p05,gis_pred_p95,gis_obs,te_p05,te_p50,te_p95,te_pred_p05,te_pred_p95,te_obs,total_p05,total_p50,total_p95,total_pred_p05,total_pred_p95,total_obs,glaciers_obs_delta_corrected
1900,-0.7511705743982112,-0.6203014496283863,-0.4844838417433317,-1.2853996784345412,0.011346360661615977,-0.6340783032503996,-6.2179637607632845,-5.575838652585215,-4.787469807009631,-7.2693943018168135,-3.7556382266699915,-7.27700420293,-4.239265050043658,-4.073514828569659,-3.9027747932902086,-5.145720168120429,-2.9562181912728107,-4.130332357233222,-4.3524158009935325,-4.084747730567097,-3.7519116617703068,-5.193429619525305,-3.000130119167361,-3.6098928928375242,-14.117023670339961,-12.977917096152195,-12.006229639041964,NaN,NaN,-13.937918849348069,-5.835341914166678
1901,-0.7438849615668217,-0.6156410270572887,-0.48273393061097397,-1.252895205304123,0.040090415805167576,-0.6286254796114836,-6.182364302054005,-5.54755548683311,-4.757375662606456,-7.213381673298902,-3.7461629723527423,-7.19201579961,-4.181429946374748,-4.020234163886412,-3.8555244462128244,-5.03310252079168,-2.9354771663879307,-4.14182832891291,-4.3196671469202395,-4.054013077325908,-3.7236813495154855,-5.100229492143396,-2.9565001674536826,-3.6964476108551025,-13.697371477148412,-12.569870787523872,-11.60887702043585,NaN,NaN,-13.717743189686836,-5.7743812156594
1902,-0.7375307548741823,-0.610675630865166,-0.4806660460757852,-1.2699735822505904,0.06998186621085603,-0.6231535824862393,-6.112535943778928,-5.488592348620514,-4.709409460471934,-7.14111714357338,-3.7139411087953906,-7.10599819097,-4.120316059279682,-3.9639611766168956,-3.805315900761073,-5.032248873422891,-2.9566787989956316,-4.110059530084785,-4.286823539922182,-4.023189310644809,-3.6953691850199686,-5.079694002006747,-2.9621757863951874,-3.7697138309478753,-13.400759974887421,-12.283949858664503,-11.33561405193385,NaN,NaN,-13.307361420412224,-5.712391311832122
1903,-0.7298726601915234,-0.6054738576893188,-0.47863336181201516,-1.2319652720564485,0.049846524943498775,-0.6177760037508879,-6.040522727294251,-5.42620832214825,-4.656253500746504,-7.1880234291408875,-3.7504578914553734,-7.04884410771,-4.081190738769953,-3.9319079173166123,-3.778790798016286,-4.94323184211793,-2.819752262005913,-4.069244558160955,-4.29256474303576,-4.028577437023625,-3.7003182725840533,-5.097588368906994,-2.952806554320014,-3.89201683998108,-13.290237840315303,-12.179492448566586,-11.246758255397427,NaN,NaN,-13.366047505500095,-5.679264933384844
1904,-0.7234111331249252,-0.6016450266284425,-0.47718819228469694,-1.2100801051966363,0.011843771413966968,-0.612356558713046,-5.985868107097289,-5.378606251370332,-4.619268691976728,-7.090446471985443,-3.7331374021641954,-6.9647086707,-4.053557182081689,-3.909899330303178,-3.760139414576616,-4.893327811641235,-2.9631334540825067,-3.986545354669745,-4.408424309601663,-4.137311786689052,-3.800192659315909,-5.250791358754751,-3.0065549643919427,-4.005975580215455,-13.351890582311281,-12.248842571015816,-11.325418034778476,NaN,NaN,-13.401862591297018,-5.619157201187567
1905,-0.715827897109162,-0.5981734071349403,-0.47882609671798915,-1.2158992515785134,0.016177679088366294,-0.6069045933810149,-5.926774157739662,-5.3321415749760614,-4.583647816030169,-6.983586888225997,-3.5705985634160644,-6.86514507207,-4.036412102677118,-3.897495304415812,-3.7508817625649087,-4.7525446247367,-3.0482820620162148,-3.965610296075995,-4.433931030081502,-4.16124987609918,-3.822180209770068,-5.208385240987736,-3.1398074235151943,-4.084479761123657,-13.237802635423373,-12.152745752934898,-11.233722153461692,NaN,NaN,-13.311246733632538,-5.543621307370287
1906,-0.7092360391716498,-0.5943265207704572,-0.47742649518309666,-1.2030108530943668,0.009091101903718223,-0.6014521512118254,-5.858971486938423,-5.275638869756747,-4.536091428229741,-6.871037075961995,-3.6156541545638583,-6.78516536626,-3.99860934834478,-3.8624359614590134,-3.7223402712613565,-4.702424191398184,-2.999209477885856,-3.9195184534246272,-4.404410936207524,-4.13354523068586,-3.796733012276427,-5.295308436210356,-2.982437558176906,-4.1820330142974855,-13.296300878569504,-12.228274003001163,-11.316587642108788,NaN,NaN,-13.567440039263273,-5.48766930637301
1907,-0.700637545004467,-0.5901885359420553,-0.476310974664507,-1.1752809273280997,-0.010785694534215838,-0.5960208806124601,-5.789095322589837,-5.220362662760259,-4.491040723356367,-6.838502049987619,-3.490947207400839,-6.7199607459,-3.98695756081846,-3.8547881328674025,-3.7178293850168065,-4.730828615334322,-2.982998182847114,-3.8829637354070488,-4.357982619222266,-4.08997219651107,-3.7567104243854446,-5.100368051473756,-3.0126423298428016,-4.245766305923461,-13.208193550474567,-12.147818764103908,-11.248967879163791,NaN,NaN,-13.430518857797505,-5.446492390825732
1908,-0.6926846919896801,-0.585551888337464,-0.4752691959492353,-1.207592548421698,0.008350306003500039,-0.5906124981966887,-5.733477770396143,-5.176369337722106,-4.4595413379998945,-6.821502088011601,-3.514849913061711,-6.64097972783,-3.9777675787453473,-3.8486774409084954,-3.713359569778687,-4.664216457486964,-3.01391621997208,-3.8119527643377134,-4.347008097141283,-4.079672593666572,-3.747250060472467,-5.181514618351367,-2.918985221374456,-4.304152536392211,-13.060443910567505,-12.008713230534592,-11.122133879975177,NaN,NaN,-13.478100215899776,-5.391539077568454
1909,-0.6849118160825229,-0.5814985377241197,-0.47499414290383596,-1.1798596100080163,0.02072336593390096,-0.5851665410128508,-5.674647051378956,-5.124505607718994,-4.4175118843129955,-6.693592739124734,-3.4148841432403176,-6.56629558477,-3.9253406039874426,-3.800931812878557,-3.670552328619166,-4.5113488156876755,-3.0870651936191518,-3.7546384638006036,-4.313586952478542,-4.048306807157175,-3.7184400413604997,-5.0987694908926535,-2.9463844740112295,-4.4123697757720945,-12.829080432502773,-11.784677597306832,-10.915805368618628,NaN,NaN,-13.127202387002756,-5.340882639321176
