source,module,marker,marker_label,family,component,year,n_draws,med,p05,p17,p83,p95,band_basis,scenario
Ladrillo,L27,vvVL,Very Low,SSP1,glaciers,2100,2000,7.498445647140576,5.675122716711599,6.303275174642511,9.175746951977624,10.795154096186051,"joint (Ladrillo posterior x FaIR forcing, tapped)",vvVL
Ladrillo,L27,vvVL,Very Low,SSP1,glaciers,2150,2000,8.97548087967365,6.549783419238162,7.44157830298962,11.218479377835946,13.384879136930538,"joint (Ladrillo posterior x FaIR forcing, tapped)",vvVL
Ladrillo,L27,vvVL,Very Low,SSP1,glaciers,2300,2000,10.59163260526909,7.457239869372688,8.63170300405097,13.491087668015322,16.093354401949643,"joint (Ladrillo posterior x FaIR forcing, tapped)",vvVL
Ladrillo,L27,vvVL,Very Low,SSP1,gis,2100,2000,5.857703607170713,4.47966139218327,5.008029375962794,7.084663578949208,8.159475000072362,"joint (Ladrillo posterior x FaIR forcing, tapped)",vvVL
Ladrillo,L27,vvVL,Very Low,SSP1,gis,2150,2000,7.5581099814574095,5.468740092525836,6.20083051559612,9.524609398310965,11.33718374159427,"joint (Ladrillo posterior x FaIR forcing, tapped)",vvVL
Ladrillo,L27,vvVL,Very Low,SSP1,gis,2300,2000,9.750712004948547,6.274547465409619,7.418100233372787,13.018612424856139,16.031141750233477,"joint (Ladrillo posterior x FaIR forcing, tapped)",vvVL
Ladrillo,L27,vvVL,Very Low,SSP1,ais,2100,2000,4.339421743812286,3.028280022538258,3.44572420580438,6.225873774170389,46.886084758319036,"joint (Ladrillo posterior x FaIR forcing, tapped)",vvVL
Ladrillo,L27,vvVL,Very Low,SSP1,ais,2150,2000,6.494039629192508,4.34074016628442,5.008396495088837,9.784002448625403,78.17114905809187,"joint (Ladrillo posterior x FaIR forcing, tapped)",vvVL
Ladrillo,L27,vvVL,Very Low,SSP1,ais,2300,2000,11.642147325228667,7.153902318571816,8.670326227453698,18.566343347622617,114.2385766236533,"joint (Ladrillo posterior x FaIR forcing, tapped)",vvVL
Ladrillo,L27,vvVL,Very Low,SSP1,te,2100,2000,14.026998717091569,8.858625837052235,11.048315335062576,17.60431224810859,20.71598245452023,"joint (Ladrillo posterior x FaIR forcing, tapped)",vvVL
Ladrillo,L27,vvVL,Very Low,SSP1,te,2150,2000,16.794227947707327,9.908819275209721,12.841901706534003,21.70418981538625,26.294143375688783,"joint (Ladrillo posterior x FaIR forcing, tapped)",vvVL
Ladrillo,L27,vvVL,Very Low,SSP1,te,2300,2000,18.222448593014455,8.456580377955172,12.283261990025089,25.259591214853565,31.555376813626964,"joint (Ladrillo posterior x FaIR forcing, tapped)",vvVL
Ladrillo,L27,vvVL,Very Low,SSP1,lws,2100,2000,2.4600000000000044,2.4600000000000044,2.4600000000000044,2.4600000000000044,2.4600000000000044,"joint (Ladrillo posterior x FaIR forcing, tapped)",vvVL
Ladrillo,L27,vvVL,Very Low,SSP1,lws,2150,2000,3.960000000000013,3.960000000000013,3.960000000000013,3.960000000000013,3.960000000000013,"joint (Ladrillo posterior x FaIR forcing, tapped)",vvVL
Ladrillo,L27,vvVL,Very Low,SSP1,lws,2300,2000,8.459999999999987,8.459999999999987,8.459999999999987,8.459999999999987,8.459999999999987,"joint (Ladrillo posterior x FaIR forcing, tapped)",vvVL
Ladrillo,L27,vvVL,Very Low,SSP1,total,2100,2000,34.58686038410319,26.257203680486537,29.24075715862103,43.17693526340891,82.7882938683698,"joint (Ladrillo posterior x FaIR forcing, tapped)",vvVL
Ladrillo,L27,vvVL,Very Low,SSP1,total,2150,2000,44.29295253918464,32.63524136900995,36.79627122183164,56.9376036087496,126.59543538340952,"joint (Ladrillo posterior x FaIR forcing, tapped)",vvVL
Ladrillo,L27,vvVL,Very Low,SSP1,total,2300,2000,59.17642835685295,42.088902063385156,47.939931029171106,78.95745344736795,179.15395866947142,"joint (Ladrillo posterior x FaIR forcing, tapped)",vvVL
BRICK 2.0,BRICK2.0,vvVL,Very Low,SSP1,glaciers,2100,1000,11.229242324829102,8.634056329727173,9.562538185119628,13.153607988357544,14.963145875930786,joint (BRICK 2.0 posterior x FaIR forcing),vvVL
BRICK 2.0,BRICK2.0,vvVL,Very Low,SSP1,glaciers,2150,1000,15.781657695770264,11.907536220550536,13.346671133041381,18.82444511413574,21.57451524734497,joint (BRICK 2.0 posterior x FaIR forcing),vvVL
BRICK 2.0,BRICK2.0,vvVL,Very Low,SSP1,glaciers,2300,1000,24.22239589691162,17.79900989532471,19.975242023468017,28.95729200363159,33.55386943817139,joint (BRICK 2.0 posterior x FaIR forcing),vvVL
BRICK 2.0,BRICK2.0,vvVL,Very Low,SSP1,gis,2100,1000,6.287262678146362,4.7328403234481815,5.283605408668518,7.71707709312439,9.63936023712158,joint (BRICK 2.0 posterior x FaIR forcing),vvVL
BRICK 2.0,BRICK2.0,vvVL,Very Low,SSP1,gis,2150,1000,9.34867238998413,7.047123885154724,7.887801055908203,11.624709167480468,14.74066843986511,joint (BRICK 2.0 posterior x FaIR forcing),vvVL
BRICK 2.0,BRICK2.0,vvVL,Very Low,SSP1,gis,2300,1000,17.126436233520508,13.074497842788697,14.642643966674806,21.237457332611083,26.65118904113769,joint (BRICK 2.0 posterior x FaIR forcing),vvVL
