year,ais_p05,ais_p50,ais_p95,ais_pred_p05,ais_pred_p95,ais_obs,glaciers_p05,glaciers_p50,glaciers_p95,glaciers_pred_p05,glaciers_pred_p95,glaciers_obs,gis_p05,gis_p50,gis_p95,gis_pred_p05,gis_pred_p95,gis_obs,te_p05,te_p50,te_p95,te_pred_p05,te_pred_p95,te_obs,total_p05,total_p50,total_p95,total_pred_p05,total_pred_p95,total_obs,glaciers_obs_delta_corrected
1900,-0.7551377228866044,-0.6281769586742874,-0.5070749213604977,-1.2987135034860902,0.0032222984454300494,-0.6340783032503996,-6.146938295040512,-5.568260212426961,-4.84039866824232,-7.173231526947612,-3.8174705309443255,-7.27700420293,-4.262196481643342,-4.0824019731798,-3.903909782357298,-5.143798671720161,-2.975014454290018,-4.130332357233222,-4.367432567693735,-4.090575268044695,-3.732419604782712,-5.1846396960015735,-2.9529817743241966,-3.6098928928375242,-14.094382882347256,-12.97614571484075,-12.095743536510316,NaN,NaN,-13.937918849348069,-5.814083407209106
1901,-0.7475959875510166,-0.623729973518889,-0.5045994333188035,-1.2563666360909476,0.011101504070717519,-0.6286254796114836,-6.115637949455451,-5.538343057724024,-4.824144279026446,-7.209162936222453,-3.7334348711932863,-7.19201579961,-4.201582271813685,-4.028662497014183,-3.8578769943221793,-5.05158051265691,-2.954161642414206,-4.14182832891291,-4.334570923749885,-4.059796766968722,-3.7043359555905773,-5.1549752989976145,-2.938394076751372,-3.6964476108551025,-13.674059149785919,-12.565464188113207,-11.687571266539205,NaN,NaN,-13.717743189686836,-5.753477017151122
1902,-0.7397333397086172,-0.6188375169972482,-0.5019552441223384,-1.247559538545585,0.0569408668463539,-0.6231535824862393,-6.047194644985436,-5.481611105582443,-4.773524321824544,-7.1045130397765455,-3.7591620386716906,-7.10599819097,-4.136343893853349,-3.972990059952263,-3.808036840199504,-5.062054727839544,-2.9707650743631193,-4.110059530084785,-4.301613999273343,-4.028929025318449,-3.676170879399248,-5.074378791208702,-2.9827996361061184,-3.7697138309478753,-13.381667666037806,-12.283500838908092,-11.420159279385818,NaN,NaN,-13.307361420412224,-5.691841421773137
1903,-0.7315719222558333,-0.6137097399566688,-0.4991794092202921,-1.2278993026826832,0.010074568903338101,-0.6177760037508879,-5.979480398078854,-5.42165226286547,-4.719351919804239,-7.16331997009257,-3.7517048542653164,-7.04884410771,-4.094245042243241,-3.940833635768994,-3.7804457652442265,-4.954750786898764,-2.8287558864461877,-4.069244558160955,-4.307375010767295,-4.034324838710143,-3.6810942552980457,-5.1394280768246565,-2.9351858900417254,-3.89201683998108,-13.268894892705916,-12.18348258043935,-11.338679581199203,NaN,NaN,-13.366047505500095,-5.659069351775151
1904,-0.7242454128087497,-0.6087209528020261,-0.49708969212216736,-1.2300399817537266,-0.011268314783654915,-0.612356558713046,-5.922136497506109,-5.37457674926079,-4.680331980090817,-7.073557537093632,-3.6726490874988205,-6.9647086707,-4.067086955435818,-3.918986592156222,-3.7635389042532474,-4.893276974985889,-2.981246587331869,-3.986545354669745,-4.42363431765229,-4.1432143150907494,-3.7804497712745966,-5.272834140934893,-3.0074437217529693,-4.005975580215455,-13.329904465380537,-12.25822251492048,-11.425312515802778,NaN,NaN,-13.401862591297018,-5.599315928027167
1905,-0.7176279537652906,-0.6052223463919362,-0.49654941037068556,-1.222861155232242,0.01753150156787945,-0.6069045933810149,-5.866566668676758,-5.327550296344338,-4.635596118226079,-7.051035661254566,-3.6335388610165094,-6.86514507207,-4.049933944368425,-3.905898584788415,-3.7561345309389056,-4.770550670635823,-3.0562715580054585,-3.965610296075995,-4.449229041780733,-4.167186555964413,-3.8023230912710297,-5.1922399091391975,-3.1220885013597717,-4.084479761123657,-13.22182515444598,-12.161591666485862,-11.337928460085728,NaN,NaN,-13.311246733632538,-5.524134342659181
1906,-0.7102433966919611,-0.6012562242692785,-0.4952504068797426,-1.1965668951319162,0.007701619771973717,-0.6014521512118254,-5.79629171212018,-5.269615964741135,-4.5885631514836005,-6.843825530408231,-3.6089982691057196,-6.78516536626,-4.008193684032534,-3.8693608071091097,-3.726530171568215,-4.739170069485065,-3.04176264131307,-3.9195184534246272,-4.4196070972603705,-4.139442385500809,-3.7770080979091576,-5.304374423921074,-2.996819377421277,-4.1820330142974855,-13.28474284677911,-12.234519313668889,-11.415025968480165,NaN,NaN,-13.567440039263273,-5.468536650111196
1907,-0.7018837144412449,-0.5966534267785216,-0.49332178567390866,-1.1907203725893694,-0.017956671781730483,-0.5960208806124601,-5.72835257841063,-5.211810176474295,-4.533234059399763,-6.834973832910886,-3.5753267412962013,-6.7199607459,-3.9961732082128614,-3.8609079286530688,-3.7228255794381973,-4.75729163155998,-3.0090077674632827,-3.8829637354070488,-4.373018592637642,-4.095807187514099,-3.737193436705766,-5.101820514979303,-3.05320734969933,-4.245766305923461,-13.196890156213113,-12.155655804143908,-11.351003680216841,NaN,NaN,-13.430518857797505,-5.427714043013211
1908,-0.6939404525649524,-0.5914609226740273,-0.49085762394534044,-1.228342517142891,0.005055918911007422,-0.5906124981966887,-5.678416134316406,-5.1675355319251155,-4.4932606103736905,-6.773159866456402,-3.4360626998489874,-6.64097972783,-3.9861195269592207,-3.8550816068827025,-3.7191912921956747,-4.6683477453735795,-3.02668683672303,-3.8119527643377134,-4.362006206104991,-4.085492890660193,-3.7277822215918914,-5.1298293215197,-2.9215449276590992,-4.304152536392211,-13.048351518573455,-12.017761454543752,-11.223885032293516,NaN,NaN,-13.478100215899776,-5.373115038205225
1909,-0.6866853367180805,-0.5870641099548116,-0.4887857458502984,-1.1663725302359567,0.010122935286790773,-0.5851665410128508,-5.619256153668719,-5.11595876268644,-4.451952421847892,-6.689889922869582,-3.471014349228623,-6.56629558477,-3.930684107027434,-3.8064630942361743,-3.676411979725507,-4.526893525412858,-3.0925941460900828,-3.7546384638006036,-4.328469751335128,-4.054082355904772,-3.6991218772550702,-5.129604822486294,-2.9607161244671776,-4.4123697757720945,-12.810807711487412,-11.792186137975847,-11.014918588176988,NaN,NaN,-13.127202387002756,-5.32281290840724
