model,n_rungs,grid_min_K,grid_max_K,jump_m_sle,jump_lo_K,jump_hi_K,jump_width_K,width_in_own_finest_intervals,resolved,drift_at_jump_lo_m,drift_at_jump_hi_m
PISM-dEBM,16,0.42016806722689015,0.4201680672268915,4.644468207128677,2.1806722689075633,2.600840336134454,0.4201680672268906,1.000000000000001,False,0.0465955113808152,0.1056222121236526
Yelmo-REMBO,15,0.08403361344537785,1.6806722689075633,4.14058605,1.6764705882352942,1.7605042016806722,0.08403361344537807,1.0000000000000027,False,0.0,0.0
