component,n_years,coverage_param,coverage_pred,mean_bias,in_sample
ais,126,0.49206349206349204,0.9761904761904762,-0.02334568054863587,true
glaciers,124,0.7903225806451613,1.0,0.010594128939190447,true
gis,126,0.6031746031746031,0.9920634920634921,0.0030759330298668263,true
te,126,0.30158730158730157,0.9761904761904762,0.1775952856629966,true
total,125,0.304,NaN,0.6299950479514007,false
