arm,G_on,slope_m_yr_K,nfd,rate_1900_1978_p50,rate_1900_1978_p05,rate_1900_1978_p95,net_1900_1978_p50,net_1900_1978_p05,net_1900_1978_p95,dyn_anom_1900_1978_p50,dyn_anom_1900_1978_p05,dyn_anom_1900_1978_p95,fd_1900_1978_p50,fd_1900_1978_p05,fd_1900_1978_p95,rate_1979_1991_p50,rate_1979_1991_p05,rate_1979_1991_p95,net_1979_1991_p50,net_1979_1991_p05,net_1979_1991_p95,dyn_anom_1979_1991_p50,dyn_anom_1979_1991_p05,dyn_anom_1979_1991_p95,fd_1979_1991_p50,fd_1979_1991_p05,fd_1979_1991_p95,rate_1992_2002_p50,rate_1992_2002_p05,rate_1992_2002_p95,net_1992_2002_p50,net_1992_2002_p05,net_1992_2002_p95,dyn_anom_1992_2002_p50,dyn_anom_1992_2002_p05,dyn_anom_1992_2002_p95,fd_1992_2002_p50,fd_1992_2002_p05,fd_1992_2002_p95,rate_2003_2010_p50,rate_2003_2010_p05,rate_2003_2010_p95,net_2003_2010_p50,net_2003_2010_p05,net_2003_2010_p95,dyn_anom_2003_2010_p50,dyn_anom_2003_2010_p05,dyn_anom_2003_2010_p95,fd_2003_2010_p50,fd_2003_2010_p05,fd_2003_2010_p95,rate_2011_2017_p50,rate_2011_2017_p05,rate_2011_2017_p95,net_2011_2017_p50,net_2011_2017_p05,net_2011_2017_p95,dyn_anom_2011_2017_p50,dyn_anom_2011_2017_p05,dyn_anom_2011_2017_p95,fd_2011_2017_p50,fd_2011_2017_p05,fd_2011_2017_p95,rate_2018_2023_p50,rate_2018_2023_p05,rate_2018_2023_p95,net_2018_2023_p50,net_2018_2023_p05,net_2018_2023_p95,dyn_anom_2018_2023_p50,dyn_anom_2018_2023_p05,dyn_anom_2018_2023_p95,fd_2018_2023_p50,fd_2018_2023_p05,fd_2018_2023_p95,rate_1979_2008_p50,rate_1979_2008_p05,rate_1979_2008_p95,net_1979_2008_p50,net_1979_2008_p05,net_1979_2008_p95,dyn_anom_1979_2008_p50,dyn_anom_1979_2008_p05,dyn_anom_1979_2008_p95,fd_1979_2008_p50,fd_1979_2008_p05,fd_1979_2008_p95,rate_1979_2023_p50,rate_1979_2023_p05,rate_1979_2023_p95,net_1979_2023_p50,net_1979_2023_p05,net_1979_2023_p95,dyn_anom_1979_2023_p50,dyn_anom_1979_2023_p05,dyn_anom_1979_2023_p95,fd_1979_2023_p50,fd_1979_2023_p05,fd_1979_2023_p95,cum_1979_2023_p50,cum_1979_2023_p05,cum_1979_2023_p95,accel_p50,accel_p05,accel_p95,dyn_accel_p50,dyn_accel_p05,dyn_accel_p95,floor_years_p50,floor_years_p05,floor_years_p95,z_2011_17,z_cum,provenance
stock,NaN,NaN,0.0,0.011614988510103886,0.00429897933874871,0.01763861999796577,-48.206886260092155,-71.87999968233406,-16.419474715649677,40.976148084539545,8.143125699783832,82.84477784929794,0.0,0.0,0.0,0.013858943914215946,0.009678686777327116,0.019279625379952606,-57.27589728637543,-86.09977849522112,-37.0417853178962,13.097026333946133,2.6294161288812576,26.630867292121046,0.0,0.0,0.0,0.022188867375141162,0.01840316413632874,0.025756199118398045,-93.66714340838739,-111.78124543531905,-72.59432067315119,0.3962273625772923,0.05314662857845178,0.8288244235102185,0.0,0.0,0.0,0.037531727446353524,0.031119555897226314,0.04343716727808061,-156.53636540604288,-192.4549228357053,-127.2872752148727,-30.241930606446658,-61.73032848060145,-5.986049697360361,0.0,0.0,0.0,0.04109069482642732,0.03576744802989529,0.04644927514428719,-172.32311237867222,-210.78258511617187,-142.17180317713243,-47.32531580599607,-96.96540527345286,-9.188587652680301,0.0,0.0,0.0,0.046011429629916334,0.03916286530208035,0.05308871247763858,-192.44849807257413,-232.78218192653344,-153.8039537922151,-67.10168379940751,-137.5781852734074,-12.910953329943114,0.0,0.0,0.0,0.021715390419969616,0.018648196673570205,0.024491973447525628,-90.91476077743096,-107.57978256726486,-73.48193093615387,0.0,0.0,0.0,0.0,0.0,0.0,0.02878442390661669,0.02568102654607592,0.03177023444195933,-119.69225620900959,-140.9940867110991,-99.44078810036115,-17.805663199181254,-36.49196891214024,-3.444161362500357,0.0,0.0,0.0,1.2952990757977512,1.1556461945734164,1.4296605498881698,0.018864038996891107,0.0134488729149612,0.02510570831815144,-47.7168223501335,-97.82207282255547,-9.234456756254982,0.0,0.0,0.0,-2.072757881938954,-0.2335780300160636,"scope_ais_onset_sweep.jl | tag L29 (295 thinned draws of parameters_subsample_brick_mengel_L29.csv) | hindcast 1850-2026 forcing ssp245harm LWS central ref (1995, 2005) | ramp: rate = -s*max(T_ant - T_crit,0), T_crit = TANT0 + amp*G_on per draw, n_fd 1, ref 1 K; stock = paleo pair binary; none = lambda 0 | IMBIE 2011-17 0.0556 +- 0.007 cm/yr; cum 1979-2023 (1.328, 0.14) | units cm/yr, Gt/yr ice-mass sign | 2026-09-22T06:28:32.381"
none,NaN,NaN,0.0,0.011614988510103886,0.00429897933874871,0.01763861999796577,-48.206886260092155,-71.87999968233406,-16.419474715649677,40.976148084539545,8.143125699783832,82.84477784929794,0.0,0.0,0.0,0.013858943914215946,0.009678686777327116,0.019279625379952606,-57.27589728637543,-86.09977849522112,-37.0417853178962,13.097026333946133,2.6294161288812576,26.630867292121046,0.0,0.0,0.0,0.022188867375141162,0.01840316413632874,0.025756199118398045,-93.66714340838739,-111.78124543531905,-72.59432067315119,0.3962273625772923,0.05314662857845178,0.8288244235102185,0.0,0.0,0.0,0.037531727446353524,0.031119555897226314,0.04343716727808061,-156.53636540604288,-192.4549228357053,-127.2872752148727,-30.241930606446658,-61.73032848060145,-5.986049697360361,0.0,0.0,0.0,0.04109069482642732,0.03576744802989529,0.04644927514428719,-172.32311237867222,-210.78258511617187,-142.17180317713243,-47.32531580599607,-96.96540527345286,-9.188587652680301,0.0,0.0,0.0,0.046011429629916334,0.03916286530208035,0.05308871247763858,-192.44849807257413,-232.78218192653344,-153.8039537922151,-67.10168379940751,-137.5781852734074,-12.910953329943114,0.0,0.0,0.0,0.021715390419969616,0.018648196673570205,0.024491973447525628,-90.91476077743096,-107.57978256726486,-73.48193093615387,0.0,0.0,0.0,0.0,0.0,0.0,0.02878442390661669,0.02568102654607592,0.03177023444195933,-119.69225620900959,-140.9940867110991,-99.44078810036115,-17.805663199181254,-36.49196891214024,-3.444161362500357,0.0,0.0,0.0,1.2952990757977512,1.1556461945734164,1.4296605498881698,0.018864038996891107,0.0134488729149612,0.02510570831815144,-47.7168223501335,-97.82207282255547,-9.234456756254982,0.0,0.0,0.0,-2.072757881938954,-0.2335780300160636,"scope_ais_onset_sweep.jl | tag L29 (295 thinned draws of parameters_subsample_brick_mengel_L29.csv) | hindcast 1850-2026 forcing ssp245harm LWS central ref (1995, 2005) | ramp: rate = -s*max(T_ant - T_crit,0), T_crit = TANT0 + amp*G_on per draw, n_fd 1, ref 1 K; stock = paleo pair binary; none = lambda 0 | IMBIE 2011-17 0.0556 +- 0.007 cm/yr; cum 1979-2023 (1.328, 0.14) | units cm/yr, Gt/yr ice-mass sign | 2026-09-22T06:28:32.381"
on0.30_s7.50e-05,0.3,7.5e-5,1.0,0.011645127411352004,0.004324472936538646,0.01766418715823287,-48.31351153227335,-72.00134090450591,-16.53058509134349,48.829471839155076,14.90242956190334,91.71346017741901,-0.10481602356486232,-0.1343832151130702,-0.07607155252609568,0.014826925436791564,0.010494669056785567,0.02031807299353637,-61.42654246558485,-90.73927578289327,-41.21556409391677,16.757779032946473,5.792102987340808,30.96732493909699,-4.2954762706967,-5.507172396603208,-3.1174961388293903,0.024071049811258405,0.020109701727869824,0.027720793231576956,-101.1749650404147,-119.55615165139488,-79.83410484196095,0.49133989907340947,0.14983926049962976,0.9253260705350841,-7.966178349822472,-10.21333019899203,-5.781554519627235,0.041271578717945456,0.0349790764291856,0.047137102211703,-173.7337291514468,-209.66307498398226,-144.28458714455925,-38.700432412643295,-71.59866389054437,-13.286719286456872,-16.730513341683498,-21.449966301728992,-12.142381299867537,0.04587916033307644,0.040382892122238064,0.051941770961189286,-193.27504743129242,-231.99229796834777,-165.027743866462,-60.18931179197716,-112.0579581207935,-20.619211005113982,-21.484872561970178,-27.545466360736896,-15.592917533291512,0.05199461256018556,0.04470294665998076,0.059250710610749824,-217.7654277717004,-261.2930974868561,-179.62314106851477,-84.79598801047746,-158.4013186969271,-29.087326450794905,-26.88472660620798,-34.46854665825402,-19.511929785319044,0.0234993699498931,0.020383980623715048,0.026329819213948613,-98.70000395387454,-116.66853624310914,-81.18482444602668,0.0,0.0,0.0,-8.063543017322777,-10.338160130638974,-5.852218156407454,0.031711363655479254,0.02828172769480782,0.03501466047744565,-133.27721635392737,-153.5129348602757,-112.42136408119089,-22.579464681901754,-42.119312762666056,-7.741210477205887,-13.089238392702477,-16.781536627405963,-9.499680030323928,1.4270113644965665,1.2726777462663519,1.5756597214850543,0.0219793363490418,0.016360656474889324,0.028434560767087898,-60.633284688939966,-112.9596017685491,-20.755609161705856,0.0,0.0,0.0,-1.38869138098908,0.7072240321183317,"scope_ais_onset_sweep.jl | tag L29 (295 thinned draws of parameters_subsample_brick_mengel_L29.csv) | hindcast 1850-2026 forcing ssp245harm LWS central ref (1995, 2005) | ramp: rate = -s*max(T_ant - T_crit,0), T_crit = TANT0 + amp*G_on per draw, n_fd 1, ref 1 K; stock = paleo pair binary; none = lambda 0 | IMBIE 2011-17 0.0556 +- 0.007 cm/yr; cum 1979-2023 (1.328, 0.14) | units cm/yr, Gt/yr ice-mass sign | 2026-09-22T06:28:32.381"
on0.30_s1.50e-04,0.3,0.00015,1.0,0.011675266312656196,0.0043499665343333885,0.017689754318517596,-48.39716252422469,-72.12268212674743,-16.64169546708338,56.53442771089749,21.536932729579163,100.18442367667231,-0.20963204712972464,-0.2687664302261404,-0.15214310505219136,0.01579134562581092,0.01137886143740569,0.021257992309273208,-65.74698769511124,-95.10127905552295,-45.005415902649105,20.389605034698207,9.086747903368224,34.74852056239238,-8.5909525413934,-11.014344793206416,-6.2349922776587805,0.025913121248407913,0.02198556583565744,0.029623274240569483,-109.33997823481091,-128.12248988569124,-87.38102313619889,0.5937408083391347,0.23321618585630405,1.0277227280528223,-15.932356699644943,-20.42666039798406,-11.56310903925447,0.04492896317389028,0.038353189660548376,0.05144156001799405,-190.9915380136009,-226.39637682582156,-159.22415619482098,-46.96698232257859,-80.26683157402267,-20.8231922667177,-33.461026683366995,-42.899932603457984,-24.284762599735075,0.05069270582923454,0.044743319012331736,0.05749735803563686,-214.03129030975938,-253.1202848417071,-183.98366303381323,-73.03118873112248,-125.47483920739232,-32.214719280058304,-42.969745123940356,-55.09093272147379,-31.185835066583024,0.05802383587883431,0.05023843902848435,0.06637590396105175,-244.00455621370702,-289.73624195964913,-202.774474868438,-102.91966336706355,-177.84060978631797,-45.26238671692197,-53.76945321241596,-68.93709331650804,-39.02385957063809,0.025318039769405276,0.022236601625158725,0.028416173248843046,-106.76574144500042,-125.35361227822054,-89.03550526099463,0.0,0.0,0.0,-16.127086034645554,-20.676320261277947,-11.704436312814908,0.0345476633110553,0.03077371770572361,0.038801564506302386,-146.04793785839234,-167.65897019272828,-123.92326342984063,-27.40489181046837,-47.199371143715396,-12.073438208727724,-26.178476785404953,-33.563073254811925,-18.999360060647856,1.5546448489974884,1.3848172967575623,1.7460704027836074,0.02504642551045443,0.018980937861272713,0.031648944441178634,-73.5936580928244,-126.5536594611898,-32.417487576344314,0.0,0.0,0.0,-0.7010420243950652,1.6188917785534882,"scope_ais_onset_sweep.jl | tag L29 (295 thinned draws of parameters_subsample_brick_mengel_L29.csv) | hindcast 1850-2026 forcing ssp245harm LWS central ref (1995, 2005) | ramp: rate = -s*max(T_ant - T_crit,0), T_crit = TANT0 + amp*G_on per draw, n_fd 1, ref 1 K; stock = paleo pair binary; none = lambda 0 | IMBIE 2011-17 0.0556 +- 0.007 cm/yr; cum 1979-2023 (1.328, 0.14) | units cm/yr, Gt/yr ice-mass sign | 2026-09-22T06:28:32.381"
on0.30_s3.00e-04,0.3,0.0003,1.0,0.011712338990278051,0.004400953729975741,0.017740888639059003,-48.58786614007761,-72.36536457143936,-16.863916218699053,72.30661778985586,35.77821542435201,117.52998714904047,-0.41926409425944927,-0.5375328604522808,-0.3042862101043827,0.01770658460656425,0.013111531231105611,0.023140996467652112,-74.1229689809542,-104.6172813494681,-52.84209775775253,28.039894706463883,15.701032753089226,43.5017458858693,-17.1819050827868,-22.02868958641283,-12.469984555317561,0.029392056879590737,0.024959349549893935,0.033289641529272926,-124.79440664425948,-145.54184301806276,-101.58153621086878,0.7910337856292244,0.40083712043815467,1.2656840181937696,-31.864713399289887,-40.85332079596812,-23.12621807850894,0.05248344858164167,0.04458341527749543,0.06068983523485463,-224.0910982973142,-262.309365339496,-190.36666997095742,-64.76113616191469,-100.38041957119817,-36.072998170080325,-66.92205336673399,-85.79986520691597,-48.56952519947015,0.06038769421972599,0.05263790853002135,0.06900626910665666,-257.01586085998906,-298.78696726636934,-221.41932170228105,-100.50788321184359,-156.23762052507212,-55.770819695372,-85.93949024788071,-110.18186544294758,-62.37167013316605,0.0699256838432416,0.060032749509440486,0.08151013302733046,-295.16621886194577,-350.0289553935959,-246.5839240336284,-141.36252318702373,-220.0485543895358,-78.27346938170678,-107.53890642483192,-137.87418663301608,-78.04771914127618,0.029085599812356255,0.025241386999993676,0.03279713665796913,-122.84030142854256,-142.522658951717,-102.8891518911798,0.0,0.0,0.0,-32.25417206929111,-41.352640522555895,-23.408872625629815,0.04033182347794669,0.03573380177254445,0.045619564200441554,-172.12839259570734,-196.12022397504256,-148.4639132598945,-37.67826683160888,-58.61207413693921,-20.891247321417058,-52.35695357080991,-67.12614650962385,-37.99872012129571,1.814932056507601,1.6080210797645,2.0528803890198697,0.031061176394082797,0.024682164243711353,0.03847627958187289,-101.27711021778373,-157.49351783543563,-56.17090917396834,0.0,0.0,0.0,0.6839563171037137,3.478086117911435,"scope_ais_onset_sweep.jl | tag L29 (295 thinned draws of parameters_subsample_brick_mengel_L29.csv) | hindcast 1850-2026 forcing ssp245harm LWS central ref (1995, 2005) | ramp: rate = -s*max(T_ant - T_crit,0), T_crit = TANT0 + amp*G_on per draw, n_fd 1, ref 1 K; stock = paleo pair binary; none = lambda 0 | IMBIE 2011-17 0.0556 +- 0.007 cm/yr; cum 1979-2023 (1.328, 0.14) | units cm/yr, Gt/yr ice-mass sign | 2026-09-22T06:28:32.381"
on0.30_s6.00e-04,0.3,0.0006,1.0,0.011774519392336995,0.004502928121390218,0.01784299573606607,-48.96927337216813,-72.85072946166392,-17.30835772246963,104.5696632892707,62.63125194309808,155.92090877403413,-0.8385281885188985,-1.0750657209045615,-0.6085724202087655,0.021617481201984513,0.016164801300399673,0.027456336894573413,-91.85914178804151,-122.85364890810305,-66.72194010705033,42.866354184244756,27.463981558482693,61.190836056133236,-34.3638101655736,-44.05737917282566,-24.939969110635122,0.03649368938298006,0.03083169300150876,0.04231090071443329,-157.41620183202582,-180.2563650480847,-127.41970156752402,1.1995926675213013,0.733651626794267,1.7468770607372335,-63.72942679857977,-81.70664159193625,-46.25243615701788,0.06685721199619771,0.057232065064598964,0.07930179356607725,-288.7564779902602,-337.5087274066003,-248.11095213959658,-98.73538127402435,-140.9559515707811,-63.116223407871956,-133.84410673346798,-171.59973041383194,-97.1390503989403,0.07961975809846875,0.06738363204707506,0.09354317038768052,-341.17270067889433,-397.14492770172836,-292.8329152395575,-152.91643810422647,-218.69150962968894,-97.6963616310009,-171.87898049576143,-220.36373088589517,-124.7433402663321,0.09447435270148456,0.0786988835598601,0.11192502898201728,-401.92968770880594,-476.0795459578594,-333.75456428438594,-214.54546838601027,-307.69850521298054,-137.2821245586039,-215.07781284966384,-275.74837326603216,-156.09543828255235,0.036246887536932615,0.03098142796150305,0.041609570142049135,-155.3226965360988,-178.38563938656887,-130.87997075510327,0.0,0.0,0.0,-64.50834413858222,-82.70528104511179,-46.81774525125963,0.05246266706663801,0.04463250983282019,0.0602699552077921,-224.69986460136832,-257.1241565476804,-187.33020592288273,-57.270972417743906,-81.9823406247021,-36.608548226684114,-104.71390714161981,-134.2522930192477,-75.99744024259142,2.3608200179987104,2.0084629424769087,2.7121479843506444,0.04307865227473653,0.034199119756031716,0.05437835705361442,-154.12540706427671,-220.39567378908407,-98.41804763589046,0.0,0.0,0.0,3.431394014066964,7.377285842847931,"scope_ais_onset_sweep.jl | tag L29 (295 thinned draws of parameters_subsample_brick_mengel_L29.csv) | hindcast 1850-2026 forcing ssp245harm LWS central ref (1995, 2005) | ramp: rate = -s*max(T_ant - T_crit,0), T_crit = TANT0 + amp*G_on per draw, n_fd 1, ref 1 K; stock = paleo pair binary; none = lambda 0 | IMBIE 2011-17 0.0556 +- 0.007 cm/yr; cum 1979-2023 (1.328, 0.14) | units cm/yr, Gt/yr ice-mass sign | 2026-09-22T06:28:32.381"
on0.30_s1.20e-03,0.3,0.0012,1.0,0.011994142947440363,0.004706876904696595,0.01799365374729218,-49.83643914743438,-73.82145924546661,-18.197240732174187,167.95245103528805,112.34175026503343,229.72962774515966,-1.677056377037797,-2.150131441809123,-1.217144840417531,0.029706234251431356,0.022110464142216343,0.03656939878289916,-126.39417430476146,-162.39700943182552,-94.17944125076554,72.91091788440258,50.92157205924234,97.77307403212659,-68.7276203311472,-88.11475834565132,-49.879938221270244,0.05088202376976148,0.041708166805600036,0.06020546704672669,-220.24977955323274,-259.12412162192925,-177.63437896808784,1.9802286325366367,1.3444373284538416,2.7116698925798803,-127.45885359715955,-163.4132831838725,-92.50487231403577,0.09728135725128317,0.08066302672106229,0.1182168709669322,-418.2368489458939,-499.9571801382742,-349.20522414955855,-167.78693362161812,-225.11350404445335,-117.18391696909995,-267.68821346693596,-343.19946082766387,-194.2781007978806,0.11837715804364134,0.09648240404737678,0.14320176474642646,-513.1809763367929,-612.190852814346,-419.4532456720681,-259.6472944465754,-348.69750704712317,-181.3677457434975,-343.75796099152285,-440.72746177179033,-249.4866805326642,0.1425658588864287,0.11445710071539988,0.17510461565080793,-617.1751288202865,-747.5840663496972,-494.7958363304016,-364.21820139318515,-489.82738746941095,-254.27804502806777,-430.1556256993277,-551.4967465320643,-312.1908765651047,0.05103602217792935,0.04186506317440242,0.05992561942274566,-218.70765133994885,-257.4780611275766,-180.80512275383938,0.0,0.0,0.0,-129.01668827716443,-165.41056209022358,-93.63549050251926,0.0761489684220266,0.06231627333269585,0.0898376778398317,-328.1337486885855,-386.9050786169887,-269.39523056309065,-97.23709409635876,-130.6445058161324,-67.92651671292481,-209.42781428323963,-268.5045860384954,-151.99488048518285,3.426703578991197,2.8042322999713134,4.0426955027924265,0.06752421854057003,0.053686106430554124,0.08508057834520293,-261.6131645942751,-351.37528811950216,-182.74275958094626,0.0,0.0,0.0,8.968165434805906,14.990739849937118,"scope_ais_onset_sweep.jl | tag L29 (295 thinned draws of parameters_subsample_brick_mengel_L29.csv) | hindcast 1850-2026 forcing ssp245harm LWS central ref (1995, 2005) | ramp: rate = -s*max(T_ant - T_crit,0), T_crit = TANT0 + amp*G_on per draw, n_fd 1, ref 1 K; stock = paleo pair binary; none = lambda 0 | IMBIE 2011-17 0.0556 +- 0.007 cm/yr; cum 1979-2023 (1.328, 0.14) | units cm/yr, Gt/yr ice-mass sign | 2026-09-22T06:28:32.381"
on0.45_s7.50e-05,0.45,7.5e-5,1.0,0.011614988510103886,0.00429897933874871,0.01763861999796577,-48.206886260092155,-71.87999968233406,-16.419474715649677,45.04860912047047,11.431827194730545,87.57316250102298,0.0,0.0,0.0,0.013987035920843143,0.009770129697161272,0.01941218055996273,-57.67484813684636,-86.672847126124,-37.49173142575748,16.594434127958948,5.6368765511144145,30.78657128602945,-0.5314734033091901,-0.6813949075217397,-0.3857235329199518,0.02316824369592271,0.019279080664319794,0.02672076651791064,-97.52572931073428,-115.7937233103325,-76.36361533875723,0.39169702372828397,0.048968460396667975,0.823897499985037,-4.101663960183807,-5.258688238080464,-2.9768344073694437,0.04022692670253708,0.03397236993428712,0.04617499708332043,-169.1106070882413,-204.70825246308505,-140.0734188625564,-38.181099830550465,-70.96956344300649,-12.79535296492947,-12.146863492034075,-15.573330432526692,-8.815739547587466,0.044956184469534054,0.03940168964728041,0.050684064750492475,-189.16628055119685,-228.00465922586127,-160.58112887482426,-59.658135377674625,-111.33632205878128,-20.137220607421696,-16.901222712320756,-21.6688304915346,-12.266275781011439,0.05098673373059026,0.04374067826568073,0.05815232958441052,-213.96611715955862,-256.2451999595583,-174.98937051600822,-84.24129363462589,-157.8226565261353,-28.592898279682032,-22.30107675655857,-28.59191078905172,-16.185288033038965,0.02256953223476743,0.01955025672545363,0.025279870284861228,-94.77979267433126,-112.19389562285062,-77.12598549326702,0.0,0.0,0.0,-4.098756528657462,-5.254960659195639,-2.9747243022294927,0.030829494594908358,0.02747563514010546,0.034020095264203874,-128.79800676808173,-149.47314168726,-108.03925949127802,-22.40340037081978,-41.886734063337805,-7.581384784865232,-8.918164117042462,-11.433858356709639,-6.47247021011193,1.387327256770876,1.2364035813047458,1.5309042868891742,0.0217622322911702,0.016219835449628888,0.028314258563482693,-60.007980329872225,-112.16708384112628,-20.188371153336917,0.0,0.0,0.0,-1.520545075780849,0.42376611979197154,"scope_ais_onset_sweep.jl | tag L29 (295 thinned draws of parameters_subsample_brick_mengel_L29.csv) | hindcast 1850-2026 forcing ssp245harm LWS central ref (1995, 2005) | ramp: rate = -s*max(T_ant - T_crit,0), T_crit = TANT0 + amp*G_on per draw, n_fd 1, ref 1 K; stock = paleo pair binary; none = lambda 0 | IMBIE 2011-17 0.0556 +- 0.007 cm/yr; cum 1979-2023 (1.328, 0.14) | units cm/yr, Gt/yr ice-mass sign | 2026-09-22T06:28:32.381"
on0.45_s1.50e-04,0.45,0.00015,1.0,0.011614988510103886,0.00429897933874871,0.01763861999796577,-48.206886260092155,-71.87999968233406,-16.419474715649677,49.04986628502161,15.108160517179453,91.9822554893871,0.0,0.0,0.0,0.014115429746627188,0.009866080576517765,0.019540521663010853,-58.17759047736381,-87.24591575710453,-37.941677533698886,20.01346447376477,8.776381475509902,34.3732422616885,-1.0629468066183803,-1.3627898150434794,-0.7714470658399036,0.024120787144419543,0.020164083021073843,0.02776343356284254,-101.39943245472953,-119.83781572171291,-80.10456522641671,0.3867518148947511,0.043996762076790215,0.8189706377164839,-8.203327920367615,-10.517376476160928,-5.953668814738887,0.04288739612446635,0.03645729631696168,0.04898399886422905,-182.06518755713913,-217.41785850180997,-150.95697790501683,-45.77507791170842,-79.0781814527476,-19.84093064196306,-24.29372698406815,-31.146660865053384,-17.63147909517493,0.048614553610258425,0.042967677009751376,0.05482556187748162,-204.7713136294581,-243.44099332943276,-175.7542333248007,-71.86406917164823,-124.11402315241381,-31.251062740786793,-33.80244542464151,-43.3376609830692,-24.532551562022878,0.05594397381307181,0.04832064474232567,0.06405608949059893,-234.48502623436647,-280.7825257606162,-195.46647688437992,-101.774648546776,-176.4864510219104,-44.314927969384435,-44.60215351311714,-57.18382157810344,-32.37057606607793,0.023535723943108877,0.020410919884754408,0.02636869901315697,-98.86831759332398,-116.8343169305268,-81.3411133691352,0.0,0.0,0.0,-8.197513057314923,-10.509921318391278,-5.949448604458985,0.032711779752636616,0.02926217318964001,0.03629654715623961,-137.33837025195547,-158.74945120763806,-117.01989792217108,-27.018128267473003,-46.74179172813736,-11.75388156038466,-17.836328234084924,-22.867716713419277,-12.94494042022386,1.4720300888686477,1.3167977935338004,1.6333446220307823,0.0247180731257041,0.018700089578111735,0.031294587403563,-72.2191772244339,-124.9446031218955,-31.283501171565895,0.0,0.0,0.0,-0.9979209128202245,1.0287863490617688,"scope_ais_onset_sweep.jl | tag L29 (295 thinned draws of parameters_subsample_brick_mengel_L29.csv) | hindcast 1850-2026 forcing ssp245harm LWS central ref (1995, 2005) | ramp: rate = -s*max(T_ant - T_crit,0), T_crit = TANT0 + amp*G_on per draw, n_fd 1, ref 1 K; stock = paleo pair binary; none = lambda 0 | IMBIE 2011-17 0.0556 +- 0.007 cm/yr; cum 1979-2023 (1.328, 0.14) | units cm/yr, Gt/yr ice-mass sign | 2026-09-22T06:28:32.381"
on0.45_s3.00e-04,0.45,0.0003,1.0,0.011614988510103886,0.00429897933874871,0.01763861999796577,-48.206886260092155,-71.87999968233406,-16.419474715649677,57.06002787861871,22.015006720321864,100.76176217962433,0.0,0.0,0.0,0.014372217398292633,0.010085229966737467,0.01979720386849861,-59.333449018624556,-88.39205301930289,-38.971868061494725,27.267191074881566,15.112123163580577,42.53933492952854,-2.1258936132367605,-2.725579630086959,-1.5428941316798073,0.026020220923593896,0.022120517234803592,0.029729145284482984,-109.73772951926354,-128.63062340171516,-87.90864819063323,0.3768616092290813,0.03517950576479052,0.8091170969360519,-16.40665584073523,-21.034752952321856,-11.907337629477775,0.04835377201876101,0.04117183922873441,0.05559934420751547,-205.9764896744624,-242.1225262560842,-174.0754706713146,-62.23066870035609,-97.32199935871115,-34.200243967963246,-48.5874539681363,-62.29332173010677,-35.26295819034986,0.0562200458888202,0.049360832955948224,0.06426223524837524,-239.245580156903,-279.4401816985843,-205.38961882265383,-97.99512332035874,-153.29589161537695,-53.939955910536554,-67.60489084928302,-86.6753219661384,-49.065103124045756,0.06596775928646159,0.05657370909481485,0.07639707167784726,-278.8380125186637,-327.8315953395565,-234.1052248753818,-138.79194592258204,-217.22589137549892,-76.47912053625922,-89.20430702623428,-114.36764315620688,-64.74115213215586,0.025385452183409596,0.022292020301622473,0.028494936834934096,-107.03091333818494,-125.69501199296167,-89.29272298771184,0.0,0.0,0.0,-16.395026114629847,-21.019842636782556,-11.89889720891797,0.03657846909462508,0.03268398172654896,0.04141395007965872,-155.49382156792979,-177.92324751714335,-132.2842920321648,-36.83764723757372,-57.655445075204284,-20.284707009304608,-35.67265646816985,-45.735433426838554,-25.88988084044772,1.6460311092581286,1.4707791776947032,1.8636277535846424,0.030403571634439557,0.02419143065526546,0.037822206508777066,-98.33559565864766,-154.04224751866985,-54.01149680051484,0.0,0.0,0.0,0.08857798411717208,2.2716507804152033,"scope_ais_onset_sweep.jl | tag L29 (295 thinned draws of parameters_subsample_brick_mengel_L29.csv) | hindcast 1850-2026 forcing ssp245harm LWS central ref (1995, 2005) | ramp: rate = -s*max(T_ant - T_crit,0), T_crit = TANT0 + amp*G_on per draw, n_fd 1, ref 1 K; stock = paleo pair binary; none = lambda 0 | IMBIE 2011-17 0.0556 +- 0.007 cm/yr; cum 1979-2023 (1.328, 0.14) | units cm/yr, Gt/yr ice-mass sign | 2026-09-22T06:28:32.381"
