year,arm,med_cm,p05_cm,p95_cm
1990,control,-0.2980943921594726,-0.38207448494869856,-0.25344477743420524
1991,control,-0.2806142826392711,-0.35420723049796776,-0.24701072939065893
1992,control,-0.2633914347395411,-0.32585087580959304,-0.23812499502365547
1993,control,-0.25592519119013085,-0.29865385610859563,-0.23004796369901342
1994,control,-0.2515948698841899,-0.2985089742677711,-0.22384565419532165
1995,control,-0.24581936278678462,-0.29714403732769745,-0.21607348084299993
1996,control,-0.23916635538822417,-0.26976036717317364,-0.2071537355394777
1997,control,-0.2215034704710661,-0.2410901786520443,-0.19761999619366155
1998,control,-0.19563137480660597,-0.21157080403154294,-0.18755899683206745
1999,control,-0.16965925663174597,-0.18163578468686947,-0.1655130215982663
2000,control,-0.1416901052064563,-0.1508515411789053,-0.13770630995137245
2001,control,-0.11380150200334116,-0.12109229128457155,-0.10967898599805559
2002,control,-0.0844579466225619,-0.09093634536582984,-0.08048076119813719
2003,control,-0.054483130373263355,-0.06025329319444239,-0.05057215395887357
2004,control,-0.02360515163740473,-0.02935699108118328,-0.019815562869709178
2005,control,0.008797832301468744,0.0021761989992334528,0.011315451685226963
2006,control,0.038976732015857996,0.033140471236240865,0.044512547196754904
2007,control,0.06952636332058981,0.06429104915424522,0.07818751099855459
2008,control,0.10023471587747479,0.09531903702630173,0.11174815073090971
2009,control,0.13180137935338565,0.12638673483022933,0.1453370298636163
2010,control,0.1626444337650501,0.15736166802590534,0.17893976710285187
2011,control,0.19428678775659458,0.18851399785869138,0.21316182884833323
2012,control,0.22741256412045335,0.22176973705289593,0.2495825039934878
2013,control,0.2596497116342312,0.2534660818965062,0.28460823988107165
2014,control,0.29278992388961034,0.2856853646981994,0.32044296649583015
2015,control,0.3262371081842892,0.31820444038780704,0.35680020017060765
2016,control,0.361026750289886,0.3513152425308175,0.3939961481828662
2017,control,0.39509245683233996,0.38434066740230866,0.43118483017090914
2018,control,0.43175039836876206,0.41883631882686845,0.47026554942271415
2019,control,0.4678090819631051,0.45298884745175516,0.5098473378592118
2020,control,0.504016170085325,0.48760716230426326,0.5503204797986351
2021,control,0.5410384060972897,0.5228687198229698,0.5917887324925565
2022,control,0.5787076492069587,0.5583735235607101,0.6338233263063121
2023,control,0.6171976767409599,0.5947304742041892,0.6772867277828521
2024,control,0.6556254939012183,0.630958707782795,0.7209782249395692
2025,control,0.6954586195232979,0.6681334369079395,0.7662133026586216
2026,control,0.7360848284610642,0.7058339823226933,0.8125025272144949
2027,control,0.7777948464218585,0.7443286654937353,0.860108771394993
2028,control,0.8199512206419066,0.7830813460549624,0.9083416355305153
2029,control,0.8624228962048315,0.822263018526318,0.9574135563535003
2030,control,0.9050282926835547,0.861972200619212,1.00719955881344
2031,control,0.948486818699193,0.9024505735695647,1.0581937292795853
2032,control,0.9924218320655738,0.9432950967096785,1.1099488141703997
2033,control,1.0369567161318678,0.9846129670833492,1.1623432800162457
2034,control,1.082040654612962,1.0259100210492824,1.2146348335952661
2035,control,1.1281839060752226,1.067970192876044,1.2683695328956694
2036,control,1.1750793272190225,1.1105607713986483,1.3232208807869812
2037,control,1.2230860442351472,1.1540083736460351,1.3795983345704022
2038,control,1.2719196277018814,1.198032563814439,1.437225317942723
2039,control,1.3217586023345358,1.2428065793709189,1.4962628449809257
2040,control,1.372598384610549,1.2884475674480644,1.5566842330221333
2041,control,1.4241343969424365,1.33467716991294,1.6181757942549246
2042,control,1.4765026360472195,1.381525497000019,1.680868460968178
2043,control,1.529836874917781,1.4291185297783782,1.7449028435088272
2044,control,1.5839454659052705,1.477227244604068,1.8101770820201715
2045,control,1.6386880158477253,1.5257155580443993,1.8765622241953714
2046,control,1.6943266951878673,1.574840649254844,1.9443175969369388
2047,control,1.7513137109077566,1.6249483967073652,2.014089273229594
2048,control,1.8098254669437182,1.6761897172182738,2.086106765456539
2049,control,1.8698818490724107,1.7285436332657833,2.1616556284159767
2050,control,1.9310437189943104,1.781654686782047,2.258897982877971
2051,control,1.9935196842080922,1.8356915288288145,2.3385739021176346
2052,control,2.05744570659048,1.8908074657434437,2.446743520341729
2053,control,2.159523514166483,1.946673499292878,3.691562573419912
2054,control,2.227887309475606,2.00305156856127,4.979148318688272
2055,control,2.29759994333305,2.0602050621190084,6.2686060956634835
2056,control,2.3690660534502186,2.118499127715162,7.560240291192607
2057,control,2.449603047438403,2.1773816848777603,8.853642558215777
2058,control,2.5232637947467493,2.237171279856348,10.149268842151413
2059,control,2.598451588755185,2.297852384677518,11.447254011862293
2060,control,2.675396127981083,2.3595872261084896,12.747948501721304
2061,control,2.811033006202608,2.4223879905872545,14.051203926064957
2062,control,2.8947538051234356,2.48620547775909,15.357089538285905
2063,control,3.104441219488959,2.5504997466026023,16.66460729943919
2064,control,3.291986439388894,2.615926680838027,17.961627018631344
2065,control,3.511684892047934,2.6822057097899368,19.182937139231814
2066,control,3.620223673790213,2.749332714546054,20.406621120831122
2067,control,3.910528106622247,2.8176715958582124,21.63336387538659
2068,control,4.070823432417839,2.8870028521391697,22.863104122942534
2069,control,5.40407745711777,2.95769374068367,24.096361176846912
2070,control,6.837516971555121,3.029567748910994,25.357474030442834
2071,control,8.207172655938352,3.1025614753941664,26.668113972568882
2072,control,9.579624325836797,3.176522264195297,27.980282887862536
2073,control,10.95487437745289,3.251701921542921,29.294133802895246
2074,control,12.33260198505772,3.327549763184839,30.609203897330524
2075,control,13.733107774343095,3.4049456429948775,31.926583390027726
2076,control,15.098431622742366,3.483566684982325,33.245756205563424
2077,control,16.48600196741412,3.582400152966729,34.56674148028179
2078,control,17.876442721744432,3.662079519692888,35.95563716475435
2079,control,19.270679684458656,3.7430096976866762,37.43836796450771
