k,rate_s,ssp585_r2300_2100,ssp585_r2300_2100_in,ssp585_r2300_2150,ssp585_r2300_2150_in,ssp585_r2300_2200,ssp585_r2300_2200_in,ssp585_r2300_2300,ssp585_r2300_2300_in,rms_ssp585_r2300,ssp585_x2300_2100,ssp585_x2300_2100_in,ssp585_x2300_2150,ssp585_x2300_2150_in,ssp585_x2300_2200,ssp585_x2300_2200_in,ssp585_x2300_2300,ssp585_x2300_2300_in,rms_ssp585_x2300,ssp126_r2300_2100,ssp126_r2300_2100_in,ssp126_r2300_2150,ssp126_r2300_2150_in,ssp126_r2300_2200,ssp126_r2300_2200_in,ssp126_r2300_2300,ssp126_r2300_2300_in,rms_ssp126_r2300,ssp126_x2300_2100,ssp126_x2300_2100_in,ssp126_x2300_2150,ssp126_x2300_2150_in,ssp126_x2300_2200,ssp126_x2300_2200_in,ssp126_x2300_2300,ssp126_x2300_2300_in,rms_ssp126_x2300,ssp245_r2300_2100,ssp245_r2300_2100_in,ssp245_r2300_2150,ssp245_r2300_2150_in,ssp245_r2300_2200,ssp245_r2300_2200_in,ssp245_r2300_2300,ssp245_r2300_2300_in,rms_ssp245_r2300,rms_log_misfit_ssp585,rms_log_misfit_cool,rms_log_misfit_all,n_in_band,n_horizons,tau_slow_yr
0.5,999.9999999999999,18.239645071883082,True,15.955600440401366,True,15.955600440401366,False,15.955600440401366,False,0.9821851347756257,18.90846037041824,False,31.095491585727316,False,39.73090729008129,False,45.83768142186551,False,0.9837680311201802,2.7109839499021153,False,2.9671616029285497,False,2.9671616029285497,False,2.967161602928548,False,1.0707429268100583,4.098895972582516,True,2.9848526254503547,False,3.227696217137754,False,3.8716697515070577,False,0.7689321588632632,6.656547280507972,True,6.551816325232619,False,6.551816325232619,False,6.551816325232619,False,0.5986100853417707,0.9829769015669417,0.8358790013155354,0.8976155404792255,4,20,0.05586274109174674
0.75,2.4683187288851265,20.593499869579066,True,24.370129663276863,True,26.090976047846148,True,27.389252263306666,False,0.5847079011316947,20.944930407038854,False,41.251572883710644,False,56.95328506705877,False,70.55956734355215,False,0.7187305236512053,5.883934747318648,True,6.935678477446455,True,7.509475684667254,True,8.10166802378392,True,0.22827501903622763,6.577846806751611,False,7.505189089376205,False,7.870263760127687,True,8.908853783218468,False,0.2625681856834608,9.384406122944998,False,11.534398228214572,True,12.52629127177072,True,13.35604258544394,True,0.1899365428252829,0.6551552851323751,0.22885761712581248,0.4506848837099559,11,20,22.63189942492169
1.0,1.015245783914344,19.74184392021907,True,28.16318134469826,True,31.97766984922962,True,35.7154294558765,True,0.4082203943911438,19.91129725541053,False,45.19137065614943,True,67.24514530063593,False,90.15244111873682,False,0.5728274337488117,6.54300098431988,True,8.431715672049059,True,9.653942924791199,True,11.171879800401067,True,0.11587726396845824,7.1792589712189425,False,9.162252705580592,False,10.160200524495266,False,11.97439563446696,False,0.3624137548797499,9.73796653825346,False,13.38415481593147,True,15.41817155490118,True,17.696937646774067,True,0.24579518876647016,0.49738071899306185,0.2615253619642525,0.37415550352860244,12,20,55.02385922605636
1.5,0.48261750615064436,20.435507346823535,True,33.38290811959124,True,40.36429320833929,True,48.11933263945237,True,0.2387082929773489,20.529304431450775,False,51.82985163742804,True,83.03304544275281,False,121.73923269336731,False,0.4322222252232252,7.4813453643298775,True,10.340775868267361,True,12.404614656207826,True,15.239675663186254,True,0.29478489208508124,8.111862238541248,False,11.209519314020913,False,13.102822871278292,False,16.17793997826325,False,0.5537845113971086,10.572417048192563,False,15.881011090905659,False,19.343968266863797,False,23.69589436708864,False,0.42138021629699984,0.3491401588997435,0.4363243076548504,0.4037163374114379,9,20,115.7495125687791
2.0,0.32007764665504035,21.139823461564443,True,36.92319931052272,True,46.57025715693112,True,57.98451339931957,True,0.18280022606305743,21.192949982290905,False,56.6216260407058,False,95.28777961958684,True,147.7055799784518,False,0.374148291263502,8.034931238434051,True,11.525248308799892,False,14.244330961861092,False,18.19690174676205,False,0.41734011844469265,8.670991391768045,False,12.481289029965026,False,15.071104449352378,False,19.274790043789856,False,0.6705065968069474,11.153845337582812,False,17.483935152257125,False,22.051694615805516,False,28.201474418839744,False,0.5355086490206984,0.2944510710662327,0.5509148101116415,0.46560160019165336,6,20,174.52871725201925
3.0,0.19235359857627538,22.020188284856516,True,41.29379571334779,True,54.894573566367214,True,72.7494280676803,True,0.21717591176557985,22.031006100507767,False,62.80848664008684,False,112.4143561478256,True,189.22835360637663,False,0.35337189497995675,8.617667998384961,False,12.847590851986348,False,16.418263611246374,False,22.10800003415936,False,0.5488750881685573,9.271874882378391,False,13.8990662186666,False,17.40596741222393,False,23.407821345500707,False,0.7968303217363454,11.800880099664417,False,19.347183963360226,False,25.38421829861209,False,34.41051669634791,False,0.6639275835319299,0.2932891685802056,0.6774959434626496,0.556603868660284,5,20,290.4169275758088
5.0,0.10729760001421015,22.783580503177344,True,45.35172436070265,True,63.56537479461046,True,90.99480300097505,True,0.31529193767729097,22.75834327625231,False,68.71636472922405,False,131.513911005959,False,243.82075679902738,True,0.3930054183303602,9.100231673647382,False,13.983438657394686,False,18.39960975222584,False,26.0725843384313,False,0.6576421858220889,9.764653150002134,False,15.115513433285084,False,19.538744825440855,False,27.659857919366736,False,0.9022199411077603,12.355396810901482,False,20.972873692906482,False,28.559829715862826,False,41.147592518785174,False,0.7756099129520336,0.35627395694979036,0.7848704359690641,0.6483713547923179,5,20,520.6336496692591
8.0,0.06457769862852925,23.268076056960282,True,47.79817933997546,True,69.31421677821976,True,105.03970186415214,True,0.3886777449689691,23.222473144602404,False,71.85404884132447,False,139.1925228738197,False,264.42369196286097,True,0.4264563498891977,9.37031849897247,False,14.640095069968535,False,19.608687515299813,False,28.679863459037698,False,0.7192711294970733,10.049356718516583,False,15.83473235730685,False,20.838788690652592,False,30.457334825305594,False,0.9625100133516816,12.670831266190588,False,21.97630461685004,False,30.514334406503963,False,45.77468832360407,False,0.8410488323965637,0.4080045390648128,0.8467860064199362,0.7048510523225249,5,20,865.0469477568831
12.0,0.042191901891231384,23.38376904422691,True,48.79527164914095,False,72.04560171187069,False,113.07687011969615,False,0.42419011670384305,23.29985103242769,False,67.5995435224539,False,120.63915882844907,False,218.43823041982887,False,0.38697459951207197,9.519435432373637,False,15.021736813503171,False,20.297244187728722,False,30.259886203543658,False,0.7535981901593607,10.207090565621362,False,16.246178203223582,False,21.59055375092666,False,32.163632863119815,False,0.9962654467523804,12.850603938915981,False,22.529458364920657,False,31.688603845115544,False,48.61509202015213,False,0.8779159684828998,0.4060089874477833,0.8815122461470122,0.7295036828006012,1,20,1324.0157143082306
14.0,0.03596294472280004,23.14939336069373,True,48.299718511877984,True,71.5319881834283,False,113.3074471458549,False,0.4181556889575203,23.047789452506557,False,62.80582803837008,False,109.12478853664635,True,197.29841435332992,False,0.3649311118404038,9.561656445439052,False,15.128821776242466,False,20.503826528665492,False,30.71581516527551,False,0.7633036051031916,10.252124262154252,False,16.3625874618267,False,21.81233401337656,False,32.66605261150156,False,1.0058834449628744,12.904563170833796,False,22.688349737334644,False,32.02502280887036,False,49.47633977647848,False,0.888536167452542,0.39244674581184374,0.8914277722255761,0.7337519084652213,3,20,1553.341683289091
22.6,0.0220032654866276,19.753503117604666,True,38.262546055082026,True,55.81909772709358,True,88.86101531275052,True,0.1952014401722386,19.490621319019095,False,44.744583290495584,True,75.26056207831249,False,137.4213446505002,False,0.3832940389489216,9.655840716803096,False,15.364442843408241,False,20.947351742151,False,31.7749044960658,False,0.7847376708366652,10.337168775642489,False,16.591701974454026,False,22.269217178607573,False,33.77210501399085,False,1.0256674442830704,12.888092780251542,False,22.722710296785788,False,32.262122769872136,False,50.57446746987982,False,0.897528995607936,0.30415285839450323,0.9079950837328931,0.7291615923495153,5,20,2538.838661382807
50.0,0.010532819590373516,11.403221983950413,True,20.571914340167417,True,29.503877587461375,True,46.7895170995781,True,0.41822640750373913,11.32917703835912,True,23.922387921646447,False,39.724237554429386,False,74.47005989506677,False,0.8086677269069878,7.958758951388047,True,12.414199035394617,False,16.82921233879499,False,25.51473385320152,False,0.576459529607071,8.19096265647314,False,12.846126991794488,False,17.291426288160928,False,26.214010872663323,False,0.7777025060184063,9.014860816614476,False,14.782882782050354,False,20.475436613687357,False,31.61310952539882,False,0.47368777278408497,0.6437611437770994,0.6222290262240696,0.6309300601020148,6,20,5303.683466314449
