component,window,n_L10,bias_L10,cover_L10,in_sample_L10,n_L11,bias_L11,cover_L11,in_sample_L11,d_bias,d_cover
ais,full,126,-0.0038,0.8492,True,126,-0.0027,0.8492,True,0.0010,0.0000
ais,1900-1919,20,0.0084,1.0000,True,20,0.0054,1.0000,True,-0.0030,0.0000
ais,1920-1949,30,-0.0112,1.0000,True,30,-0.0091,1.0000,True,0.0020,0.0000
ais,1950-1992,43,-0.0019,0.9767,True,43,0.0003,0.9767,True,0.0022,0.0000
ais,1993-2026,33,-0.0069,0.4545,True,33,-0.0059,0.4545,True,0.0009,0.0000
glaciers,full,124,-0.0035,0.6371,True,124,0.0091,0.7984,True,0.0126,0.1613
glaciers,1900-1919,20,0.1967,1.0000,True,20,0.1824,1.0000,True,-0.0143,0.0000
glaciers,1920-1949,30,-0.1253,1.0000,True,30,-0.0943,1.0000,True,0.0310,0.0000
glaciers,1950-1992,43,-0.0052,0.4186,True,43,0.0447,0.5581,True,0.0499,0.1395
glaciers,1993-2026,31,-0.0124,0.3548,True,31,-0.0521,0.8065,True,-0.0397,0.4516
gis,full,126,0.0018,0.6190,True,126,0.0047,0.5952,True,0.0028,-0.0238
gis,1900-1919,20,0.0229,0.9000,True,20,0.0289,0.9000,True,0.0060,0.0000
gis,1920-1949,30,0.0128,0.6000,True,30,0.0155,0.6000,True,0.0028,0.0000
gis,1950-1992,43,-0.0143,0.6512,True,43,-0.0119,0.6047,True,0.0023,-0.0465
gis,1993-2026,33,0.0001,0.4242,True,33,0.0017,0.3939,True,0.0016,-0.0303
te,full,126,0.2809,0.3016,True,126,0.1747,0.3095,True,-0.1062,0.0079
te,1900-1919,20,0.4181,0.3500,True,20,0.1618,0.4000,True,-0.2563,0.0500
te,1920-1949,30,0.5547,0.2000,True,30,0.3478,0.3000,True,-0.2069,0.1000
te,1950-1992,43,0.1396,0.4186,True,43,0.0280,0.3953,True,-0.1116,-0.0233
te,1993-2026,33,0.1330,0.2121,True,33,0.2163,0.1515,True,0.0833,-0.0606
total,full,125,0.2211,0.5120,True,125,0.6459,0.2400,False,0.4249,-0.2720
total,1900-1919,20,0.1458,1.0000,True,20,1.1250,0.3000,False,0.9792,-0.7000
total,1920-1949,30,0.2006,0.8000,True,30,0.9184,0.3000,False,0.7178,-0.5000
total,1950-1992,43,0.3003,0.3023,True,43,0.6170,0.0465,False,0.3167,-0.2558
total,1993-2026,32,0.1808,0.2188,True,32,0.1300,0.4062,False,-0.0507,0.1875
