scenario,year,process_p95_cm,process_max_cm,sej_median_cm,p_exceed_p95,p_exceed_max,p_deconto_exceed_p95
ssp585,2020,1.1922069787979126,1.6595872640609741,0.4973815083503723,0.185,0.075,0.0
ssp585,2030,1.9214003086090088,3.5947539806365967,0.9227079749107361,0.335,0.215,0.0
ssp585,2040,2.981788396835327,4.3101115226745605,1.8465733528137207,0.4,0.32,0.0
ssp585,2050,4.208266735076904,7.3346967697143555,3.2674999237060547,0.45,0.29,0.0
ssp585,2060,6.207671165466309,7.863614082336426,6.4208502769470215,0.51,0.43,0.0
ssp585,2070,7.834114074707031,16.062562942504883,8.829235076904297,0.53,0.315,0.02
ssp585,2080,9.94294548034668,21.63759422302246,11.54802131652832,0.525,0.325,0.32
ssp585,2090,13.457891464233398,27.04402732849121,14.098894119262695,0.515,0.335,0.56
ssp585,2100,18.264328002929688,35.01026153564453,17.99416732788086,0.495,0.3,0.705
ssp245,2020,1.1606416702270508,1.6589874029159546,0.5142117738723755,0.14,0.07,0.0
ssp245,2030,1.9511194229125977,3.6592540740966797,0.9478904008865356,0.3,0.155,0.0
ssp245,2040,3.0018560886383057,4.328611850738525,1.834930181503296,0.365,0.27,0.0
ssp245,2050,4.217267036437988,7.209796905517578,3.2029998302459717,0.43,0.25,0.0
ssp245,2060,6.377976417541504,8.20401382446289,5.229983329772949,0.44,0.37,0.0
ssp245,2070,8.134903907775879,15.98436164855957,7.465977668762207,0.49,0.255,0.0
ssp245,2080,10.275039672851562,21.693593978881836,9.07248306274414,0.48,0.255,0.125
ssp245,2090,13.66166877746582,27.34122657775879,11.335798263549805,0.47,0.265,0.225
ssp245,2100,18.981904983520508,35.534156799316406,13.709166526794434,0.42,0.245,0.275
