window,series,sigma_offset_cm,closure
1900-1930,ais,0.058424847229138266,on
1900-1930,gsic,0.23462285728941362,on
1900-1930,gis,0.15570152378802632,on
1900-1930,steric,0.21148965450707677,on
1900-1930,dang,0.5535257340015703,on
1900-1930,dang,0.4137246567379577,off
1942-1982,ais,0.021068364124807108,on
1942-1982,gsic,0.12122670078933276,on
1942-1982,gis,0.084674051618007,on
1942-1982,steric,0.12700718005042233,on
1942-1982,dang,0.30014236933149524,on
1942-1982,dang,0.25246387806295156,off
1950-1980,ais,0.023352948739206885,on
1950-1980,gsic,0.12431311031401712,on
1950-1980,gis,0.08447149617443918,on
1950-1980,steric,0.11892803971800099,on
1950-1980,dang,0.3361017542832117,on
1950-1980,dang,0.2844270019124013,off
1993-2018,ais,0.014218139298487534,on
1993-2018,gsic,0.06912856938313859,on
1993-2018,gis,0.056165594790999744,on
1993-2018,steric,0.08378766524009496,on
1993-2018,dang,0.19546297043492136,on
1993-2018,dang,0.14496220883673902,off
2000-2024,ais,0.013880862324852685,on
2000-2024,gsic,0.07184443690270227,on
2000-2024,gis,0.05535859201698132,on
2000-2024,steric,0.06972190437714927,on
2000-2024,dang,0.1848943964618573,on
2000-2024,dang,0.11434881982678512,off
