ssp,component,horizon,arm,n_draws,med_cm,mean_cm,p05_cm,p95_cm,spread_cm,spread_ratio,med_ratio,provenance
vvLN,ais,2300,joint,2000,6.29101470550071,10.35101955422439,3.7173155075750364,40.80366257117571,37.08634706360067,1.8037527864867546,0.6711075168560895,scope_slr_fair_uncertainty.jl | Ladrillo L27 | ssp vvLN | forcing raw | climate magicc | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvLN,te,2100,fixed,2000,15.290500110887393,15.278637364358357,13.58499379914597,17.00957554421215,3.424581745066181,1.0,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L27 | ssp vvLN | forcing raw | climate magicc | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvLN,te,2100,joint,2000,10.153802692568846,10.464087593446118,5.806560501417737,16.391473730022714,10.584913228604977,3.0908630649143465,0.6640595545556399,scope_slr_fair_uncertainty.jl | Ladrillo L27 | ssp vvLN | forcing raw | climate magicc | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvLN,te,2150,fixed,2000,17.149551967817377,17.136246923076826,15.236686534212362,19.07763628596269,3.840949751750328,1.0,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L27 | ssp vvLN | forcing raw | climate magicc | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvLN,te,2150,joint,2000,10.01156838323696,10.634194070174583,5.424371225551635,18.32385148016356,12.899480254611927,3.358409010358339,0.5837801711685844,scope_slr_fair_uncertainty.jl | Ladrillo L27 | ssp vvLN | forcing raw | climate magicc | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvLN,te,2300,fixed,2000,8.00620247843224,7.9999910693891705,7.113188596543356,8.906321238125193,1.7931326415818365,1.0,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L27 | ssp vvLN | forcing raw | climate magicc | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvLN,te,2300,joint,2000,-3.332372118179574,-3.477063285910549,-11.104334179855632,3.6939358897469083,14.798270069602541,8.252747022968721,-0.4162238123700455,scope_slr_fair_uncertainty.jl | Ladrillo L27 | ssp vvLN | forcing raw | climate magicc | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvLN,lws,2100,fixed,2000,2.4600000000000044,2.460000000000003,2.4600000000000044,2.4600000000000044,0.0,NaN,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L27 | ssp vvLN | forcing raw | climate magicc | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvLN,lws,2100,joint,2000,2.4600000000000044,2.460000000000003,2.4600000000000044,2.4600000000000044,0.0,NaN,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L27 | ssp vvLN | forcing raw | climate magicc | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvLN,lws,2150,fixed,2000,3.960000000000013,3.9600000000000226,3.960000000000013,3.960000000000013,0.0,NaN,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L27 | ssp vvLN | forcing raw | climate magicc | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvLN,lws,2150,joint,2000,3.960000000000013,3.9600000000000226,3.960000000000013,3.960000000000013,0.0,NaN,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L27 | ssp vvLN | forcing raw | climate magicc | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvLN,lws,2300,fixed,2000,8.459999999999987,8.460000000000004,8.459999999999987,8.459999999999987,0.0,NaN,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L27 | ssp vvLN | forcing raw | climate magicc | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvLN,lws,2300,joint,2000,8.459999999999987,8.460000000000004,8.459999999999987,8.459999999999987,0.0,NaN,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L27 | ssp vvLN | forcing raw | climate magicc | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvLN,total,2100,fixed,2000,37.16162763126022,39.126655160727545,34.453787536131976,56.623765399419675,22.1699778632877,1.0,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L27 | ssp vvLN | forcing raw | climate magicc | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvLN,total,2100,joint,2000,30.520608711253754,34.886178945761976,24.40744571903719,68.9705436149165,44.5630978958793,2.010065060537269,0.821293647686732,scope_slr_fair_uncertainty.jl | Ladrillo L27 | ssp vvLN | forcing raw | climate magicc | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvLN,total,2150,fixed,2000,45.9176440415406,48.012763878758875,42.364322467035095,65.4713528045697,23.10703033753461,1.0,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L27 | ssp vvLN | forcing raw | climate magicc | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvLN,total,2150,joint,2000,35.36155596453379,40.52981324770722,28.189264627365166,76.02158670655942,47.832322079194256,2.07003329205382,0.7701082384048937,scope_slr_fair_uncertainty.jl | Ladrillo L27 | ssp vvLN | forcing raw | climate magicc | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvLN,total,2300,fixed,2000,43.222385533126285,45.20614162915185,39.49701864407019,62.20792594100366,22.71090729693347,1.0,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L27 | ssp vvLN | forcing raw | climate magicc | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvLN,total,2300,joint,2000,23.32720956265468,26.98041503699083,12.942659314708726,58.02576590205528,45.08310658734655,1.9850861085340203,0.5397020380741446,scope_slr_fair_uncertainty.jl | Ladrillo L27 | ssp vvLN | forcing raw | climate magicc | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
