block,ssp,horizon,quantity,value,unit,note
1,ssp126,2100,r19_share_of_our_glaciers,0.07014736193764311,fraction,"glaciers 7.92 cm, r19 0.56 cm; observed-era share 0.0654 => 1.07x"
1,ssp126,2150,r19_share_of_our_glaciers,0.08095669326767992,fraction,"glaciers 9.74 cm, r19 0.79 cm; observed-era share 0.0654 => 1.24x"
1,ssp126,2300,r19_share_of_our_glaciers,0.09911501983975411,fraction,"glaciers 12.39 cm, r19 1.23 cm; observed-era share 0.0654 => 1.52x"
1,ssp245,2100,r19_share_of_our_glaciers,0.08084202380216485,fraction,"glaciers 9.99 cm, r19 0.81 cm; observed-era share 0.0654 => 1.24x"
1,ssp245,2150,r19_share_of_our_glaciers,0.10171900196883281,fraction,"glaciers 13.95 cm, r19 1.42 cm; observed-era share 0.0654 => 1.56x"
1,ssp245,2300,r19_share_of_our_glaciers,0.13922754699099477,fraction,"glaciers 19.08 cm, r19 2.66 cm; observed-era share 0.0654 => 2.13x"
1,ssp585,2100,r19_share_of_our_glaciers,0.09775319990487734,fraction,"glaciers 14.29 cm, r19 1.40 cm; observed-era share 0.0654 => 1.49x"
1,ssp585,2150,r19_share_of_our_glaciers,0.1406674838745574,fraction,"glaciers 21.97 cm, r19 3.09 cm; observed-era share 0.0654 => 2.15x"
1,ssp585,2300,r19_share_of_our_glaciers,0.19023594065700386,fraction,"glaciers 27.62 cm, r19 5.25 cm; observed-era share 0.0654 => 2.91x"
2,ssp126,2100,scope_free_sum_vs_FACTS/AR5,0.8327221042019359,x,ours (glac-r19 7.36 + gis 6.48) = 13.84 cm vs FACTS/AR5 (8.95 + 7.67) = 16.62; glaciers alone 0.885x
2,ssp126,2100,scope_free_sum_vs_FACTS/emu,0.94144526625799,x,ours (glac-r19 7.36 + gis 6.48) = 13.84 cm vs FACTS/emu (9.25 + 5.46) = 14.70; glaciers alone 0.856x
2,ssp126,2100,scope_free_sum_vs_MAGICC,0.8214242401838545,x,ours (glac-r19 7.36 + gis 6.48) = 13.84 cm vs MAGICC (10.45 + 6.40) = 16.85; glaciers alone 0.758x
2,ssp245,2100,scope_free_sum_vs_FACTS/AR5,0.8175147755444658,x,ours (glac-r19 9.18 + gis 8.46) = 17.64 cm vs FACTS/AR5 (11.38 + 10.21) = 21.58; glaciers alone 0.878x
2,ssp245,2100,scope_free_sum_vs_FACTS/emu,0.8743183099418649,x,ours (glac-r19 9.18 + gis 8.46) = 17.64 cm vs FACTS/emu (12.21 + 7.97) = 20.18; glaciers alone 0.818x
2,ssp245,2100,scope_free_sum_vs_MAGICC,0.8086516249029266,x,ours (glac-r19 9.18 + gis 8.46) = 17.64 cm vs MAGICC (12.54 + 9.28) = 21.82; glaciers alone 0.797x
