ssp,component,horizon,arm,n_draws,med_cm,mean_cm,p05_cm,p95_cm,spread_cm,spread_ratio,med_ratio,provenance
ssp245,glaciers,2100,fixed,2000,9.934571446042423,9.97096454118637,8.603365891429739,11.430532893793087,2.827167002363348,1.0,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L28 | ssp ssp245 | forcing spliced | climate magicc | lws observed (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
ssp245,glaciers,2100,joint,2000,9.86371476583744,10.091988314232283,7.73178212444572,13.318406063540815,5.5866239390950945,1.9760502065937386,0.99286766615049,scope_slr_fair_uncertainty.jl | Ladrillo L28 | ssp ssp245 | forcing spliced | climate magicc | lws observed (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
ssp245,glaciers,2150,fixed,2000,13.809260482931318,13.84367295935515,11.712225286409573,16.102950050427623,4.390724764018049,1.0,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L28 | ssp ssp245 | forcing spliced | climate magicc | lws observed (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
ssp245,glaciers,2150,joint,2000,13.391768908446025,13.697658596656984,10.180992964363732,18.39203837381966,8.211045409455927,1.8700888465488368,0.9697672750107563,scope_slr_fair_uncertainty.jl | Ladrillo L28 | ssp ssp245 | forcing spliced | climate magicc | lws observed (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
ssp245,glaciers,2300,fixed,2000,18.827412422341997,18.863607168820597,15.59769460923968,22.32800531737233,6.7303107081326505,1.0,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L28 | ssp ssp245 | forcing spliced | climate magicc | lws observed (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
ssp245,glaciers,2300,joint,2000,17.963359575190275,18.241950641244678,13.230774784096527,24.483541701208164,11.252766917111638,1.671953555355806,0.9541066595998942,scope_slr_fair_uncertainty.jl | Ladrillo L28 | ssp ssp245 | forcing spliced | climate magicc | lws observed (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
ssp245,gis,2100,fixed,2000,7.44541766051713,7.456278335323393,5.940975837295788,8.964355526819304,3.023379689523516,1.0,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L28 | ssp ssp245 | forcing spliced | climate magicc | lws observed (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
ssp245,gis,2100,joint,2000,7.432536874107553,7.618888868097078,5.623611583280557,10.31212218474629,4.688510601465733,1.550751504256034,0.9982699712767111,scope_slr_fair_uncertainty.jl | Ladrillo L28 | ssp ssp245 | forcing spliced | climate magicc | lws observed (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
ssp245,gis,2150,fixed,2000,11.433698619133157,11.516234993138982,8.670347241156321,14.357572924229105,5.687225683072784,1.0,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L28 | ssp ssp245 | forcing spliced | climate magicc | lws observed (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
ssp245,gis,2150,joint,2000,11.170358593843279,11.691768396355064,7.942720052444977,17.324427605830117,9.38170755338514,1.6496105616677839,0.976968080578125,scope_slr_fair_uncertainty.jl | Ladrillo L28 | ssp ssp245 | forcing spliced | climate magicc | lws observed (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
ssp245,gis,2300,fixed,2000,19.01164783569898,19.195726863778212,13.12747451506155,25.974673998477417,12.847199483415867,1.0,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L28 | ssp ssp245 | forcing spliced | climate magicc | lws observed (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
