tag,ssp,horizon,n,med,p83,p90,p95,gap_cm,share_above_gap_pct,provenance
L27,ssp126,2100,2000,5.072067928909379,6.0148379528624165,7.197950096060913,36.17526648131686,15.0,8.85,"diag_ais_tipped_share.jl | tag L27 (parameters_subsample_brick_mengel_L27.csv, 2000 evenly thinned draws) | fixed-driver arm (fair_mean_gmst, 1850-2300, LWS observed) | gap = AIS@2100 > 15.0 cm | cm relative to (1995, 2014) | 2026-09-22T00:52:41.233"
L27,ssp126,2300,2000,16.168553994241833,19.184793632130933,21.825010265271864,65.38081983704471,15.0,8.85,"diag_ais_tipped_share.jl | tag L27 (parameters_subsample_brick_mengel_L27.csv, 2000 evenly thinned draws) | fixed-driver arm (fair_mean_gmst, 1850-2300, LWS observed) | gap = AIS@2100 > 15.0 cm | cm relative to (1995, 2014) | 2026-09-22T00:52:41.233"
L27,ssp245,2100,2000,12.571044089628405,37.10347060191867,44.48293449386187,52.108958975893046,15.0,47.25,"diag_ais_tipped_share.jl | tag L27 (parameters_subsample_brick_mengel_L27.csv, 2000 evenly thinned draws) | fixed-driver arm (fair_mean_gmst, 1850-2300, LWS observed) | gap = AIS@2100 > 15.0 cm | cm relative to (1995, 2014) | 2026-09-22T00:52:41.233"
L27,ssp245,2300,2000,178.11968788418605,252.84132847418118,281.5168517313784,320.24272064200244,15.0,47.25,"diag_ais_tipped_share.jl | tag L27 (parameters_subsample_brick_mengel_L27.csv, 2000 evenly thinned draws) | fixed-driver arm (fair_mean_gmst, 1850-2300, LWS observed) | gap = AIS@2100 > 15.0 cm | cm relative to (1995, 2014) | 2026-09-22T00:52:41.233"
L28,ssp126,2100,2000,5.23306267562055,6.522537976098231,7.215781301444424,30.277187729897754,15.0,7.6,"diag_ais_tipped_share.jl | tag L28 (parameters_subsample_brick_mengel_L28.csv, 2000 evenly thinned draws) | fixed-driver arm (fair_mean_gmst, 1850-2300, LWS observed) | gap = AIS@2100 > 15.0 cm | cm relative to (1995, 2014) | 2026-09-22T00:53:31.353"
L28,ssp126,2300,2000,16.353626668228586,20.599951132821037,22.735161101632936,50.436665367928235,15.0,7.6,"diag_ais_tipped_share.jl | tag L28 (parameters_subsample_brick_mengel_L28.csv, 2000 evenly thinned draws) | fixed-driver arm (fair_mean_gmst, 1850-2300, LWS observed) | gap = AIS@2100 > 15.0 cm | cm relative to (1995, 2014) | 2026-09-22T00:53:31.353"
L28,ssp245,2100,2000,8.054400962811858,34.048672098543975,41.15921674593802,49.119666754711716,15.0,41.6,"diag_ais_tipped_share.jl | tag L28 (parameters_subsample_brick_mengel_L28.csv, 2000 evenly thinned draws) | fixed-driver arm (fair_mean_gmst, 1850-2300, LWS observed) | gap = AIS@2100 > 15.0 cm | cm relative to (1995, 2014) | 2026-09-22T00:53:31.353"
L28,ssp245,2300,2000,165.66765257826552,244.19249754499262,271.6663803601601,309.3929285780658,15.0,41.6,"diag_ais_tipped_share.jl | tag L28 (parameters_subsample_brick_mengel_L28.csv, 2000 evenly thinned draws) | fixed-driver arm (fair_mean_gmst, 1850-2300, LWS observed) | gap = AIS@2100 > 15.0 cm | cm relative to (1995, 2014) | 2026-09-22T00:53:31.353"
L29,ssp126,2100,2000,5.69616713236057,6.92108883405988,7.459127938458594,17.038495874289122,15.0,5.25,"diag_ais_tipped_share.jl | tag L29 (parameters_subsample_brick_mengel_L29.csv, 2000 evenly thinned draws) | fixed-driver arm (fair_mean_gmst, 1850-2300, LWS observed) | gap = AIS@2100 > 15.0 cm | cm relative to (1995, 2014) | 2026-09-22T00:54:08.941"
L29,ssp126,2300,2000,17.821921215978342,21.917439044855474,23.67531631608575,30.515256771860834,15.0,5.25,"diag_ais_tipped_share.jl | tag L29 (parameters_subsample_brick_mengel_L29.csv, 2000 evenly thinned draws) | fixed-driver arm (fair_mean_gmst, 1850-2300, LWS observed) | gap = AIS@2100 > 15.0 cm | cm relative to (1995, 2014) | 2026-09-22T00:54:08.941"
L29,ssp245,2100,2000,8.49780964497926,33.76431384981619,38.781592042548205,46.056558867396355,15.0,40.4,"diag_ais_tipped_share.jl | tag L29 (parameters_subsample_brick_mengel_L29.csv, 2000 evenly thinned draws) | fixed-driver arm (fair_mean_gmst, 1850-2300, LWS observed) | gap = AIS@2100 > 15.0 cm | cm relative to (1995, 2014) | 2026-09-22T00:54:08.941"
L29,ssp245,2300,2000,167.56163062147522,243.13683100376707,270.7236469506298,301.7803823592174,15.0,40.4,"diag_ais_tipped_share.jl | tag L29 (parameters_subsample_brick_mengel_L29.csv, 2000 evenly thinned draws) | fixed-driver arm (fair_mean_gmst, 1850-2300, LWS observed) | gap = AIS@2100 > 15.0 cm | cm relative to (1995, 2014) | 2026-09-22T00:54:08.941"
