ssp,label,family,year,gmst_theirs,gmst_theirs_11yr,gmst_ours,gmst_ours_11yr,n_runs,weights
ssp126,SSP1-2.6,r2300,1850,-0.12928035356375744,-0.04556645501980464,-0.0131368039892604,0.0055228569901572,10,CESM2:5|MPI-ESM1-2-HR:5
ssp126,SSP1-2.6,r2300,1851,-0.09499272406881687,-0.045385994941881336,-0.0019770789135537,0.0016242686136347423,10,CESM2:5|MPI-ESM1-2-HR:5
ssp126,SSP1-2.6,r2300,1852,0.041419838291943734,-0.050160138816000455,0.0091486069850741,-0.0028226030898911257,10,CESM2:5|MPI-ESM1-2-HR:5
ssp126,SSP1-2.6,r2300,1853,0.08528225041493442,-0.042281473225642685,0.0120274773892785,-0.0052979202880198565,10,CESM2:5|MPI-ESM1-2-HR:5
ssp126,SSP1-2.6,r2300,1854,-0.1100334031570469,-0.038763930127993264,0.0176731976279545,-0.005548904554362631,10,CESM2:5|MPI-ESM1-2-HR:5
ssp126,SSP1-2.6,r2300,1855,-0.06579433803608481,-0.05036554128522074,0.0094017428414502,-0.004817828855441291,10,CESM2:5|MPI-ESM1-2-HR:5
ssp126,SSP1-2.6,r2300,1856,-0.04430323447434148,-0.04335469796796267,-0.0217672616455,-0.002385455692232228,10,CESM2:5|MPI-ESM1-2-HR:5
ssp126,SSP1-2.6,r2300,1857,-0.08357914593483429,-0.05778112531361175,-0.0339507050145722,-0.0014663212374123097,10,CESM2:5|MPI-ESM1-2-HR:5
ssp126,SSP1-2.6,r2300,1858,0.02074785149721947,-0.07854274527476884,-0.0251004578730497,-0.0022238606946525376,10,CESM2:5|MPI-ESM1-2-HR:5
ssp126,SSP1-2.6,r2300,1859,-0.007106042249148459,-0.09230591678691398,-0.0078077629514476,-0.008321360927019218,10,CESM2:5|MPI-ESM1-2-HR:5
ssp126,SSP1-2.6,r2300,1860,-0.1663816528574955,-0.08326913033038284,0.0024929281337721,-0.016337455024886437,10,CESM2:5|MPI-ESM1-2-HR:5
ssp126,SSP1-2.6,r2300,1861,-0.052161077073918705,-0.08075908577987176,0.0136193008060393,-0.02119429367114211,10,CESM2:5|MPI-ESM1-2-HR:5
ssp126,SSP1-2.6,r2300,1862,-0.25368342487095674,-0.07923070113007859,0.0081334000894654,-0.021242392657220173,10,CESM2:5|MPI-ESM1-2-HR:5
ssp126,SSP1-2.6,r2300,1863,-0.18695798128078422,-0.0635111364581953,0.0008156729554316,-0.019125491703746483,10,CESM2:5|MPI-ESM1-2-HR:5
ssp126,SSP1-2.6,r2300,1864,-0.06611263621866215,-0.06159826910669091,-0.055045025166755,-0.017191757917004863,10,CESM2:5|MPI-ESM1-2-HR:5
ssp126,SSP1-2.6,r2300,1865,-0.010628752135204422,-0.0576899237464762,-0.0705038374485849,-0.015398667365704272,10,CESM2:5|MPI-ESM1-2-HR:5
