arm,ssp,component,year,med_cm,delta_vs_base_cm
BASE_L10,SSP1-2.6,glaciers,2100,9.027791227421515,0.0
BASE_L10,SSP1-2.6,glaciers,2300,14.151024117010719,0.0
BASE_L10,SSP1-2.6,total,2100,35.3519903720338,0.0
BASE_L10,SSP1-2.6,total,2300,66.37204482665571,0.0
BASE_L10,SSP2-4.5,glaciers,2100,11.033786562061938,0.0
BASE_L10,SSP2-4.5,glaciers,2300,20.11383933987461,0.0
BASE_L10,SSP2-4.5,total,2100,45.014836279534805,0.0
BASE_L10,SSP2-4.5,total,2300,223.30917922972,0.0
BASE_L10,SSP5-8.5,glaciers,2100,15.168175436053893,0.0
BASE_L10,SSP5-8.5,glaciers,2300,27.259811228898016,0.0
BASE_L10,SSP5-8.5,total,2100,93.89402393072926,0.0
BASE_L10,SSP5-8.5,total,2300,461.4946909679279,0.0
D1_Toff_only,SSP1-2.6,glaciers,2100,8.683495001722775,-0.34429622569873963
D1_Toff_only,SSP1-2.6,glaciers,2300,14.081917575152879,-0.06910654185784004
D1_Toff_only,SSP1-2.6,total,2100,35.04663849495232,-0.3053518770814776
D1_Toff_only,SSP1-2.6,total,2300,66.13282211368492,-0.23922271297078623
D1_Toff_only,SSP2-4.5,glaciers,2100,10.800693432686858,-0.23309312937507976
D1_Toff_only,SSP2-4.5,glaciers,2300,20.88657538461857,0.7727360447439615
D1_Toff_only,SSP2-4.5,total,2100,44.76947857833072,-0.2453577012040853
D1_Toff_only,SSP2-4.5,total,2300,224.55788492316952,1.2487056934495229
D1_Toff_only,SSP5-8.5,glaciers,2100,15.1902188913598,0.02204345530590679
D1_Toff_only,SSP5-8.5,glaciers,2300,28.696415200220883,1.4366039713228673
D1_Toff_only,SSP5-8.5,total,2100,93.85465573769395,-0.03936819303531536
D1_Toff_only,SSP5-8.5,total,2300,463.68441550225907,2.1897245343311624
D1_whole_R19,SSP1-2.6,glaciers,2100,8.617991906514174,-0.40979932090734117
D1_whole_R19,SSP1-2.6,glaciers,2300,13.868865062074548,-0.2821590549361712
D1_whole_R19,SSP1-2.6,total,2100,34.91153106494929,-0.44045930708450953
D1_whole_R19,SSP1-2.6,total,2300,66.0036426889771,-0.36840213767861485
D1_whole_R19,SSP2-4.5,glaciers,2100,10.780145133829155,-0.2536414282327826
D1_whole_R19,SSP2-4.5,glaciers,2300,20.730230808746626,0.6163914688720169
D1_whole_R19,SSP2-4.5,total,2100,44.67643682322646,-0.3383994563083448
D1_whole_R19,SSP2-4.5,total,2300,224.43101637816926,1.1218371484492593
D1_whole_R19,SSP5-8.5,glaciers,2100,15.23314714554475,0.06497170949085707
D1_whole_R19,SSP5-8.5,glaciers,2300,28.932056242101645,1.6722450132036286
D1_whole_R19,SSP5-8.5,total,2100,93.975379961434,0.08135603070473962
D1_whole_R19,SSP5-8.5,total,2300,462.15039871237434,0.6557077444464312
