component,n_years,coverage_param,coverage_pred,mean_bias,in_sample
ais,126,0.8492063492063492,0.9603174603174603,-0.07407596305727565,true
glaciers,124,0.6935483870967742,1.0,0.05782398462878608,true
gis,126,0.3412698412698413,0.9206349206349206,-0.1429872598995727,true
te,126,0.3888888888888889,0.9603174603174603,0.27166506700997345,true
total,125,0.808,NaN,0.19874480710391412,false
