name,index,comp,mu,sigma,lo,hi,prior_form,note,provenance,p05,p50,p95,mean,description,units
gic_a_R19,16,glaciers_small_icecaps,0.069,0.018,0.01,0.141,"N(mu, sigma) on [lo, hi]",,ladrillo_prior_posterior_table.py | tag L33 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L33) | posterior parameters_subsample_brick_mengel_L33.csv n=10000 | quantiles 5/50/95 over all draws | commit 4b2edff | 2026-09-23 15:14,0.039041271580677335,0.0677452367775985,0.09625923543008494,0.06764519541595061,"Committed-loss scale a, RGI 19",m SLE
gic_b_R19,17,glaciers_small_icecaps,0.768973947986,10.0,0.05,3.0,"flat on [lo, hi]",sigma = 10.0 in the code = bounds-only; mu is the start point,ladrillo_prior_posterior_table.py | tag L33 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L33) | posterior parameters_subsample_brick_mengel_L33.csv n=10000 | quantiles 5/50/95 over all draws | commit 4b2edff | 2026-09-23 15:14,0.19525805764359602,0.7177567983691782,2.4263295678283203,0.9306695742145134,"Equilibrium temperature sensitivity b, RGI 19",K⁻¹ (glacier frame)
gic_T_off_R19,18,glaciers_small_icecaps,0.162195920935,10.0,-4.0,1.0,"flat on [lo, hi]",sigma = 10.0 in the code = bounds-only; mu is the start point,ladrillo_prior_posterior_table.py | tag L33 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L33) | posterior parameters_subsample_brick_mengel_L33.csv n=10000 | quantiles 5/50/95 over all draws | commit 4b2edff | 2026-09-23 15:14,-3.0454402120101065,-0.12768916578044875,0.7152472953214125,-0.5051607780238212,"Equilibrium temperature offset T_off, RGI 19","K rel. 1850–1900, glacier frame"
gic_log10_kappa_R19,19,glaciers_small_icecaps,-2.7735015084073384,0.114,-3.906900780980522,-1.6567771449058029,"N(k10c(gic_amp_R19), 0.114) on [lo, hi] -- centre is a log-linear function of the sampled amp",tau50-as-prior; at the amp prior mean the centre is -2.774,ladrillo_prior_posterior_table.py | tag L33 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L33) | posterior parameters_subsample_brick_mengel_L33.csv n=10000 | quantiles 5/50/95 over all draws | commit 4b2edff | 2026-09-23 15:14,-3.003937259316816,-2.782452250783421,-2.567016553059873,-2.783652937241389,"log₁₀ of the response-rate constant κ, RGI 19",log₁₀(yr⁻¹ K⁻ν)
gic_a_SLOWP,20,glaciers_small_icecaps,0.145920024267,0.0327892146787,0.0332566214715,0.2770768829818,"N(mu, sigma) on [lo, hi]",,ladrillo_prior_posterior_table.py | tag L33 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L33) | posterior parameters_subsample_brick_mengel_L33.csv n=10000 | quantiles 5/50/95 over all draws | commit 4b2edff | 2026-09-23 15:14,0.08997602613708428,0.1315015774266815,0.1762813173171295,0.13224284575933198,"Committed-loss scale a, SLOWG",m SLE
gic_b_SLOWP,21,glaciers_small_icecaps,0.269493082055,10.0,0.05,3.0,"flat on [lo, hi]",sigma = 10.0 in the code = bounds-only; mu is the start point,ladrillo_prior_posterior_table.py | tag L33 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L33) | posterior parameters_subsample_brick_mengel_L33.csv n=10000 | quantiles 5/50/95 over all draws | commit 4b2edff | 2026-09-23 15:14,0.11528172039920284,0.17375125980099684,0.2955551394166861,0.18586218576517302,"Equilibrium temperature sensitivity b, SLOWG",K⁻¹ (glacier frame)
gic_T_off_SLOWP,22,glaciers_small_icecaps,0.342896725929,10.0,-4.0,1.0,"flat on [lo, hi]",sigma = 10.0 in the code = bounds-only; mu is the start point,ladrillo_prior_posterior_table.py | tag L33 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L33) | posterior parameters_subsample_brick_mengel_L33.csv n=10000 | quantiles 5/50/95 over all draws | commit 4b2edff | 2026-09-23 15:14,-3.8728165993958172,-2.7150672272654157,-0.9197195311585057,-2.6082510825124796,"Equilibrium temperature offset T_off, SLOWG","K rel. 1850–1900, glacier frame"
gic_log10_kappa_SLOWP,23,glaciers_small_icecaps,-3.4077329224195196,0.114,-4.748442048628195,-2.1692365340734474,"N(k10c(gic_amp_SLOWP), 0.114) on [lo, hi] -- centre is a log-linear function of the sampled amp",tau50-as-prior; at the amp prior mean the centre is -3.408,ladrillo_prior_posterior_table.py | tag L33 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L33) | posterior parameters_subsample_brick_mengel_L33.csv n=10000 | quantiles 5/50/95 over all draws | commit 4b2edff | 2026-09-23 15:14,-3.687362944467333,-3.4808990188705957,-3.2571692411889077,-3.47825464913165,"log₁₀ of the response-rate constant κ, SLOWG",log₁₀(yr⁻¹ K⁻ν)
gic_a_FAST,24,glaciers_small_icecaps,0.139935475733,0.0242107853213,0.08091770565225,0.2367786170182,"N(mu, sigma) on [lo, hi]",,ladrillo_prior_posterior_table.py | tag L33 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L33) | posterior parameters_subsample_brick_mengel_L33.csv n=10000 | quantiles 5/50/95 over all draws | commit 4b2edff | 2026-09-23 15:14,0.12088282193036251,0.1509633534508012,0.1822164783012959,0.1511925675399356,"Committed-loss scale a, FASTG",m SLE
gic_b_FAST,25,glaciers_small_icecaps,0.368982026346,10.0,0.05,3.0,"flat on [lo, hi]",sigma = 10.0 in the code = bounds-only; mu is the start point,ladrillo_prior_posterior_table.py | tag L33 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L33) | posterior parameters_subsample_brick_mengel_L33.csv n=10000 | quantiles 5/50/95 over all draws | commit 4b2edff | 2026-09-23 15:14,0.25028430482226727,0.3334706562106322,0.4577046212310739,0.3409363417544354,"Equilibrium temperature sensitivity b, FASTG",K⁻¹ (glacier frame)
gic_T_off_FAST,26,glaciers_small_icecaps,-1.21396297595,10.0,-4.0,1.0,"flat on [lo, hi]",sigma = 10.0 in the code = bounds-only; mu is the start point,ladrillo_prior_posterior_table.py | tag L33 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L33) | posterior parameters_subsample_brick_mengel_L33.csv n=10000 | quantiles 5/50/95 over all draws | commit 4b2edff | 2026-09-23 15:14,-2.194204321871827,-1.5315999834086056,-0.9305444614875324,-1.543780944503925,"Equilibrium temperature offset T_off, FASTG","K rel. 1850–1900, glacier frame"
gic_log10_kappa_FAST,27,glaciers_small_icecaps,-2.583191353176445,0.114,-3.774659554587068,-1.5210935581243517,"N(k10c(gic_amp_FAST), 0.114) on [lo, hi] -- centre is a log-linear function of the sampled amp",tau50-as-prior; at the amp prior mean the centre is -2.583,ladrillo_prior_posterior_table.py | tag L33 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L33) | posterior parameters_subsample_brick_mengel_L33.csv n=10000 | quantiles 5/50/95 over all draws | commit 4b2edff | 2026-09-23 15:14,-2.761547112693865,-2.6083499989426766,-2.456929269897148,-2.609209473700129,"log₁₀ of the response-rate constant κ, FASTG",log₁₀(yr⁻¹ K⁻ν)
gic_amp_R19,28,likelihood_only,0.72,0.15,0.58,0.88,"N(mu, sigma) on [lo, hi]",,ladrillo_prior_posterior_table.py | tag L33 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L33) | posterior parameters_subsample_brick_mengel_L33.csv n=10000 | quantiles 5/50/95 over all draws | commit 4b2edff | 2026-09-23 15:14,0.5998961438677878,0.7270421288739313,0.8581093932135048,0.7286208079485632,"Regional/global warming ratio, RGI 19",–
gic_amp_SLOWP,29,likelihood_only,2.5,0.45,1.8,3.5,"N(mu, sigma) on [lo, hi]",,ladrillo_prior_posterior_table.py | tag L33 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L33) | posterior parameters_subsample_brick_mengel_L33.csv n=10000 | quantiles 5/50/95 over all draws | commit 4b2edff | 2026-09-23 15:14,2.073534625033516,2.6285388300554358,3.2038137924880328,2.632944473589346,"Regional/global warming ratio, SLOWG",–
gic_amp_FAST,30,likelihood_only,1.45,0.15,1.33,1.82,"N(mu, sigma) on [lo, hi]",,ladrillo_prior_posterior_table.py | tag L33 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L33) | posterior parameters_subsample_brick_mengel_L33.csv n=10000 | quantiles 5/50/95 over all draws | commit 4b2edff | 2026-09-23 15:14,1.346247685158763,1.4690762571962286,1.6609607853420882,1.481175413733913,"Regional/global warming ratio, FASTG",–
gic_u_unch,31,likelihood_only,28.15,1000.0,14.5,41.8,"flat on [lo, hi]",sigma = 1000.0 in the code = bounds-only; mu is the start point,ladrillo_prior_posterior_table.py | tag L33 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L33) | posterior parameters_subsample_brick_mengel_L33.csv n=10000 | quantiles 5/50/95 over all draws | commit 4b2edff | 2026-09-23 15:14,20.865080666161344,33.36208393258124,40.834270343381355,32.463297557021164,Uncharted-ice content of the Frederikse glacier target,mm SLE
d2_steric_1,32,likelihood_only,0.0,0.5,-2.5,2.5,"N(mu, sigma) on [lo, hi]",,ladrillo_prior_posterior_table.py | tag L33 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L33) | posterior parameters_subsample_brick_mengel_L33.csv n=10000 | quantiles 5/50/95 over all draws | commit 4b2edff | 2026-09-23 15:14,0.0006593572769410139,0.20953075450161884,0.39327819631927713,0.20511397726556815,"Thermal-expansion discrepancy, basis coefficient 1",cm (RMS)
d2_steric_2,33,likelihood_only,0.0,0.5,-2.5,2.5,"N(mu, sigma) on [lo, hi]",,ladrillo_prior_posterior_table.py | tag L33 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L33) | posterior parameters_subsample_brick_mengel_L33.csv n=10000 | quantiles 5/50/95 over all draws | commit 4b2edff | 2026-09-23 15:14,-0.048773263836531425,0.06978652541243635,0.19860859949060358,0.07169210923107379,"Thermal-expansion discrepancy, basis coefficient 2",cm (RMS)
antarctic_kappa,34,antarctic_icesheet,0.05877084,0.016584998,0.025000414,0.084999464,"N(mu, sigma) on [lo, hi]",,ladrillo_prior_posterior_table.py | tag L33 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L33) | posterior parameters_subsample_brick_mengel_L33.csv n=10000 | quantiles 5/50/95 over all draws | commit 4b2edff | 2026-09-23 15:14,0.031768500268602,0.053751695621165,0.07615211694754984,0.05389093431084715,Exponential dependence of precipitation on Antarctic temperature κ_DAIS,°C⁻¹
ais_gmst_amp,35,antarctic_icesheet,1.09,0.18,0.55,1.63,"N(mu, sigma) on [lo, hi]",,ladrillo_prior_posterior_table.py | tag L33 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L33) | posterior parameters_subsample_brick_mengel_L33.csv n=10000 | quantiles 5/50/95 over all draws | commit 4b2edff | 2026-09-23 15:14,0.7778221091511585,1.0664727196445654,1.355844455061765,1.0662884902882983,Antarctic/global warming ratio,–
ais_mu,36,antarctic_icesheet,10.803983219053745,1.8146745536450215,7.050094127655029,13.64998722076416,"joint paleo MvNormal (standardised, corr from paleo_geo_prior_ton.csv); marginal N(mu, sigma) on [lo, hi]","DAIS geometry; ais_precip0_LOG is log-space; ais_runoff_Ton = -h0/c, h0 reconstructed per draw",ladrillo_prior_posterior_table.py | tag L33 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L33) | posterior parameters_subsample_brick_mengel_L33.csv n=10000 | quantiles 5/50/95 over all draws | commit 4b2edff | 2026-09-23 15:14,8.34895809950961,10.891518455697696,13.10636469403638,10.832622872659156,Profile parameter µ,m¹ᐟ²
ais_bedheight0,37,antarctic_icesheet,780.0119260199738,22.981432678137423,740.0018920898438,819.9996337890625,"joint paleo MvNormal (standardised, corr from paleo_geo_prior_ton.csv); marginal N(mu, sigma) on [lo, hi]","DAIS geometry; ais_precip0_LOG is log-space; ais_runoff_Ton = -h0/c, h0 reconstructed per draw",ladrillo_prior_posterior_table.py | tag L33 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L33) | posterior parameters_subsample_brick_mengel_L33.csv n=10000 | quantiles 5/50/95 over all draws | commit 4b2edff | 2026-09-23 15:14,749.395193837737,780.7766985759788,811.7535360584369,780.5309548200873,Bed height at the continent centre b₀,m
ais_slope,38,antarctic_icesheet,0.0006282574195086,6.241869534698466e-05,0.0004504189419094,0.000749991624616,"joint paleo MvNormal (standardised, corr from paleo_geo_prior_ton.csv); marginal N(mu, sigma) on [lo, hi]","DAIS geometry; ais_precip0_LOG is log-space; ais_runoff_Ton = -h0/c, h0 reconstructed per draw",ladrillo_prior_posterior_table.py | tag L33 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L33) | posterior parameters_subsample_brick_mengel_L33.csv n=10000 | quantiles 5/50/95 over all draws | commit 4b2edff | 2026-09-23 15:14,0.0005720958089215199,0.0006130698121951,0.00066215746331664,0.0006146980576941034,Bed slope,–
ais_iceflow0,39,antarctic_icesheet,1.236704511362016,0.3409994913939713,0.6000201106071472,1.7999885082244873,"joint paleo MvNormal (standardised, corr from paleo_geo_prior_ton.csv); marginal N(mu, sigma) on [lo, hi]","DAIS geometry; ais_precip0_LOG is log-space; ais_runoff_Ton = -h0/c, h0 reconstructed per draw",ladrillo_prior_posterior_table.py | tag L33 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L33) | posterior parameters_subsample_brick_mengel_L33.csv n=10000 | quantiles 5/50/95 over all draws | commit 4b2edff | 2026-09-23 15:14,0.7657243246402814,1.1870024320345018,1.634177993065714,1.191408897692471,Ice-flow constant f₀,m yr⁻¹
ais_precip_u,40,antarctic_icesheet,-1.9760223084136732,0.7434692410998681,-1000000000.0,1000000000.0,"joint paleo MvNormal (standardised, corr from paleo_geo_prior_ton.csv); marginal N(mu, sigma) on [lo, hi]","DAIS geometry; ais_precip0_LOG is log-space; ais_runoff_Ton = -h0/c, h0 reconstructed per draw",ladrillo_prior_posterior_table.py | tag L33 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L33) | posterior parameters_subsample_brick_mengel_L33.csv n=10000 | quantiles 5/50/95 over all draws | commit 4b2edff | 2026-09-23 15:14,-1.793152192141214,-1.6702848893723008,-1.4144087049551142,-1.6488379523037908,"u = ln P₀ + κ_DAIS·T̄ (T̄ = −17.99 °C, DAIS scale); ln P₀ is derived",ln(m yr⁻¹)
ais_runoff_Ton,41,antarctic_icesheet,-15.635803044193976,5.538678616391889,-43.273209157795954,-5.221713088869225,"joint paleo MvNormal (standardised, corr from paleo_geo_prior_ton.csv); marginal N(mu, sigma) on [lo, hi]","DAIS geometry; ais_precip0_LOG is log-space; ais_runoff_Ton = -h0/c, h0 reconstructed per draw",ladrillo_prior_posterior_table.py | tag L33 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L33) | posterior parameters_subsample_brick_mengel_L33.csv n=10000 | quantiles 5/50/95 over all draws | commit 4b2edff | 2026-09-23 15:14,-23.1243828726565,-15.666639288447573,-7.657757654863037,-15.57763758402717,Runoff onset temperature T_on = −h₀/c (sampled in place of h₀),°C (DAIS scale)
ais_c,42,antarctic_icesheet,97.23491521829128,26.614172731873794,47.5013542175293,142.49981689453125,"joint paleo MvNormal (standardised, corr from paleo_geo_prior_ton.csv); marginal N(mu, sigma) on [lo, hi]","DAIS geometry; ais_precip0_LOG is log-space; ais_runoff_Ton = -h0/c, h0 reconstructed per draw",ladrillo_prior_posterior_table.py | tag L33 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L33) | posterior parameters_subsample_brick_mengel_L33.csv n=10000 | quantiles 5/50/95 over all draws | commit 4b2edff | 2026-09-23 15:14,57.77415830779441,95.29554452069377,132.42684810759192,95.33292248053199,Runoff-line slope c,m °C⁻¹
sd_ais,43,noise,0.0,5.0,0.0213880379403277,inf,"half-normal N+(0, 5) cm, FLOORED at 0.02139",AR(1) innovation sd of the ais residual,ladrillo_prior_posterior_table.py | tag L33 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L33) | posterior parameters_subsample_brick_mengel_L33.csv n=10000 | quantiles 5/50/95 over all draws | commit 4b2edff | 2026-09-23 15:14,0.021420511331929622,0.021845762495451802,0.02326542274556016,0.022034453940164737,"AR(1) innovation sd, Antarctica",cm
rho_ais,44,noise,,,0.0,0.99,"flat on [0, 0.99)",AR(1) lag-1 autocorrelation of the ais residual; 0.99 is a hard bound,ladrillo_prior_posterior_table.py | tag L33 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L33) | posterior parameters_subsample_brick_mengel_L33.csv n=10000 | quantiles 5/50/95 over all draws | commit 4b2edff | 2026-09-23 15:14,0.918631958125692,0.9679759170486112,0.9877465851688538,0.9622976168809624,"AR(1) autocorrelation, Antarctica",–
sd_gsic,45,noise,0.0,5.0,0.0,inf,"half-normal N+(0, 5) cm",AR(1) innovation sd of the gsic residual,ladrillo_prior_posterior_table.py | tag L33 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L33) | posterior parameters_subsample_brick_mengel_L33.csv n=10000 | quantiles 5/50/95 over all draws | commit 4b2edff | 2026-09-23 15:14,0.01217351451631009,0.0167790617275339,0.02227084690990342,0.01694645147351558,"AR(1) innovation sd, glaciers",cm
rho_gsic,46,noise,,,0.0,0.99,"flat on [0, 0.99)",AR(1) lag-1 autocorrelation of the gsic residual; 0.99 is a hard bound,ladrillo_prior_posterior_table.py | tag L33 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L33) | posterior parameters_subsample_brick_mengel_L33.csv n=10000 | quantiles 5/50/95 over all draws | commit 4b2edff | 2026-09-23 15:14,0.15675414953701064,0.5993228954519706,0.94065485928521,0.5840093423443181,"AR(1) autocorrelation, glaciers",–
sd_gis,47,noise,0.0,5.0,0.0,inf,"half-normal N+(0, 5) cm",AR(1) innovation sd of the gis residual,ladrillo_prior_posterior_table.py | tag L33 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L33) | posterior parameters_subsample_brick_mengel_L33.csv n=10000 | quantiles 5/50/95 over all draws | commit 4b2edff | 2026-09-23 15:14,0.021903005484041543,0.0255115344391375,0.029794647510800704,0.025624575713004333,"AR(1) innovation sd, Greenland",cm
rho_gis,48,noise,,,0.0,0.99,"flat on [0, 0.99)",AR(1) lag-1 autocorrelation of the gis residual; 0.99 is a hard bound,ladrillo_prior_posterior_table.py | tag L33 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L33) | posterior parameters_subsample_brick_mengel_L33.csv n=10000 | quantiles 5/50/95 over all draws | commit 4b2edff | 2026-09-23 15:14,0.8452961474587358,0.960533077292288,0.9880064620362897,0.9445902635067789,"AR(1) autocorrelation, Greenland",–
sd_steric,49,noise,0.0,5.0,0.0,inf,"half-normal N+(0, 5) cm",AR(1) innovation sd of the steric residual,ladrillo_prior_posterior_table.py | tag L33 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L33) | posterior parameters_subsample_brick_mengel_L33.csv n=10000 | quantiles 5/50/95 over all draws | commit 4b2edff | 2026-09-23 15:14,0.08945264004309578,0.1012082421588135,0.11466681543603072,0.10156235102301255,"AR(1) innovation sd, thermal expansion",cm
rho_steric,50,noise,,,0.0,0.99,"flat on [0, 0.99)",AR(1) lag-1 autocorrelation of the steric residual; 0.99 is a hard bound,ladrillo_prior_posterior_table.py | tag L33 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L33) | posterior parameters_subsample_brick_mengel_L33.csv n=10000 | quantiles 5/50/95 over all draws | commit 4b2edff | 2026-09-23 15:14,0.8563996762465295,0.9402116616780238,0.9831886884777182,0.9328828918429697,"AR(1) autocorrelation, thermal expansion",–
