component,n_years,coverage_param,coverage_pred,mean_bias,in_sample
ais,126,0.8492063492063492,1.0,-0.002650896478783108,true
glaciers,124,0.7903225806451613,1.0,0.007945692290662854,true
gis,126,0.6031746031746031,0.9920634920634921,0.004331325760374743,true
te,126,0.29365079365079366,0.9761904761904762,0.17861688087861363,true
total,125,0.272,NaN,0.6478412419913632,false
