year,ssp,component,gmst,med,p05,p17,p83,p95,n_finite
1990,SSP1-2.6,glaciers,0.5557397132233756,-0.7162579834974023,-0.8844516141366336,-0.8041666498564827,-0.6670330773621596,-0.633747025747503,2000
1991,SSP1-2.6,glaciers,0.5885637306361448,-0.6830345143194432,-0.8389024867569755,-0.7629737978952836,-0.6373637026209827,-0.6067012386885196,2000
1992,SSP1-2.6,glaciers,0.5090689778394178,-0.6461995712779358,-0.787341872737731,-0.717912229222857,-0.6042359709203879,-0.575614229291465,2000
1993,SSP1-2.6,glaciers,0.3084522979487564,-0.6261952401999857,-0.7549186301704024,-0.6924066116534453,-0.5871126284853388,-0.5603397395455005,2000
1994,SSP1-2.6,glaciers,0.332676813580452,-0.5853912315003678,-0.7036607402309609,-0.6462353795162615,-0.5491820203051634,-0.5235090151201754,2000
1995,SSP1-2.6,glaciers,0.4547856293863089,-0.548353764629701,-0.6559674632414049,-0.6042887348595452,-0.5150175463409365,-0.491823878611241,2000
1996,SSP1-2.6,glaciers,0.5463394857269461,-0.5002641651494204,-0.5988946387709492,-0.5510919460622116,-0.46959384182235125,-0.4489861820603969,2000
1997,SSP1-2.6,glaciers,0.600043540445978,-0.4598544016063393,-0.5438809159165955,-0.5031290089527961,-0.4327889994930198,-0.4144463705784472,2000
1998,SSP1-2.6,glaciers,0.6466075693928761,-0.4121658996318809,-0.48423119664997405,-0.44902531839412596,-0.38843258311973056,-0.3718595875847505,2000
1999,SSP1-2.6,glaciers,0.686007840655961,-0.3343502868897219,-0.3946103177003626,-0.36538167488306456,-0.3145809196266516,-0.3013568132827306,2000
2000,SSP1-2.6,glaciers,0.7295563669080296,-0.2903545058562358,-0.3409096862359918,-0.3166590126208891,-0.2734276938996951,-0.26194709472523703,2000
2001,SSP1-2.6,glaciers,0.7655239205849365,-0.23995109298077644,-0.2805585444116505,-0.2618001982805382,-0.22603914835367828,-0.21631804068826468,2000
2002,SSP1-2.6,glaciers,0.7999498588212678,-0.17922997269094942,-0.20750514435560788,-0.1945544384154646,-0.16873728577176797,-0.1620025410284555,2000
2003,SSP1-2.6,glaciers,0.8301407393993533,-0.11523902260892971,-0.13085012775014992,-0.12362249835336624,-0.10866007909852984,-0.10441052840925424,2000
2004,SSP1-2.6,glaciers,0.8359312010698448,-0.05096006162909772,-0.0578708975371959,-0.05486321098620914,-0.04730036789292849,-0.04492025717228008,2000
2005,SSP1-2.6,glaciers,0.843916603443868,0.0022810614620336622,-0.007194535258797386,-0.003198432215493865,0.007635856559237233,0.011424497934949769,2000
2006,SSP1-2.6,glaciers,0.8516506513236204,0.07608760930669023,0.06335943624722473,0.06835118052765272,0.08606460050182836,0.09519064430776561,2000
2007,SSP1-2.6,glaciers,0.8597675192449368,0.15879677124482505,0.14153658476311776,0.14829670031327197,0.17372722605905153,0.18812541558942142,2000
2008,SSP1-2.6,glaciers,0.8671015531069908,0.2233945275566942,0.20038458984718,0.2097642878345277,0.24452561642947532,0.2636851829376041,2000
