year,component,arm,med_cm,p05_cm,p95_cm
2173,ais,joint,119.85704608661608,64.61327746247211,197.16784328917657
2174,ais,joint,121.14360692751353,65.23793664568306,199.16898367043038
2175,ais,joint,122.32251961562345,65.99361724504216,201.31039225895256
2176,ais,joint,123.49153047071826,66.85715031872192,203.1246715811112
2177,ais,joint,124.6909813298823,67.71830002978571,205.02161547077174
2178,ais,joint,125.88634665640177,68.49405511942595,207.05849401309257
2179,ais,joint,127.12364363998896,69.24321362830193,209.05463094709305
2180,ais,joint,128.42585979437214,69.83946042441843,211.05456261147344
2181,ais,joint,129.62893909957387,70.54095963757932,212.97707917143725
2182,ais,joint,130.82540922065004,71.31840939964464,214.87407607319776
2183,ais,joint,132.06643136523246,72.09854781052304,216.76061461877387
2184,ais,joint,133.31072723441437,72.8833299899624,218.66585629642512
2185,ais,joint,134.4973658392246,73.59791573041171,221.01471547038503
2186,ais,joint,135.81104716104304,74.45160166848066,223.32450019530305
2187,ais,joint,137.09540828047517,75.24271653297453,225.77414970939813
2188,ais,joint,138.33283367762613,76.08104446422111,227.7252617698837
2189,ais,joint,139.553187750323,76.91431678644318,229.57277106615433
2190,ais,joint,140.73460399737354,77.7528976216458,231.39386525466608
2191,ais,joint,142.0044438269337,78.6889507308358,233.23574086087834
2192,ais,joint,143.18219699736983,79.55298997362011,235.46798811838016
2193,ais,joint,144.32713068719133,80.3660488815242,237.33641704598597
2194,ais,joint,145.62345815988112,81.08034084884522,239.2405072304609
2195,ais,joint,146.95381613494192,81.82952071560062,241.08451002713514
2196,ais,joint,148.25606685918694,82.54736787012,243.1044005566206
2197,ais,joint,149.50526531716895,83.35255394414217,245.2203123688316
2198,ais,joint,150.8212212010767,84.08916121802957,247.1215884384549
2199,ais,joint,152.0814650270015,84.92118807875725,249.0044968792481
2200,ais,joint,153.39021652331996,85.65699641756065,251.16848294988742
2201,ais,joint,154.70899626891654,86.39762625260718,253.0506355498784
2202,ais,joint,156.0318578935786,87.188870326083,254.98594284365305
2203,ais,joint,157.29567183027302,87.95436065984724,257.10231830932867
2204,ais,joint,158.68054588298787,88.6447147597795,259.11874897067065
2205,ais,joint,159.96093918326383,89.42779385952521,260.9387365605255
2206,ais,joint,161.14414097515393,90.21155292714566,262.9183953536058
2207,ais,joint,162.3002528120354,90.9947651099246,264.8901700472553
2208,ais,joint,163.49790887375838,91.75144808438645,266.8767687086847
2209,ais,joint,164.6609902367058,92.4590267166105,268.872016697153
2210,ais,joint,165.73733696234922,93.1673136604753,270.7902475478178
2211,ais,joint,166.95043366198172,93.87979019382625,272.6443187843586
2212,ais,joint,168.10391037585129,94.62476132727679,274.50143266796175
2213,ais,joint,169.39006444464223,95.31599426721831,276.3444709792664
2214,ais,joint,170.65980637007453,96.00596240958679,278.1779731821128
2215,ais,joint,172.00802638289244,96.71553075010377,280.025126864636
2216,ais,joint,173.40732210885676,97.4257994052563,281.95101214899756
2217,ais,joint,174.73670375737197,98.14069763072321,284.0639200374822
2218,ais,joint,175.8898624017551,99.10669311940835,286.18487532287867
2219,ais,joint,177.09079474409225,100.0094407872366,288.4259084864854
2220,ais,joint,178.3178427360075,100.70656199953221,290.44115606544455
2221,ais,joint,179.60789849958184,101.40449646707158,292.4761609144478
2222,ais,joint,180.84607442221363,102.1105202371009,294.4509092034877
2223,ais,joint,182.11529685961816,102.85343789593134,296.46964646754816
2224,ais,joint,183.397935297982,103.59869036171065,298.8444293746174
2225,ais,joint,184.63508913085883,104.35729436893715,300.86258639882766
2226,ais,joint,185.85550350001546,105.13376985661247,302.866701461811
2227,ais,joint,187.096312907321,105.97163554990418,304.8629522703006
2228,ais,joint,188.43106936721162,106.83068715480036,306.8731029088875
2229,ais,joint,189.74513194931274,107.68992576605373,309.23966908526944
2230,ais,joint,191.10819748866876,108.55001055887293,311.25718884027407
2231,ais,joint,192.4271505870879,109.35802106247557,313.447440666453
2232,ais,joint,193.72135697104898,110.28214396407598,315.46041421594725
2233,ais,joint,194.98542088518437,111.14589007812249,317.46275639753947
2234,ais,joint,196.18124156849078,112.01059037777257,319.4748075270166
2235,ais,joint,197.41800490509695,112.81662290303143,321.5360688582232
2236,ais,joint,198.67046503741898,113.52499600179652,323.5430339291437
2237,ais,joint,199.92494768836082,114.23260328801246,325.551007491056
2238,ais,joint,201.17856444643044,114.94741021229744,327.84049720663876
2239,ais,joint,202.45640708600132,115.67067483741671,329.8773777709098
2240,ais,joint,203.73152293069046,116.55679120733812,331.89155866209876
2241,ais,joint,205.00311889824164,117.44993558773642,333.9010776670036
2242,ais,joint,206.2093767061291,118.18605560099353,336.166597129644
2243,ais,joint,207.40917215984024,118.9183356828967,338.12359215330804
2244,ais,joint,208.60019594141318,119.68639145027612,340.06265136645607
2245,ais,joint,209.88389394542236,120.38983780788212,342.0037777339115
2246,ais,joint,211.21995757936696,121.13107686078452,344.8055910954383
2247,ais,joint,212.42628630773925,121.86356566530961,347.6494340589434
2248,ais,joint,213.78152093178596,122.52388466982026,349.7872029428859
2249,ais,joint,215.16642862156647,123.1921822654345,351.867089351347
2250,ais,joint,216.38544424577142,123.88598914878735,353.95117555417795
2251,ais,joint,217.56490471431718,124.58081287456407,356.0612338245989
2252,ais,joint,218.7618126281758,125.27850483292832,358.1674593356324
