ssp,component,horizon,arm,n_draws,med_cm,mean_cm,p05_cm,p95_cm,spread_cm,spread_ratio,med_ratio,provenance
vvL,glaciers,2100,fixed,2000,7.9613433428049,8.00402605102986,6.124513730047773,9.944865783157155,3.8203520531093824,1.0,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L24 | ssp vvL | forcing spliced | climate fair | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvL,glaciers,2100,joint,2000,7.8094474113687475,8.01653883274728,5.530363313818469,11.294605946200447,5.764242632381977,1.5088249858257077,0.980920816387924,scope_slr_fair_uncertainty.jl | Ladrillo L24 | ssp vvL | forcing spliced | climate fair | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvL,glaciers,2150,fixed,2000,9.842243447342966,9.871165213908679,7.594951582788124,12.166933938279875,4.571982355491751,1.0,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L24 | ssp vvL | forcing spliced | climate fair | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvL,glaciers,2150,joint,2000,9.589339175793267,9.867771942993798,6.6905453030887845,14.240945814642346,7.550400511553562,1.651450054807016,0.9743042048387887,scope_slr_fair_uncertainty.jl | Ladrillo L24 | ssp vvL | forcing spliced | climate fair | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvL,glaciers,2300,fixed,2000,11.410271285379142,11.445650259183891,8.786058787312584,14.232413974991779,5.446355187679195,1.0,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L24 | ssp vvL | forcing spliced | climate fair | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvL,glaciers,2300,joint,2000,11.054041291148655,11.424081295416622,7.527396561981748,16.663694285198257,9.13629772321651,1.6775067744176404,0.9687798839027647,scope_slr_fair_uncertainty.jl | Ladrillo L24 | ssp vvL | forcing spliced | climate fair | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvL,gis,2100,fixed,2000,6.6822679855526355,6.68909474328058,5.958010538221608,7.448651118412579,1.4906405801909708,1.0,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L24 | ssp vvL | forcing spliced | climate fair | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvL,gis,2100,joint,2000,6.483303058033875,6.739006962595244,5.049072865671467,9.29526317621883,4.246190310547363,2.8485674997546155,0.9702249404021311,scope_slr_fair_uncertainty.jl | Ladrillo L24 | ssp vvL | forcing spliced | climate fair | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvL,gis,2150,fixed,2000,8.173104504486318,8.19600699437759,7.075009045724504,9.440069979145289,2.365060933420785,1.0,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L24 | ssp vvL | forcing spliced | climate fair | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvL,gis,2150,joint,2000,7.874025408029935,8.25711309869356,5.635106013487665,12.059439961800075,6.424333948312411,2.716350288286383,0.9634069163936158,scope_slr_fair_uncertainty.jl | Ladrillo L24 | ssp vvL | forcing spliced | climate fair | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvL,gis,2300,fixed,2000,8.635866283546736,8.754572825434611,6.9752206671373855,10.907258389416986,3.932037722279601,1.0,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L24 | ssp vvL | forcing spliced | climate fair | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
