ssp,component,horizon,arm,n_draws,med_cm,mean_cm,p05_cm,p95_cm,spread_cm,spread_ratio,med_ratio,provenance
ssp245,glaciers,2100,fixed,1000,13.34318032593257,13.420304382384183,11.56781378417726,15.57327507376911,4.005461289591851,1.0,1.0,"scope_slr_fairunc_oldbrick.jl | BRICK 2.0 stock MimiBRICK v2.0.0 get_model(ssp245), Random.seed!(2026) before get_model | posterior parameters_subsample_brick.csv | ssp ssp245 | climate fair | lws observed (mean 0.0003 m/yr) | run 1850-2300 reref 1995-2014 | julia 1.12.6"
ssp245,glaciers,2100,joint,1000,13.18163192325138,13.364813534993372,10.478718994525554,16.796068524586158,6.3173495300606035,1.5771840178498715,0.9878928112537594,"scope_slr_fairunc_oldbrick.jl | BRICK 2.0 stock MimiBRICK v2.0.0 get_model(ssp245), Random.seed!(2026) before get_model | posterior parameters_subsample_brick.csv | ssp ssp245 | climate fair | lws observed (mean 0.0003 m/yr) | run 1850-2300 reref 1995-2014 | julia 1.12.6"
ssp245,glaciers,2150,fixed,1000,20.68630238816398,20.712782707375176,17.097097389636705,24.359654627377786,7.262557237741081,1.0,1.0,"scope_slr_fairunc_oldbrick.jl | BRICK 2.0 stock MimiBRICK v2.0.0 get_model(ssp245), Random.seed!(2026) before get_model | posterior parameters_subsample_brick.csv | ssp ssp245 | climate fair | lws observed (mean 0.0003 m/yr) | run 1850-2300 reref 1995-2014 | julia 1.12.6"
ssp245,glaciers,2150,joint,1000,20.193893815221273,20.51553346683911,15.782342514969558,26.54536351295117,10.763020997981611,1.4819877689981966,0.9761963949040768,"scope_slr_fairunc_oldbrick.jl | BRICK 2.0 stock MimiBRICK v2.0.0 get_model(ssp245), Random.seed!(2026) before get_model | posterior parameters_subsample_brick.csv | ssp ssp245 | climate fair | lws observed (mean 0.0003 m/yr) | run 1850-2300 reref 1995-2014 | julia 1.12.6"
ssp245,glaciers,2300,fixed,1000,32.499411152746575,32.31244261206266,23.172952032639973,40.93241374953199,17.759461716892016,1.0,1.0,"scope_slr_fairunc_oldbrick.jl | BRICK 2.0 stock MimiBRICK v2.0.0 get_model(ssp245), Random.seed!(2026) before get_model | posterior parameters_subsample_brick.csv | ssp ssp245 | climate fair | lws observed (mean 0.0003 m/yr) | run 1850-2300 reref 1995-2014 | julia 1.12.6"
ssp245,glaciers,2300,joint,1000,31.625412482333193,31.640634968712263,22.636723250417333,42.00704538545787,19.37032213504054,1.0907043492549295,0.9731072459649929,"scope_slr_fairunc_oldbrick.jl | BRICK 2.0 stock MimiBRICK v2.0.0 get_model(ssp245), Random.seed!(2026) before get_model | posterior parameters_subsample_brick.csv | ssp ssp245 | climate fair | lws observed (mean 0.0003 m/yr) | run 1850-2300 reref 1995-2014 | julia 1.12.6"
ssp245,gis,2100,fixed,1000,7.029193476050668,7.323460899289029,4.944599486115678,10.812286430036174,5.867686943920496,1.0,1.0,"scope_slr_fairunc_oldbrick.jl | BRICK 2.0 stock MimiBRICK v2.0.0 get_model(ssp245), Random.seed!(2026) before get_model | posterior parameters_subsample_brick.csv | ssp ssp245 | climate fair | lws observed (mean 0.0003 m/yr) | run 1850-2300 reref 1995-2014 | julia 1.12.6"
ssp245,gis,2100,joint,1000,6.935086763394109,7.3324869279105025,4.9171102245838565,11.080893469531738,6.163783244947881,1.0504621844787017,0.9866120184375076,"scope_slr_fairunc_oldbrick.jl | BRICK 2.0 stock MimiBRICK v2.0.0 get_model(ssp245), Random.seed!(2026) before get_model | posterior parameters_subsample_brick.csv | ssp ssp245 | climate fair | lws observed (mean 0.0003 m/yr) | run 1850-2300 reref 1995-2014 | julia 1.12.6"
ssp245,gis,2150,fixed,1000,11.345828502468326,11.947094472008615,7.587869030054763,18.412357132352586,10.824488102297824,1.0,1.0,"scope_slr_fairunc_oldbrick.jl | BRICK 2.0 stock MimiBRICK v2.0.0 get_model(ssp245), Random.seed!(2026) before get_model | posterior parameters_subsample_brick.csv | ssp ssp245 | climate fair | lws observed (mean 0.0003 m/yr) | run 1850-2300 reref 1995-2014 | julia 1.12.6"
ssp245,gis,2150,joint,1000,11.171651279895581,11.975628306543127,7.5122071491999,19.38720090982325,11.87499376062335,1.097048991915149,0.984648346964274,"scope_slr_fairunc_oldbrick.jl | BRICK 2.0 stock MimiBRICK v2.0.0 get_model(ssp245), Random.seed!(2026) before get_model | posterior parameters_subsample_brick.csv | ssp ssp245 | climate fair | lws observed (mean 0.0003 m/yr) | run 1850-2300 reref 1995-2014 | julia 1.12.6"
ssp245,gis,2300,fixed,1000,23.709949480659592,25.217269143797658,15.08101025536521,40.25126942269555,25.17025916733034,1.0,1.0,"scope_slr_fairunc_oldbrick.jl | BRICK 2.0 stock MimiBRICK v2.0.0 get_model(ssp245), Random.seed!(2026) before get_model | posterior parameters_subsample_brick.csv | ssp ssp245 | climate fair | lws observed (mean 0.0003 m/yr) | run 1850-2300 reref 1995-2014 | julia 1.12.6"
