ssp,horizon,center_year,stat,v145,v160,delta,note
ssp126,2100,2100,p05,0.357,0.476,0.119,"GMST degC vs 1995-2014, 11yr centred at 2100"
ssp126,2100,2100,p25,0.6643,0.7561,0.0918,"GMST degC vs 1995-2014, 11yr centred at 2100"
ssp126,2100,2100,p50,0.9014,1.0365,0.1351,"GMST degC vs 1995-2014, 11yr centred at 2100"
ssp126,2100,2100,p75,1.2612,1.3923,0.1312,"GMST degC vs 1995-2014, 11yr centred at 2100"
ssp126,2100,2100,p95,1.8113,2.0101,0.1987,"GMST degC vs 1995-2014, 11yr centred at 2100"
ssp126,2100,2100,max,3.8936,3.0013,-0.8923,"GMST degC vs 1995-2014, 11yr centred at 2100"
ssp126,2150,2150,p05,0.1811,0.2984,0.1173,"GMST degC vs 1995-2014, 11yr centred at 2150"
ssp126,2150,2150,p25,0.4808,0.5744,0.0935,"GMST degC vs 1995-2014, 11yr centred at 2150"
ssp126,2150,2150,p50,0.758,0.9061,0.1481,"GMST degC vs 1995-2014, 11yr centred at 2150"
ssp126,2150,2150,p75,1.1595,1.2796,0.1201,"GMST degC vs 1995-2014, 11yr centred at 2150"
ssp126,2150,2150,p95,1.8198,1.9676,0.1478,"GMST degC vs 1995-2014, 11yr centred at 2150"
ssp126,2150,2150,max,4.2685,3.1599,-1.1086,"GMST degC vs 1995-2014, 11yr centred at 2150"
ssp126,2300,2295,p05,0.0515,0.1603,0.1088,"GMST degC vs 1995-2014, 11yr centred at 2295"
ssp126,2300,2295,p25,0.3915,0.5102,0.1187,"GMST degC vs 1995-2014, 11yr centred at 2295"
ssp126,2300,2295,p50,0.728,0.8725,0.1446,"GMST degC vs 1995-2014, 11yr centred at 2295"
ssp126,2300,2295,p75,1.2305,1.3555,0.125,"GMST degC vs 1995-2014, 11yr centred at 2295"
ssp126,2300,2295,p95,2.0957,2.2938,0.1981,"GMST degC vs 1995-2014, 11yr centred at 2295"
ssp126,2300,2295,max,5.1242,3.9561,-1.1681,"GMST degC vs 1995-2014, 11yr centred at 2295"
ssp245,2100,2100,p05,1.1069,1.1004,-0.0065,"GMST degC vs 1995-2014, 11yr centred at 2100"
ssp245,2100,2100,p25,1.4789,1.4618,-0.0171,"GMST degC vs 1995-2014, 11yr centred at 2100"
ssp245,2100,2100,p50,1.7888,1.797,0.0081,"GMST degC vs 1995-2014, 11yr centred at 2100"
ssp245,2100,2100,p75,2.2325,2.2798,0.0473,"GMST degC vs 1995-2014, 11yr centred at 2100"
ssp245,2100,2100,p95,2.8973,3.1128,0.2154,"GMST degC vs 1995-2014, 11yr centred at 2100"
ssp245,2100,2100,max,5.4777,4.3758,-1.1019,"GMST degC vs 1995-2014, 11yr centred at 2100"
ssp245,2150,2150,p05,1.1297,1.1428,0.0131,"GMST degC vs 1995-2014, 11yr centred at 2150"
ssp245,2150,2150,p25,1.5898,1.5812,-0.0087,"GMST degC vs 1995-2014, 11yr centred at 2150"
ssp245,2150,2150,p50,2.0119,2.028,0.016,"GMST degC vs 1995-2014, 11yr centred at 2150"
ssp245,2150,2150,p75,2.5853,2.6152,0.03,"GMST degC vs 1995-2014, 11yr centred at 2150"
ssp245,2150,2150,p95,3.4609,3.713,0.2521,"GMST degC vs 1995-2014, 11yr centred at 2150"
ssp245,2150,2150,max,7.4283,5.6149,-1.8135,"GMST degC vs 1995-2014, 11yr centred at 2150"
ssp245,2300,2295,p05,0.9611,0.9815,0.0203,"GMST degC vs 1995-2014, 11yr centred at 2295"
ssp245,2300,2295,p25,1.5458,1.5334,-0.0124,"GMST degC vs 1995-2014, 11yr centred at 2295"
ssp245,2300,2295,p50,2.0815,2.1368,0.0553,"GMST degC vs 1995-2014, 11yr centred at 2295"
ssp245,2300,2295,p75,2.8591,2.9067,0.0476,"GMST degC vs 1995-2014, 11yr centred at 2295"
ssp245,2300,2295,p95,4.1633,4.5178,0.3545,"GMST degC vs 1995-2014, 11yr centred at 2295"
ssp245,2300,2295,max,10.2078,7.3789,-2.8289,"GMST degC vs 1995-2014, 11yr centred at 2295"
ssp585,2100,2100,p05,2.5387,2.3091,-0.2296,"GMST degC vs 1995-2014, 11yr centred at 2100"
ssp585,2100,2100,p25,3.1916,2.8668,-0.3248,"GMST degC vs 1995-2014, 11yr centred at 2100"
ssp585,2100,2100,p50,3.7223,3.3743,-0.348,"GMST degC vs 1995-2014, 11yr centred at 2100"
ssp585,2100,2100,p75,4.384,4.0435,-0.3405,"GMST degC vs 1995-2014, 11yr centred at 2100"
ssp585,2100,2100,p95,5.4166,5.1809,-0.2358,"GMST degC vs 1995-2014, 11yr centred at 2100"
ssp585,2100,2100,max,9.2041,7.2107,-1.9934,"GMST degC vs 1995-2014, 11yr centred at 2100"
ssp585,2150,2150,p05,3.4709,3.3026,-0.1683,"GMST degC vs 1995-2014, 11yr centred at 2150"
ssp585,2150,2150,p25,4.4846,4.1652,-0.3194,"GMST degC vs 1995-2014, 11yr centred at 2150"
ssp585,2150,2150,p50,5.33,4.9859,-0.3442,"GMST degC vs 1995-2014, 11yr centred at 2150"
ssp585,2150,2150,p75,6.4308,6.0467,-0.3841,"GMST degC vs 1995-2014, 11yr centred at 2150"
ssp585,2150,2150,p95,8.1283,8.009,-0.1192,"GMST degC vs 1995-2014, 11yr centred at 2150"
ssp585,2150,2150,max,14.5326,10.7741,-3.7585,"GMST degC vs 1995-2014, 11yr centred at 2150"
ssp585,2300,2295,p05,3.5007,3.6305,0.1299,"GMST degC vs 1995-2014, 11yr centred at 2295"
ssp585,2300,2295,p25,5.1973,4.8979,-0.2995,"GMST degC vs 1995-2014, 11yr centred at 2295"
ssp585,2300,2295,p50,6.5491,6.2697,-0.2794,"GMST degC vs 1995-2014, 11yr centred at 2295"
