draw,smb_1979_1991,dis_1979_1991,dis_anom_1979_1991,smb_anom_1979_1991,rate_cm_yr_1979_1991,smb_1992_2002,dis_1992_2002,dis_anom_1992_2002,smb_anom_1992_2002,rate_cm_yr_1992_2002,smb_2003_2010,dis_2003_2010,dis_anom_2003_2010,smb_anom_2003_2010,rate_cm_yr_2003_2010,smb_2011_2017,dis_2011_2017,dis_anom_2011_2017,smb_anom_2011_2017,rate_cm_yr_2011_2017,smb_2018_2023,dis_2018_2023,dis_anom_2018_2023,smb_anom_2018_2023,rate_cm_yr_2018_2023,smb_1979_2008,dis_1979_2008,dis_anom_1979_2008,smb_anom_1979_2008,rate_cm_yr_1979_2008,smb_1992_2020,dis_1992_2020,dis_anom_1992_2020,smb_anom_1992_2020,rate_cm_yr_1992_2020,accel_2011_17_minus_1992_02,provenance
163,1711.8146567932445,-1725.802993221605,2.270155592266974,34.354867823421955,0.004848376927494376,1668.426886285445,-1728.074122378172,-0.0009735643000112759,-9.032902684377405,0.017442658354128626,1619.9706567029893,-1733.1789685033555,-5.105819689483496,-57.48913226683317,0.032839406210574684,1624.8084041277118,-1735.9949530187619,-7.921804204889895,-52.6513848421107,0.034049993975144535,1628.4207891532062,-1739.2469091249038,-11.173760311031856,-49.0389998166163,0.03824349360437851,1677.4597889698225,-1728.073148813872,0.0,0.0,0.015087747581857824,1640.3497674117286,-1732.4899107141869,-4.416761900314896,-37.11002155809388,0.02776737998157379,0.01660733562101591,"diag_ais_flux_split_vs_imbie.jl | tag L30 (1000 thinned draws) | hindcast 1850-2026, forcing ssp245harm, LWS central | SMB = beta_total, discharge = ice_flux (m^3 ice/yr x 9.17e-10 = Gt/yr; ice-mass sign) | AIS level cm rel (1995, 2005) | 2026-09-22T11:31:56.396"
164,1898.885575383886,-1941.083298221247,8.629208174992982,22.803484334421,0.010745978472333965,1874.343580383816,-1949.4852213574588,0.22728503878124684,-1.738510665648846,0.018695957626985674,1830.3124350783403,-1969.5771119889464,-19.86460559270631,-45.76965597112462,0.03524426350444004,1836.6314653238821,-1980.7267244796944,-31.014218083454352,-39.45062572558277,0.03733370825375853,1843.0823844201434,-1993.6063823271725,-43.89387593093238,-32.99970662932151,0.04007359959961598,1876.082091049465,-1949.71250639624,0.0,0.0,0.018547921945853973,1849.7514629439193,-1966.894934646051,-17.182428249810982,-26.330628105545657,0.02991962220297161,0.018637750626772854,"diag_ais_flux_split_vs_imbie.jl | tag L30 (1000 thinned draws) | hindcast 1850-2026, forcing ssp245harm, LWS central | SMB = beta_total, discharge = ice_flux (m^3 ice/yr x 9.17e-10 = Gt/yr; ice-mass sign) | AIS level cm rel (1995, 2005) | 2026-09-22T11:31:56.396"
165,1805.4604136696885,-1870.7887888557193,21.15677105630425,24.501990261089986,0.014382721469707871,1774.4033782908807,-1891.2910968905046,0.65446302151895,-6.555045117717782,0.02546578629795934,1740.1641246882964,-1940.841591451814,-48.896031539790556,-40.794298720302095,0.04468518481930833,1744.0380827134356,-1968.5120446470294,-76.56648473500582,-36.92034069516285,0.0506248634942514,1747.9491728727273,-2000.537237242763,-108.59167733073946,-33.00925053587116,0.05774257051827658,1780.9584234085985,-1891.9455599120236,0.0,0.0,0.02444105696706056,1754.8268206261505,-1934.3097952917901,-42.36423537976657,-26.131602782448,0.04004612139661814,0.025159077196292064,"diag_ais_flux_split_vs_imbie.jl | tag L30 (1000 thinned draws) | hindcast 1850-2026, forcing ssp245harm, LWS central | SMB = beta_total, discharge = ice_flux (m^3 ice/yr x 9.17e-10 = Gt/yr; ice-mass sign) | AIS level cm rel (1995, 2005) | 2026-09-22T11:31:56.396"
166,1755.3082694524326,-1800.062695273688,24.869656237454137,8.79071942100768,0.010829070084242916,1741.6814769571827,-1824.1695056907522,0.7628458203898845,-4.836073074242222,0.020038823737062398,1737.2890592480414,-1882.4190274551772,-57.48667594403514,-9.22849078338345,0.03612700094903082,1750.8811974679452,-1915.1558503424756,-90.22349883133347,4.363647436520296,0.04152749581937914,1765.4089177646674,-1953.1058694312494,-128.17351792010732,18.891367733242532,0.048163855126148736,1746.517550031425,-1824.932351511142,0.0,0.0,0.01920599147443247,1744.890897832122,-1874.8360651091273,-49.90371359798519,-1.6266521993029528,0.03244767386837624,0.02148867208231674,"diag_ais_flux_split_vs_imbie.jl | tag L30 (1000 thinned draws) | hindcast 1850-2026, forcing ssp245harm, LWS central | SMB = beta_total, discharge = ice_flux (m^3 ice/yr x 9.17e-10 = Gt/yr; ice-mass sign) | AIS level cm rel (1995, 2005) | 2026-09-22T11:31:56.396"
167,1861.9431611038806,-1917.479014351644,23.25372575537972,17.541703806515443,0.012659552294491672,1839.9533659783665,-1940.0185945084022,0.7141455986215988,-4.4480913189986495,0.022514593666450086,1814.6938908136158,-1994.4748017148868,-53.74206160786298,-29.70756648374936,0.04086730915593556,1815.919735310708,-2025.0004687079895,-84.26772860096571,-28.48172198665725,0.04783015153539801,1815.2161232742412,-2060.3706809708456,-119.63794086382177,-29.185334023123914,0.056455451106707244,1844.4014572973651,-1940.7327401070238,0.0,0.0,0.021834682575534448,1824.6641794732295,-1987.3502977513272,-46.61755764430336,-19.737277824135617,0.03703474344231285,0.025315557868947926,"diag_ais_flux_split_vs_imbie.jl | tag L30 (1000 thinned draws) | hindcast 1850-2026, forcing ssp245harm, LWS central | SMB = beta_total, discharge = ice_flux (m^3 ice/yr x 9.17e-10 = Gt/yr; ice-mass sign) | AIS level cm rel (1995, 2005) | 2026-09-22T11:31:56.396"
168,1676.903435684528,-1740.7875815021182,1.304618195772946,25.94577356894183,0.015176718614778446,1650.252901391859,-1742.0584746890027,0.03372500888849572,-0.7047607237270768,0.023176981321415546,1595.725723867004,-1745.0798797881944,-2.987680090303229,-55.23193824858208,0.040113453250044395,1590.5008809010264,-1746.653680907347,-4.561481209455906,-60.45678121455967,0.04407503484194259,1582.9233336777481,-1748.4773499018065,-6.385150203915373,-68.03432843783798,0.049060091921665494,1650.9576621155861,-1742.0921996978911,0.0,0.0,0.02305795315259651,1613.9819554774713,-1744.6321931908628,-2.539993492971689,-36.97570663811484,0.03547600741080817,0.020898053520527045,"diag_ais_flux_split_vs_imbie.jl | tag L30 (1000 thinned draws) | hindcast 1850-2026, forcing ssp245harm, LWS central | SMB = beta_total, discharge = ice_flux (m^3 ice/yr x 9.17e-10 = Gt/yr; ice-mass sign) | AIS level cm rel (1995, 2005) | 2026-09-22T11:31:56.396"
169,2047.037510769672,-2117.2507938051576,10.097862286467262,3.40390507524603,0.015195400988295886,2045.4292081537183,-2127.0281938069847,0.3204622846401435,1.7956024592922404,0.01931953780779271,2034.0025122702637,-2150.7039623594824,-23.355306267857486,-9.631093424162373,0.030527689686705994,2049.233537089702,-2163.8541174278726,-36.50546133624766,5.599931395276144,0.03240692998144493,2066.514180727678,-2179.0162803902836,-51.667624298658666,22.88057503325217,0.034706370591408575,2043.633605694426,-2127.348656091625,0.0,0.0,0.019759238623515696,2045.0611297387668,-2147.5461100239027,-20.197453932277767,1.427524044340771,0.02711905823435983,0.013087392173652224,"diag_ais_flux_split_vs_imbie.jl | tag L30 (1000 thinned draws) | hindcast 1850-2026, forcing ssp245harm, LWS central | SMB = beta_total, discharge = ice_flux (m^3 ice/yr x 9.17e-10 = Gt/yr; ice-mass sign) | AIS level cm rel (1995, 2005) | 2026-09-22T11:31:56.396"
170,1773.5844930018102,-1827.460596686382,9.454188332228796,13.474175603643062,0.01345874750365935,1762.3982860043286,-1836.6366749729,0.2781100457107186,2.287968606161485,0.018877993784200357,1727.188031230877,-1858.7305063820247,-21.815721363414013,-32.92228616729017,0.0339732911530638,1734.0293185236417,-1870.9269203268316,-34.01213530822088,-26.08099887452545,0.036063244947515116,1741.707966792258,-1884.9755095497703,-48.06072453115962,-18.402350605909078,0.03864628692488714,1760.1103173981671,-1836.9147850186107,0.0,0.0,0.01953319504098494,1743.5581493156915,-1855.7499288074357,-18.835143788825008,-16.552168082475646,0.029186941396185346,0.01718525116331476,"diag_ais_flux_split_vs_imbie.jl | tag L30 (1000 thinned draws) | hindcast 1850-2026, forcing ssp245harm, LWS central | SMB = beta_total, discharge = ice_flux (m^3 ice/yr x 9.17e-10 = Gt/yr; ice-mass sign) | AIS level cm rel (1995, 2005) | 2026-09-22T11:31:56.396"
171,1711.1642981843386,-1731.127794477657,13.006447891507378,27.809375508255926,0.0068750432028184495,1680.5913216872889,-1743.7902748845606,0.34396748460380877,-2.763600988793769,0.018751100431944258,1628.8468888607144,-1774.0838644130308,-29.949622043866384,-54.50803381536821,0.042081018075806886,1638.7516841381325,-1791.1006781629353,-46.96643579377087,-44.60323853795012,0.04516509507423042,1649.7982412670844,-1810.8986157251848,-66.76437335602031,-33.5566814089982,0.048985038513904566,1683.3549226760827,-1744.1342423691644,0.0,0.0,0.018244804022669037,1652.8330913241284,-1770.1420741563352,-26.007831787170744,-30.521831351954233,0.03461840169930223,0.026413994642286165,"diag_ais_flux_split_vs_imbie.jl | tag L30 (1000 thinned draws) | hindcast 1850-2026, forcing ssp245harm, LWS central | SMB = beta_total, discharge = ice_flux (m^3 ice/yr x 9.17e-10 = Gt/yr; ice-mass sign) | AIS level cm rel (1995, 2005) | 2026-09-22T11:31:56.396"
172,1714.737980590337,-1752.8594776844218,15.607860295762066,13.34579355343999,0.011208797402242685,1691.2886898283816,-1767.9502526414362,0.51708533874762,-10.103497208515364,0.021796092404729513,1691.6652669485204,-1804.6274061463241,-36.16006816614026,-9.726920088376573,0.03360433279947367,1700.879083761626,-1825.4323805023055,-56.96504252212162,-0.513103275271078,0.03781097545056479,1710.0401851253853,-1849.682977154824,-81.21563917464005,8.647998088488293,0.04325297285370233,1701.392187036897,-1768.4673379801839,0.0,0.0,0.019530580390126895,1695.4961675101183,-1799.9477100887943,-31.48037210861048,-5.896019526778673,0.031034996561486488,0.016014883045835277,"diag_ais_flux_split_vs_imbie.jl | tag L30 (1000 thinned draws) | hindcast 1850-2026, forcing ssp245harm, LWS central | SMB = beta_total, discharge = ice_flux (m^3 ice/yr x 9.17e-10 = Gt/yr; ice-mass sign) | AIS level cm rel (1995, 2005) | 2026-09-22T11:31:56.396"
