block,tag,quantity,value,unit,per_chain,provenance
ais_geometry,L26,ais_ocean_temperature₀,0.0,L26-sd,-0.13;0.04;-0.05;0.14,diag_refit_precision.py | tag L26+L27+L27r+L27b | seed n/a (no RNG in this driver) | L26 chain_L26_seed*_n2000000.csv; postpred_L26; ssps_components_2300_L26_tap4p69K_V5p64m_tau800_n2_ws | L27 chain_L27_seed*_n2000000.csv; postpred_L27; ssps_components_2300_L27_tap4p69K_V5p64m_tau800_n2_ws | L27r chain_L27r_seed*_n2000000.csv; postpred_L27r; ssps_components_2300_L27r_tap4p69K_V5p64m_tau800_n2_ws | L27b chain_L27b_seed*_n2000000.csv; postpred_L27b; ssps_components_2300_L27b_tap4p69K_V5p64m_tau800_n2_ws | commit 7913e0e-dirty | AIS medians in L26-sd units (pooled 2nd-half); RMSE full window vs bare targets; fixed-climate tap cells
ais_geometry,L27,ais_ocean_temperature₀,-0.2941182239942529,L26-sd,-0.29;-0.27;-0.34;-0.27,diag_refit_precision.py | tag L26+L27+L27r+L27b | seed n/a (no RNG in this driver) | L26 chain_L26_seed*_n2000000.csv; postpred_L26; ssps_components_2300_L26_tap4p69K_V5p64m_tau800_n2_ws | L27 chain_L27_seed*_n2000000.csv; postpred_L27; ssps_components_2300_L27_tap4p69K_V5p64m_tau800_n2_ws | L27r chain_L27r_seed*_n2000000.csv; postpred_L27r; ssps_components_2300_L27r_tap4p69K_V5p64m_tau800_n2_ws | L27b chain_L27b_seed*_n2000000.csv; postpred_L27b; ssps_components_2300_L27b_tap4p69K_V5p64m_tau800_n2_ws | commit 7913e0e-dirty | AIS medians in L26-sd units (pooled 2nd-half); RMSE full window vs bare targets; fixed-climate tap cells
ais_geometry,L27r,ais_ocean_temperature₀,-0.28905626245014265,L26-sd,-0.38;-0.14;-0.15;-0.48,diag_refit_precision.py | tag L26+L27+L27r+L27b | seed n/a (no RNG in this driver) | L26 chain_L26_seed*_n2000000.csv; postpred_L26; ssps_components_2300_L26_tap4p69K_V5p64m_tau800_n2_ws | L27 chain_L27_seed*_n2000000.csv; postpred_L27; ssps_components_2300_L27_tap4p69K_V5p64m_tau800_n2_ws | L27r chain_L27r_seed*_n2000000.csv; postpred_L27r; ssps_components_2300_L27r_tap4p69K_V5p64m_tau800_n2_ws | L27b chain_L27b_seed*_n2000000.csv; postpred_L27b; ssps_components_2300_L27b_tap4p69K_V5p64m_tau800_n2_ws | commit 7913e0e-dirty | AIS medians in L26-sd units (pooled 2nd-half); RMSE full window vs bare targets; fixed-climate tap cells
ais_geometry,L27b,ais_ocean_temperature₀,-0.15654335740246308,L26-sd,-0.14;-0.03;-0.34;-0.12,diag_refit_precision.py | tag L26+L27+L27r+L27b | seed n/a (no RNG in this driver) | L26 chain_L26_seed*_n2000000.csv; postpred_L26; ssps_components_2300_L26_tap4p69K_V5p64m_tau800_n2_ws | L27 chain_L27_seed*_n2000000.csv; postpred_L27; ssps_components_2300_L27_tap4p69K_V5p64m_tau800_n2_ws | L27r chain_L27r_seed*_n2000000.csv; postpred_L27r; ssps_components_2300_L27r_tap4p69K_V5p64m_tau800_n2_ws | L27b chain_L27b_seed*_n2000000.csv; postpred_L27b; ssps_components_2300_L27b_tap4p69K_V5p64m_tau800_n2_ws | commit 7913e0e-dirty | AIS medians in L26-sd units (pooled 2nd-half); RMSE full window vs bare targets; fixed-climate tap cells
ais_geometry,L26,antarctic_alpha,0.0,L26-sd,-0.02;-0.59;0.16;0.30,diag_refit_precision.py | tag L26+L27+L27r+L27b | seed n/a (no RNG in this driver) | L26 chain_L26_seed*_n2000000.csv; postpred_L26; ssps_components_2300_L26_tap4p69K_V5p64m_tau800_n2_ws | L27 chain_L27_seed*_n2000000.csv; postpred_L27; ssps_components_2300_L27_tap4p69K_V5p64m_tau800_n2_ws | L27r chain_L27r_seed*_n2000000.csv; postpred_L27r; ssps_components_2300_L27r_tap4p69K_V5p64m_tau800_n2_ws | L27b chain_L27b_seed*_n2000000.csv; postpred_L27b; ssps_components_2300_L27b_tap4p69K_V5p64m_tau800_n2_ws | commit 7913e0e-dirty | AIS medians in L26-sd units (pooled 2nd-half); RMSE full window vs bare targets; fixed-climate tap cells
ais_geometry,L27,antarctic_alpha,-0.5129008600638962,L26-sd,-0.69;-0.69;-0.18;-0.46,diag_refit_precision.py | tag L26+L27+L27r+L27b | seed n/a (no RNG in this driver) | L26 chain_L26_seed*_n2000000.csv; postpred_L26; ssps_components_2300_L26_tap4p69K_V5p64m_tau800_n2_ws | L27 chain_L27_seed*_n2000000.csv; postpred_L27; ssps_components_2300_L27_tap4p69K_V5p64m_tau800_n2_ws | L27r chain_L27r_seed*_n2000000.csv; postpred_L27r; ssps_components_2300_L27r_tap4p69K_V5p64m_tau800_n2_ws | L27b chain_L27b_seed*_n2000000.csv; postpred_L27b; ssps_components_2300_L27b_tap4p69K_V5p64m_tau800_n2_ws | commit 7913e0e-dirty | AIS medians in L26-sd units (pooled 2nd-half); RMSE full window vs bare targets; fixed-climate tap cells
ais_geometry,L27r,antarctic_alpha,-0.44480214165251397,L26-sd,-0.55;-0.07;-0.94;-0.14,diag_refit_precision.py | tag L26+L27+L27r+L27b | seed n/a (no RNG in this driver) | L26 chain_L26_seed*_n2000000.csv; postpred_L26; ssps_components_2300_L26_tap4p69K_V5p64m_tau800_n2_ws | L27 chain_L27_seed*_n2000000.csv; postpred_L27; ssps_components_2300_L27_tap4p69K_V5p64m_tau800_n2_ws | L27r chain_L27r_seed*_n2000000.csv; postpred_L27r; ssps_components_2300_L27r_tap4p69K_V5p64m_tau800_n2_ws | L27b chain_L27b_seed*_n2000000.csv; postpred_L27b; ssps_components_2300_L27b_tap4p69K_V5p64m_tau800_n2_ws | commit 7913e0e-dirty | AIS medians in L26-sd units (pooled 2nd-half); RMSE full window vs bare targets; fixed-climate tap cells
ais_geometry,L27b,antarctic_alpha,-0.8058945137088392,L26-sd,-0.90;-0.89;-0.58;-0.84,diag_refit_precision.py | tag L26+L27+L27r+L27b | seed n/a (no RNG in this driver) | L26 chain_L26_seed*_n2000000.csv; postpred_L26; ssps_components_2300_L26_tap4p69K_V5p64m_tau800_n2_ws | L27 chain_L27_seed*_n2000000.csv; postpred_L27; ssps_components_2300_L27_tap4p69K_V5p64m_tau800_n2_ws | L27r chain_L27r_seed*_n2000000.csv; postpred_L27r; ssps_components_2300_L27r_tap4p69K_V5p64m_tau800_n2_ws | L27b chain_L27b_seed*_n2000000.csv; postpred_L27b; ssps_components_2300_L27b_tap4p69K_V5p64m_tau800_n2_ws | commit 7913e0e-dirty | AIS medians in L26-sd units (pooled 2nd-half); RMSE full window vs bare targets; fixed-climate tap cells
ais_geometry,L26,antarctic_nu,0.0,L26-sd,-0.13;0.18;0.24;-0.28,diag_refit_precision.py | tag L26+L27+L27r+L27b | seed n/a (no RNG in this driver) | L26 chain_L26_seed*_n2000000.csv; postpred_L26; ssps_components_2300_L26_tap4p69K_V5p64m_tau800_n2_ws | L27 chain_L27_seed*_n2000000.csv; postpred_L27; ssps_components_2300_L27_tap4p69K_V5p64m_tau800_n2_ws | L27r chain_L27r_seed*_n2000000.csv; postpred_L27r; ssps_components_2300_L27r_tap4p69K_V5p64m_tau800_n2_ws | L27b chain_L27b_seed*_n2000000.csv; postpred_L27b; ssps_components_2300_L27b_tap4p69K_V5p64m_tau800_n2_ws | commit 7913e0e-dirty | AIS medians in L26-sd units (pooled 2nd-half); RMSE full window vs bare targets; fixed-climate tap cells
ais_geometry,L27,antarctic_nu,0.21218020705841437,L26-sd,0.26;0.17;0.20;0.23,diag_refit_precision.py | tag L26+L27+L27r+L27b | seed n/a (no RNG in this driver) | L26 chain_L26_seed*_n2000000.csv; postpred_L26; ssps_components_2300_L26_tap4p69K_V5p64m_tau800_n2_ws | L27 chain_L27_seed*_n2000000.csv; postpred_L27; ssps_components_2300_L27_tap4p69K_V5p64m_tau800_n2_ws | L27r chain_L27r_seed*_n2000000.csv; postpred_L27r; ssps_components_2300_L27r_tap4p69K_V5p64m_tau800_n2_ws | L27b chain_L27b_seed*_n2000000.csv; postpred_L27b; ssps_components_2300_L27b_tap4p69K_V5p64m_tau800_n2_ws | commit 7913e0e-dirty | AIS medians in L26-sd units (pooled 2nd-half); RMSE full window vs bare targets; fixed-climate tap cells
