reg,mass_gt,committed12_pct,resp_time_15C_yr,resp_time_30C_yr,warming_2000_19_K,melt_rate_gt_yr,stock_share,committed_share,melt_share
19,41377,36.0000,828.0000,213.0000,1.6479,22.1164,0.3335,0.2864,0.0904
03,24851,33.0000,644.0000,153.5000,1.6491,32.3580,0.2003,0.1577,0.1323
01,16246,37.0000,104.0000,34.5000,1.4070,70.5723,0.1309,0.1156,0.2884
09,12965,65.0000,445.0000,70.5000,2.6889,11.0223,0.1045,0.1621,0.0451
04,7212,85.0000,241.0000,60.5000,0.6285,28.0607,0.0581,0.1179,0.1147
07,6566,46.0000,318.0000,69.5000,2.8220,11.1591,0.0529,0.0581,0.0456
17,4368,39.0000,86.0000,31.0000,0.2850,21.9064,0.0352,0.0328,0.0895
06,3194,61.0000,316.0000,56.0000,1.0740,9.9116,0.0257,0.0375,0.0405
13,2771,12.0000,103.0000,23.0000,1.4920,10.1694,0.0223,0.0064,0.0416
14,2485,5.0000,139.0000,30.0000,1.3893,4.8242,0.0200,0.0024,0.0197
02,795,74.0000,57.0000,14.0000,0.9383,8.0050,0.0064,0.0113,0.0327
15,656,49.0000,47.0000,13.5000,0.9272,7.2792,0.0053,0.0062,0.0298
08,237,66.0000,166.0000,24.0000,1.0530,1.7657,0.0019,0.0030,0.0072
10,109,56.0000,47.0000,13.0000,1.5827,1.3317,0.0009,0.0012,0.0054
11,85,56.0000,42.0000,11.0000,1.6493,1.7898,0.0007,0.0009,0.0073
16,69,23.0000,23.0000,10.0000,0.1445,0.9876,0.0006,0.0003,0.0040
18,53,15.0000,36.0000,11.0000,0.7712,0.6888,0.0004,0.0002,0.0028
12,43,23.0000,30.0000,10.0000,1.0039,0.7128,0.0003,0.0002,0.0029
