label,arm,variant,profile,nres,hind,sigma,rho,delta,u_mm,delta_sigmas,u_pre_mm,s_r5_mm,s1900_inv_mm,s1900_ledger_mm,lec_z,s1900_legacy_mm,g_s1900_legacy_box,logJ,ll_flow,flow_win,flow_win_deficit,deficit_d1dref,rate_modern_hind,inv_z,S2020_all_mm,com1p2,com1p5,com2p0,com3p0,ds126,ds245,ds585,spread,flow_1900_1919,flow_1920_1949,flow_1950_1979,flow_1980_1999,flow_2000_2023,rate_hind_1900_1919,rate_tot_1900_1919,rate_hind_1920_1949,rate_tot_1920_1949,rate_hind_1950_1979,rate_tot_1950_1979,rate_hind_1980_1999,rate_tot_1980_1999,rate_hind_2000_2023,rate_tot_2000_2023,rate0023_R19,rate1523_R19,rate0023_SLOWP,rate1523_SLOWP,rate0023_FAST,rate1523_FAST,g_inv,g_lec,g_lad,g_spread,npass,feasible,kappa_R19,nu_R19,kappa_SLOWP,nu_SLOWP,kappa_FAST,nu_FAST
OBSAMP/ANCH/unc_t5d,ANCH,unc_t5d,taper,3,SLOWP+FAST,0.03333,0.97783,0.29742,33.50417,0.99141,9.46473,2.50000,8.03527,20.00000,-0.00000,8.03548,False,1.45062,4.67915,41.17588,9.86502,9.86502,0.68168,0.61375,39.43011,47.99866,56.18237,67.01109,81.19581,7.47567,9.76731,14.71330,7.23762,-16.53215,-16.01254,-4.76906,12.37619,28.30695,0.13478,0.50172,0.23486,0.62220,0.16041,0.53229,0.25900,0.43054,0.55997,0.56598,0.01229,0.01777,0.10559,0.15086,0.45437,0.53082,True,True,True,True,4,False,0.00206,1.54476,0.00040,1.62212,0.00276,1.56676
OBSAMP/MID/unc_t5d,MID,unc_t5d,taper,3,SLOWP+FAST,0.02307,0.95155,0.26049,32.75931,0.86829,7.80665,2.50000,9.69335,20.00000,-0.00000,9.69347,False,4.66132,8.22241,44.25465,6.78625,6.78625,0.83274,0.54531,45.71872,46.94083,55.29101,66.34001,80.81328,8.65106,11.24818,16.49683,7.84576,-16.45985,-15.85510,-4.19407,12.66750,31.59665,0.15428,0.51307,0.27308,0.65180,0.17514,0.53875,0.28734,0.45506,0.67562,0.68151,0.00732,0.01059,0.18614,0.26298,0.48948,0.56977,True,True,True,True,4,False,0.00121,1.54476,0.00073,1.62212,0.00348,1.56676
OBSAMP/FREE/unc_t5d,FREE,unc_t5d,taper,3,SLOWP+FAST,0.00500,0.00000,0.18082,28.14450,0.60272,0.00000,1.72689,33.92864,35.65553,1.73950,33.38067,False,9.54469,16.40914,51.28577,-0.24487,-0.24487,0.74570,0.00242,78.84449,40.57287,49.92521,62.30027,78.51057,6.43420,7.30666,8.41353,1.97934,-16.47121,-15.59819,-2.80723,15.59123,35.69454,0.24356,0.55181,0.47206,0.79743,0.17675,0.48914,0.37240,0.51649,0.67847,0.68352,0.02396,0.02701,0.19993,0.23156,0.47853,0.51415,True,True,True,False,3,False,0.00121,0.00000,0.00329,0.00000,0.02561,0.00000
OBSAMP/ANCH/unc_sx2,ANCH,unc_sx2,taper,3,SLOWP+FAST,0.03380,0.97923,0.00000,41.76000,0.00000,9.46473,2.50000,8.03527,20.00000,0.00000,8.03548,False,-28.64602,-25.62391,42.00260,9.06580,9.06580,0.68168,0.61375,39.43011,47.99866,56.18237,67.01109,81.19581,7.47567,9.76731,14.71330,7.23762,-32.21894,-30.11077,-5.34773,13.00905,28.37442,0.13478,0.59214,0.23486,0.71764,0.16041,0.62392,0.25900,0.47280,0.55997,0.56747,0.01229,0.01777,0.10559,0.15086,0.45437,0.53082,True,True,True,True,4,False,0.00206,1.54476,0.00040,1.62212,0.00276,1.56676
OBSAMP/MID/unc_sx2,MID,unc_sx2,taper,3,SLOWP+FAST,0.01809,0.92623,0.00000,39.94646,0.00000,7.09329,2.50000,10.40671,20.00000,-0.00000,10.40683,True,-24.90054,-20.94559,45.92767,5.14073,5.14073,0.84643,0.52134,47.42576,46.64621,55.04276,66.15311,80.70675,8.66297,11.26524,16.50337,7.84039,-31.75088,-29.64241,-5.45191,13.59548,32.43555,0.16189,0.59939,0.28427,0.74608,0.17875,0.62213,0.29403,0.49854,0.68806,0.69523,0.00732,0.01059,0.18605,0.26285,0.50202,0.58358,True,True,True,True,4,False,0.00121,1.54476,0.00073,1.62212,0.00381,1.56676
