label,arm,variant,profile,bookfix,sigma,rho,delta,u_mm,u_global_mm,delta_sigmas,logJ,ll_flow,flow_win,flow_win_deficit,rate_modern_mm_yr,S1900_mm,inv_z,S2020_mm,S2020_total_mm,com1p2,com1p5,com2p0,com3p0,ds126,ds245,ds585,spread,flow_1900_1919,flow_1920_1949,flow_1950_1979,flow_1980_1999,flow_2000_2023,g_inv,g_s1900,g_lad,g_spread,npass,feasible,kappa_SLOW,nu_SLOW,kappa_FAST,nu_FAST
ANCH/repro,ANCH,repro,const,False,0.09817,0.99000,0.00000,0.00000,0.00000,0.00000,-44.26896,-49.51249,32.11015,20.71088,0.85497,15.91279,0.82390,57.49701,57.49701,46.95590,56.28748,68.29900,83.24841,8.49374,10.64876,15.08702,6.59329,-43.54461,-37.82549,-8.44865,8.89885,21.49365,True,True,True,True,4,False,0.00102,1.35373,0.00321,1.59756
MID/repro,MID,repro,const,False,0.09584,0.99000,0.00000,0.00000,0.00000,0.00000,-45.08257,-48.77409,32.44277,20.37825,0.93096,17.66242,0.77468,61.56092,61.56092,46.28525,55.73481,67.89820,83.03661,9.19947,11.56147,16.34659,7.14712,-43.26698,-37.58812,-8.33467,9.06089,21.66889,True,True,True,True,4,False,0.00127,1.35373,0.00371,1.59756
FREE/repro,FREE,repro,const,False,0.07212,0.99000,0.00000,0.00000,0.00000,0.00000,-37.16717,-41.12289,37.27376,15.54726,0.71880,30.66506,0.38763,82.69109,82.69109,42.50568,52.62015,65.63940,81.84301,6.60414,7.13069,7.82057,1.21643,-41.44607,-36.29286,-6.96136,10.76468,24.89374,True,False,True,False,2,False,0.00253,0.00000,0.01238,0.00000
ANCH/book,ANCH,book,const,True,0.11130,0.99000,0.00000,0.00000,0.00000,0.00000,-48.56806,-53.50057,29.64059,23.18043,0.76385,10.12069,0.54969,44.18608,44.18608,44.42478,54.20164,66.78632,82.44907,7.73622,9.80203,14.08490,6.34868,-44.46939,-38.71368,-9.16955,8.00495,19.88848,True,True,True,True,4,False,0.00102,1.35373,0.00321,1.59756
MID/book,MID,book,const,True,0.10462,0.99000,0.00000,0.00000,0.00000,0.00000,-47.05174,-51.49272,30.78800,22.03302,0.92633,13.64405,0.43937,53.24468,53.24468,42.75563,52.82613,65.78878,81.92194,9.10681,11.59303,16.54436,7.43754,-43.94937,-38.17504,-8.86353,8.44661,20.60498,True,True,True,True,4,False,0.00160,1.35373,0.00477,1.59756
FREE/book,FREE,book,const,True,0.09236,0.99000,0.00000,0.00000,0.00000,0.00000,-41.61746,-47.45420,33.26497,19.55606,0.74859,25.40336,0.14479,69.07802,69.07802,39.58404,50.21248,63.89333,80.92034,6.95502,7.84511,9.18870,2.23368,-43.02110,-37.60183,-8.30575,9.26735,22.29961,True,True,True,False,3,False,0.00249,0.26535,0.01333,0.26535
ANCH/unc_sx2,ANCH,unc_sx2,const,True,0.03887,0.96696,0.00000,40.55273,46.61233,0.00000,-22.38851,-27.32102,41.14239,9.26697,0.76385,10.12069,0.54969,44.18608,84.73881,44.42478,54.20164,66.78632,82.44907,7.73622,9.80203,14.08490,6.34868,-31.81489,-30.07470,-5.90441,11.86824,28.82555,True,True,True,True,4,False,0.00102,1.35373,0.00321,1.59756
MID/unc_sx2,MID,unc_sx2,const,True,0.03155,0.94061,0.00000,38.00735,43.68661,0.00000,-20.48920,-25.72424,42.69135,7.71800,0.89462,11.54777,0.49974,49.01956,87.02691,43.54646,53.47783,66.26141,82.17169,9.06591,11.52823,16.47668,7.41077,-32.34234,-29.87444,-5.72818,11.96689,30.61049,True,True,True,True,4,False,0.00157,1.35373,0.00381,1.59756
FREE/unc_sx2,FREE,unc_sx2,const,True,0.00500,0.07952,0.00000,34.79213,39.99096,0.00000,-12.61532,-16.59129,49.85463,0.55473,0.78118,28.96561,0.17023,68.76556,103.55770,39.65002,50.26686,63.93276,80.94118,6.46624,7.19485,8.11560,1.64936,-32.59838,-29.35314,-4.49439,14.24116,35.61347,True,True,True,False,3,False,0.00251,0.00000,0.02589,0.00000
ANCH/unc_t5d,ANCH,unc_t5d,const,True,0.03278,0.97150,0.36569,27.56818,31.68757,1.21895,9.46599,4.99136,40.78483,9.02373,0.76385,10.12069,0.54969,44.18608,71.75426,44.42478,54.20164,66.78632,82.44907,7.73622,9.80203,14.08490,6.34868,-16.46807,-15.83489,-4.26166,11.29715,29.30305,True,True,True,True,4,False,0.00102,1.35373,0.00321,1.59756
MID/unc_t5d,MID,unc_t5d,const,True,0.02883,0.95269,0.34184,27.80095,31.95511,1.13945,11.57623,6.50129,41.94509,7.86346,0.89124,10.99708,0.51668,47.90114,75.70209,43.75215,53.64734,66.38434,82.23665,9.11985,11.59485,16.57361,7.45375,-16.38913,-15.71600,-3.90457,11.22884,30.73045,True,True,True,True,4,False,0.00159,1.35373,0.00357,1.59756
FREE/unc_t5d,FREE,unc_t5d,const,True,0.02110,0.94885,0.27153,25.45173,29.25487,0.90511,15.12275,9.27608,44.25180,5.55675,0.81760,26.32181,0.14314,70.08920,95.54093,39.36951,50.03569,63.76511,80.85259,7.56501,8.78079,10.75321,3.18821,-16.30721,-15.55862,-3.40386,11.96285,32.48697,True,True,True,False,3,False,0.00248,0.47325,0.01414,0.47325
ANCH/unc_t5d/frontload,ANCH,unc_t5d,frontload,True,0.03995,0.99000,0.15736,41.76000,48.00000,0.52454,6.53816,1.45819,39.15052,12.58995,0.76385,10.12069,0.54969,44.18608,85.94608,44.42478,54.20164,66.78632,82.44907,7.73622,9.80203,14.08490,6.34868,-17.28766,-18.16418,-6.08573,9.83742,28.32355,True,True,True,True,4,False,0.00102,1.35373,0.00321,1.59756
ANCH/unc_t5d/taper,ANCH,unc_t5d,taper,True,0.02836,0.96915,0.28139,32.51540,37.37402,0.93797,11.32848,6.55082,42.68579,8.40590,0.76385,10.12069,0.54969,44.18608,76.70148,44.42478,54.20164,66.78632,82.44907,7.73622,9.80203,14.08490,6.34868,-16.44452,-15.85957,-4.46261,12.58491,29.87640,True,True,True,True,4,False,0.00102,1.35373,0.00321,1.59756
