item,value
farinotti_all19_mm,324.2
farinotti_r5_mm,33.6
farinotti_r19_mm,69.4
farinotti_excl19_mm,254.79999999999998
mar12_covers_r5,1.0
mar12_covers_r19,0.0
gmip2_models_covering_r19,4.0
magicc_cap_median_mm,425.58725
magicc_cap_max_mm,450.574194
magicc_melted_by_base_mm,98.61504063368268
magicc_ssp585_2300_rebased_median_mm,291.0032858212629
magicc_ssp585_2300_rebased_p95_mm,337.26780533511464
magicc_n_above_320,80.0
magicc_n_above_scope_matched,516.0
