tap_onset_K,tap_V_m,tap_tau
8.0,2.0,80
8.0,2.0,120
8.0,2.0,160
9.0,2.0,80
9.0,2.0,120
9.0,2.0,160
9.5,2.0,80
9.5,2.0,120
9.5,2.0,160
10.0,2.0,80
10.0,2.0,120
10.0,2.0,160
